date,price,symbol
2025-08-05,9.99,GDEGF
2025-08-08,9.99,GDEGF
2025-08-11,9.99,GDEGF
2025-08-12,9.99,GDEGF
2025-08-13,9.99,GDEGF
2025-08-14,9.99,GDEGF
2025-08-15,9.99,GDEGF
2025-08-18,9.99,GDEGF
2025-08-19,9.99,GDEGF
2025-08-20,9.98,GDEGF
2025-08-21,9.98,GDEGF
2025-08-22,9.98,GDEGF
2025-08-25,9.98,GDEGF
2025-08-26,9.98,GDEGF
2025-08-27,9.98,GDEGF
2025-08-28,9.95,GDEGF
2025-08-29,9.98,GDEGF
2025-09-03,9.99,GDEGF
2025-09-04,10.04,GDEGF
2025-09-05,10.15,GDEGF
2025-09-08,10.0,GDEGF
2025-09-09,9.79,GDEGF
2025-09-10,9.84,GDEGF
2025-09-11,9.82,GDEGF
2025-09-12,9.91,GDEGF
2025-09-15,10.01,GDEGF
2025-09-16,10.13,GDEGF
2025-09-17,10.06,GDEGF
2025-09-18,9.93,GDEGF
2025-09-19,9.91,GDEGF
2025-09-22,9.87,GDEGF
2025-09-23,9.72,GDEGF
2025-09-24,9.74,GDEGF
2025-09-25,9.89,GDEGF
2025-09-26,9.91,GDEGF
2025-09-29,9.86,GDEGF
2025-09-30,9.83,GDEGF
2025-10-01,9.76,GDEGF
2025-10-02,9.8,GDEGF
2025-10-03,9.66,GDEGF
2025-10-06,9.57,GDEGF
2025-10-07,9.92,GDEGF
2025-10-08,9.78,GDEGF
2025-10-09,9.9,GDEGF
2025-10-10,9.96,GDEGF
2025-10-13,10.06,GDEGF
2025-10-14,10.13,GDEGF
2025-10-15,9.95,GDEGF
2025-10-16,9.96,GDEGF
2025-10-17,10.06,GDEGF
2025-10-20,9.97,GDEGF
2025-10-21,9.41,GDEGF
2025-10-22,9.45,GDEGF
2025-10-23,9.57,GDEGF
2025-10-24,9.54,GDEGF
2025-10-27,9.52,GDEGF
2025-10-28,9.39,GDEGF
2025-10-29,9.55,GDEGF
2025-10-30,9.68,GDEGF
2025-10-31,9.72,GDEGF
2025-11-03,9.62,GDEGF
2025-11-04,9.37,GDEGF
2025-11-05,9.6,GDEGF
2025-11-06,9.53,GDEGF
2025-11-07,9.49,GDEGF
2025-11-10,9.26,GDEGF
2025-11-11,9.2,GDEGF
2025-11-12,9.27,GDEGF
2025-11-13,9.42,GDEGF
2025-11-14,9.42,GDEGF
2025-11-17,9.44,GDEGF
2025-11-18,9.55,GDEGF
2025-11-19,9.6,GDEGF
2025-11-20,9.53,GDEGF
2025-11-21,9.49,GDEGF
2025-11-24,9.48,GDEGF
2025-11-25,9.44,GDEGF
2025-11-26,9.34,GDEGF
2025-11-27,9.47,GDEGF
2025-11-28,9.41,GDEGF
2025-12-01,9.38,GDEGF
2025-12-02,9.35,GDEGF
2025-12-03,9.32,GDEGF
2025-12-04,9.36,GDEGF
2025-12-05,9.44,GDEGF
2025-12-08,9.32,GDEGF
2025-12-09,9.23,GDEGF
2025-12-10,9.18,GDEGF
2025-12-11,9.16,GDEGF
2025-12-12,9.13,GDEGF
2025-12-15,8.86,GDEGF
2025-12-16,8.85,GDEGF
2025-12-17,9.04,GDEGF
2025-12-18,8.98,GDEGF
2025-12-19,8.99,GDEGF
2025-12-22,9.06,GDEGF
2025-12-23,9.18,GDEGF
2025-12-24,9.16,GDEGF
2025-12-25,9.18,GDEGF
2025-12-26,9.08,GDEGF
2025-12-29,9.09,GDEGF
2025-12-30,9.12,GDEGF
2025-12-31,9.13,GDEGF
2026-01-05,9.1,GDEGF
2026-01-06,9.02,GDEGF
2026-01-07,9.02,GDEGF
2026-01-08,9.14,GDEGF
2026-01-09,9.11,GDEGF
2026-01-12,9.05,GDEGF
2026-01-13,9.22,GDEGF
2026-01-14,9.3,GDEGF
2026-01-15,9.28,GDEGF
2026-01-16,9.28,GDEGF
2026-01-19,9.26,GDEGF
2026-01-20,9.29,GDEGF
2026-01-21,9.29,GDEGF
2026-01-22,9.21,GDEGF
2026-01-23,9.3,GDEGF
2026-01-26,9.21,GDEGF
2026-01-27,9.07,GDEGF
2026-01-28,9.08,GDEGF
2026-01-29,9.14,GDEGF
2026-01-30,9.23,GDEGF
2026-02-02,9.3,GDEGF
2026-02-03,9.31,GDEGF
2026-02-04,9.32,GDEGF
2026-02-05,9.4,GDEGF
2026-02-06,9.26,GDEGF
2026-02-09,9.09,GDEGF
2026-02-10,9.13,GDEGF
2026-02-11,9.07,GDEGF
2026-02-12,9.21,GDEGF
2026-02-13,9.25,GDEGF
2026-02-23,9.26,GDEGF
2026-02-24,9.34,GDEGF
2026-02-25,9.42,GDEGF
2026-02-26,9.44,GDEGF
2026-02-27,9.44,GDEGF
2026-03-02,9.41,GDEGF
2026-03-03,9.39,GDEGF
2026-03-04,9.33,GDEGF
2026-03-05,9.3,GDEGF
2026-03-06,9.22,GDEGF
2026-03-09,9.14,GDEGF
2026-03-10,8.76,GDEGF
2026-03-11,8.9,GDEGF
2026-03-12,9.1,GDEGF
2026-03-13,9.05,GDEGF
2026-03-16,9.03,GDEGF
2026-03-17,9.03,GDEGF
2026-03-18,9.04,GDEGF
2026-03-19,9.04,GDEGF
2026-03-20,9.0,GDEGF
2026-03-23,8.92,GDEGF
2026-03-24,8.78,GDEGF
