date,price,symbol
2022-12-29,10.0,LHBF
2023-01-05,10.17,LHBF
2023-01-12,10.1,LHBF
2023-01-19,10.19,LHBF
2023-01-26,10.24,LHBF
2023-01-31,10.5,LHBF
2023-02-02,10.43,LHBF
2023-02-09,10.39,LHBF
2023-02-16,10.29,LHBF
2023-02-23,10.3,LHBF
2023-02-28,10.31,LHBF
2023-03-02,10.31,LHBF
2023-03-09,10.37,LHBF
2023-03-16,10.42,LHBF
2023-03-23,10.41,LHBF
2023-03-30,10.42,LHBF
2023-03-31,10.43,LHBF
2023-04-06,10.48,LHBF
2023-04-13,10.53,LHBF
2023-04-20,10.58,LHBF
2023-04-27,10.57,LHBF
2023-05-04,10.58,LHBF
2023-05-11,10.73,LHBF
2023-05-18,10.88,LHBF
2023-05-25,10.91,LHBF
2023-06-01,10.99,LHBF
2023-06-08,11.19,LHBF
2023-06-15,11.21,LHBF
2023-06-22,11.24,LHBF
2023-06-29,11.35,LHBF
2023-07-06,11.5,LHBF
2023-07-13,11.56,LHBF
2023-07-20,11.66,LHBF
2023-07-27,11.66,LHBF
2023-08-03,11.71,LHBF
2023-08-10,11.77,LHBF
2023-08-17,11.77,LHBF
2023-08-24,11.65,LHBF
2023-08-31,11.84,LHBF
2023-09-07,11.87,LHBF
2023-09-14,11.99,LHBF
2023-09-21,12.17,LHBF
2023-09-28,12.01,LHBF
2023-10-05,12.01,LHBF
2023-10-12,11.98,LHBF
2023-10-19,11.96,LHBF
2023-10-26,11.97,LHBF
2023-11-02,12.0,LHBF
2023-11-09,12.16,LHBF
2023-11-16,12.19,LHBF
2023-11-23,12.15,LHBF
2023-11-30,12.14,LHBF
2023-12-07,12.17,LHBF
2023-12-14,12.16,LHBF
2023-12-21,12.26,LHBF
2023-12-28,12.34,LHBF
2024-01-04,12.39,LHBF
2024-01-11,12.39,LHBF
2024-01-18,12.4,LHBF
2024-01-25,12.4,LHBF
2024-02-01,12.44,LHBF
2024-02-15,12.51,LHBF
2024-02-22,12.59,LHBF
