date,price,symbol
2024-03-25,10.0,LHCDF
2024-06-18,10.01,LHCDF
2024-06-25,9.88,LHCDF
2024-07-02,9.84,LHCDF
2024-07-09,9.92,LHCDF
2024-07-16,10.03,LHCDF
2024-07-23,10.15,LHCDF
2024-07-30,10.06,LHCDF
2024-08-06,9.65,LHCDF
2024-08-13,9.98,LHCDF
2024-08-16,10.12,LHCDF
2024-08-20,10.35,LHCDF
2024-08-23,10.47,LHCDF
2024-08-27,10.39,LHCDF
2024-08-30,10.4,LHCDF
2024-09-06,10.34,LHCDF
2024-09-10,10.37,LHCDF
2024-09-13,10.36,LHCDF
2024-09-17,10.36,LHCDF
2024-09-20,10.55,LHCDF
2024-09-24,10.52,LHCDF
2024-09-27,10.7,LHCDF
2024-10-01,10.68,LHCDF
2024-10-04,10.59,LHCDF
2024-10-08,10.51,LHCDF
2024-10-11,10.63,LHCDF
2024-10-15,10.76,LHCDF
2024-10-18,10.7,LHCDF
2024-10-22,10.58,LHCDF
2024-10-25,10.51,LHCDF
2024-10-29,10.57,LHCDF
2024-11-01,10.64,LHCDF
2024-11-05,10.52,LHCDF
2024-11-08,10.7,LHCDF
2024-11-12,10.63,LHCDF
2024-11-15,10.48,LHCDF
2024-11-19,10.34,LHCDF
2024-11-22,10.38,LHCDF
2024-11-26,10.5,LHCDF
2024-11-29,10.66,LHCDF
2024-12-03,10.84,LHCDF
2024-12-06,11.03,LHCDF
2024-12-10,11.11,LHCDF
2024-12-13,11.03,LHCDF
2024-12-17,11.0,LHCDF
2024-12-20,10.94,LHCDF
2024-12-24,11.08,LHCDF
2024-12-27,11.09,LHCDF
2024-12-31,11.05,LHCDF
2025-01-03,11.05,LHCDF
2025-01-07,10.9,LHCDF
2025-01-10,11.09,LHCDF
2025-01-14,10.98,LHCDF
2025-01-17,11.09,LHCDF
2025-01-21,11.16,LHCDF
2025-01-24,11.07,LHCDF
2025-02-04,11.13,LHCDF
2025-02-07,11.28,LHCDF
2025-02-11,11.22,LHCDF
2025-02-14,11.23,LHCDF
2025-02-18,11.26,LHCDF
2025-02-21,11.38,LHCDF
2025-02-25,11.39,LHCDF
2025-02-28,11.42,LHCDF
2025-03-04,11.34,LHCDF
2025-03-07,11.34,LHCDF
2025-03-11,11.34,LHCDF
2025-03-14,11.28,LHCDF
2025-03-18,11.38,LHCDF
2025-03-21,11.21,LHCDF
2025-03-25,11.03,LHCDF
2025-03-28,11.05,LHCDF
2025-04-01,10.96,LHCDF
2025-04-04,10.25,LHCDF
2025-04-08,9.97,LHCDF
2025-04-11,9.67,LHCDF
2025-04-15,10.12,LHCDF
2025-04-18,9.93,LHCDF
2025-04-22,10.04,LHCDF
2025-04-25,10.11,LHCDF
2025-04-29,10.18,LHCDF
2025-05-06,10.31,LHCDF
2025-05-09,10.46,LHCDF
2025-05-13,10.53,LHCDF
2025-05-16,10.75,LHCDF
2025-05-20,10.64,LHCDF
2025-05-23,10.67,LHCDF
2025-05-27,10.85,LHCDF
2025-05-30,10.88,LHCDF
2025-06-03,10.78,LHCDF
2025-06-06,10.86,LHCDF
2025-06-10,10.69,LHCDF
2025-06-13,10.81,LHCDF
2025-06-17,10.99,LHCDF
2025-06-20,11.01,LHCDF
2025-06-24,11.08,LHCDF
2025-06-27,11.12,LHCDF
2025-07-01,11.19,LHCDF
2025-07-04,11.27,LHCDF
2025-07-08,11.43,LHCDF
2025-07-11,11.66,LHCDF
2025-07-15,11.74,LHCDF
2025-07-18,11.76,LHCDF
2025-07-22,11.71,LHCDF
2025-07-25,11.95,LHCDF
2025-07-29,12.19,LHCDF
2025-08-01,11.92,LHCDF
2025-08-05,11.96,LHCDF
2025-08-08,12.29,LHCDF
2025-08-12,12.38,LHCDF
2025-08-15,12.63,LHCDF
2025-08-19,12.52,LHCDF
2025-08-22,12.42,LHCDF
2025-08-26,12.2,LHCDF
2025-08-29,12.51,LHCDF
2025-09-05,12.73,LHCDF
2025-09-09,12.34,LHCDF
2025-09-12,12.39,LHCDF
2025-09-16,12.6,LHCDF
2025-09-19,12.47,LHCDF
2025-09-23,12.27,LHCDF
2025-09-26,12.36,LHCDF
2025-09-30,12.27,LHCDF
2025-10-03,12.21,LHCDF
2025-10-07,12.37,LHCDF
2025-10-10,12.36,LHCDF
2025-10-14,12.35,LHCDF
2025-10-17,12.26,LHCDF
2025-10-21,11.77,LHCDF
2025-10-24,11.95,LHCDF
2025-10-28,11.82,LHCDF
2025-10-31,12.0,LHCDF
2025-11-04,11.75,LHCDF
2025-11-07,11.86,LHCDF
2025-11-11,11.52,LHCDF
2025-11-14,11.83,LHCDF
2025-11-18,11.98,LHCDF
2025-11-21,11.88,LHCDF
2025-11-25,11.81,LHCDF
2025-11-28,11.81,LHCDF
2025-12-02,11.79,LHCDF
2025-12-05,12.05,LHCDF
2025-12-09,11.88,LHCDF
2025-12-12,11.76,LHCDF
2025-12-16,11.39,LHCDF
2025-12-19,11.52,LHCDF
2025-12-23,11.74,LHCDF
2025-12-26,11.62,LHCDF
2025-12-30,11.59,LHCDF
2026-01-06,11.52,LHCDF
2026-01-09,11.69,LHCDF
2026-01-13,11.85,LHCDF
2026-01-16,12.0,LHCDF
2026-01-20,12.0,LHCDF
2026-01-23,12.08,LHCDF
2026-01-27,11.73,LHCDF
2026-01-30,11.77,LHCDF
2026-02-03,11.85,LHCDF
2026-02-06,11.88,LHCDF
2026-02-10,11.77,LHCDF
2026-02-13,11.99,LHCDF
2026-02-24,12.07,LHCDF
2026-02-27,12.18,LHCDF
2026-03-03,12.08,LHCDF
2026-03-06,11.87,LHCDF
2026-03-10,11.18,LHCDF
2026-03-13,11.73,LHCDF
2026-03-17,11.74,LHCDF
2026-03-20,11.67,LHCDF
2026-03-24,11.15,LHCDF
