date,price,symbol
2025-07-21,9.98,LPBF
2025-07-22,9.98,LPBF
2025-07-23,10.04,LPBF
2025-07-24,10.03,LPBF
2025-07-25,10.04,LPBF
2025-07-28,10.04,LPBF
2025-07-29,10.04,LPBF
2025-07-30,10.03,LPBF
2025-07-31,10.04,LPBF
2025-08-01,10.04,LPBF
2025-08-04,10.03,LPBF
2025-08-05,10.04,LPBF
2025-08-06,10.05,LPBF
2025-08-07,10.05,LPBF
2025-08-08,10.05,LPBF
2025-08-11,10.05,LPBF
2025-08-12,10.05,LPBF
2025-08-13,10.06,LPBF
2025-08-14,10.06,LPBF
2025-08-15,10.07,LPBF
2025-08-18,10.07,LPBF
2025-08-19,10.07,LPBF
2025-08-20,10.08,LPBF
2025-08-21,10.08,LPBF
2025-08-22,10.08,LPBF
2025-08-25,10.08,LPBF
2025-08-26,10.07,LPBF
2025-08-27,10.08,LPBF
2025-08-28,10.09,LPBF
2025-08-29,10.11,LPBF
2025-09-03,10.12,LPBF
2025-09-04,10.12,LPBF
2025-09-05,10.13,LPBF
2025-09-08,10.11,LPBF
2025-09-09,10.11,LPBF
2025-09-10,10.11,LPBF
2025-09-11,10.11,LPBF
2025-09-12,10.13,LPBF
2025-09-15,10.13,LPBF
2025-09-16,10.13,LPBF
2025-09-17,10.14,LPBF
2025-09-18,10.13,LPBF
2025-09-19,10.13,LPBF
2025-09-22,10.13,LPBF
2025-09-23,10.13,LPBF
2025-09-24,10.13,LPBF
2025-09-25,10.13,LPBF
2025-09-26,10.13,LPBF
2025-09-29,10.13,LPBF
2025-09-30,10.13,LPBF
2025-10-01,10.13,LPBF
2025-10-02,10.13,LPBF
2025-10-03,10.13,LPBF
2025-10-06,10.13,LPBF
2025-10-07,10.13,LPBF
2025-10-08,10.13,LPBF
2025-10-09,10.13,LPBF
2025-10-10,10.13,LPBF
2025-10-13,10.13,LPBF
2025-10-14,10.13,LPBF
2025-10-15,10.13,LPBF
2025-10-16,10.13,LPBF
2025-10-17,10.14,LPBF
2025-10-20,10.15,LPBF
2025-10-21,10.16,LPBF
2025-10-22,10.17,LPBF
2025-10-23,10.17,LPBF
2025-10-24,10.19,LPBF
2025-10-27,10.19,LPBF
2025-10-28,10.18,LPBF
2025-10-29,10.18,LPBF
2025-10-30,10.18,LPBF
2025-10-31,10.2,LPBF
2025-11-03,10.2,LPBF
2025-11-04,10.2,LPBF
2025-11-05,10.19,LPBF
2025-11-06,10.19,LPBF
2025-11-07,10.22,LPBF
2025-11-10,10.21,LPBF
2025-11-11,10.22,LPBF
2025-11-12,10.23,LPBF
2025-11-13,10.22,LPBF
2025-11-14,10.22,LPBF
2025-11-17,10.24,LPBF
2025-11-18,10.24,LPBF
2025-11-19,10.24,LPBF
2025-11-20,10.24,LPBF
2025-11-21,10.24,LPBF
2025-11-24,10.24,LPBF
2025-11-25,10.23,LPBF
2025-11-26,10.23,LPBF
2025-11-27,10.23,LPBF
2025-11-28,10.25,LPBF
2025-12-01,10.25,LPBF
2025-12-02,10.26,LPBF
2025-12-03,10.27,LPBF
2025-12-04,10.27,LPBF
2025-12-05,10.27,LPBF
2025-12-08,10.26,LPBF
2025-12-09,10.27,LPBF
2025-12-10,10.26,LPBF
2025-12-11,10.26,LPBF
2025-12-12,10.26,LPBF
2025-12-15,10.25,LPBF
2025-12-16,10.26,LPBF
2025-12-17,10.26,LPBF
2025-12-18,10.27,LPBF
2025-12-19,10.27,LPBF
2025-12-22,10.26,LPBF
2025-12-23,10.26,LPBF
2025-12-24,10.26,LPBF
2025-12-25,10.27,LPBF
2025-12-26,10.27,LPBF
2025-12-29,10.27,LPBF
2025-12-30,10.29,LPBF
2025-12-31,10.3,LPBF
2026-01-05,10.3,LPBF
2026-01-06,10.28,LPBF
2026-01-07,10.28,LPBF
2026-01-08,10.3,LPBF
2026-01-09,10.3,LPBF
2026-01-12,10.31,LPBF
2026-01-13,10.3,LPBF
2026-01-14,10.3,LPBF
2026-01-15,10.31,LPBF
2026-01-16,10.33,LPBF
2026-01-19,10.34,LPBF
2026-01-20,10.34,LPBF
2026-01-21,10.34,LPBF
2026-01-22,10.33,LPBF
2026-01-23,10.32,LPBF
2026-01-26,10.33,LPBF
2026-01-27,10.33,LPBF
2026-01-28,10.33,LPBF
2026-01-29,10.33,LPBF
2026-01-30,10.34,LPBF
2026-02-02,10.34,LPBF
2026-02-03,10.33,LPBF
2026-02-04,10.35,LPBF
2026-02-05,10.35,LPBF
2026-02-06,10.34,LPBF
2026-02-09,10.37,LPBF
2026-02-10,10.38,LPBF
2026-02-11,10.37,LPBF
2026-02-12,10.37,LPBF
2026-02-13,10.37,LPBF
2026-02-23,10.38,LPBF
2026-02-24,10.39,LPBF
2026-02-25,10.39,LPBF
2026-02-26,10.39,LPBF
2026-02-27,10.4,LPBF
2026-03-02,10.41,LPBF
2026-03-03,10.41,LPBF
2026-03-04,10.39,LPBF
2026-03-05,10.4,LPBF
2026-03-06,10.39,LPBF
2026-03-09,10.39,LPBF
2026-03-10,10.4,LPBF
2026-03-11,10.42,LPBF
2026-03-12,10.4,LPBF
2026-03-13,10.42,LPBF
2026-03-16,10.41,LPBF
2026-03-17,10.44,LPBF
2026-03-18,10.44,LPBF
2026-03-19,10.44,LPBF
2026-03-20,10.45,LPBF
2026-03-23,10.44,LPBF
2026-03-24,10.45,LPBF
