date,price,symbol
2024-05-14,10.0,MBAM
2024-05-22,10.0,MBAM
2024-05-23,10.0,MBAM
2024-05-26,10.0,MBAM
2024-05-27,10.01,MBAM
2024-05-28,10.01,MBAM
2024-05-29,10.01,MBAM
2024-05-30,10.01,MBAM
2024-05-31,10.01,MBAM
2024-06-02,10.01,MBAM
2024-06-03,10.01,MBAM
2024-06-04,10.02,MBAM
2024-06-05,10.05,MBAM
2024-06-06,10.03,MBAM
2024-06-09,10.03,MBAM
2024-06-10,10.03,MBAM
2024-06-11,10.04,MBAM
2024-06-12,10.04,MBAM
2024-06-13,10.04,MBAM
2024-06-16,10.04,MBAM
2024-06-17,10.05,MBAM
2024-06-18,10.06,MBAM
2024-06-19,10.06,MBAM
2024-06-20,10.06,MBAM
2024-06-23,10.06,MBAM
2024-06-24,10.06,MBAM
2024-06-25,10.08,MBAM
2024-06-26,10.08,MBAM
2024-06-27,10.08,MBAM
2024-06-30,10.09,MBAM
2024-07-01,10.08,MBAM
2024-07-02,10.09,MBAM
2024-07-03,10.1,MBAM
2024-07-04,10.1,MBAM
2024-07-07,10.11,MBAM
2024-07-08,10.11,MBAM
2024-07-09,10.12,MBAM
2024-07-10,10.12,MBAM
2024-07-11,10.12,MBAM
2024-07-14,10.14,MBAM
2024-07-15,10.14,MBAM
2024-07-16,10.16,MBAM
2024-07-17,10.16,MBAM
2024-07-18,10.15,MBAM
2024-07-21,10.15,MBAM
2024-07-22,10.16,MBAM
2024-07-23,10.16,MBAM
2024-07-24,10.15,MBAM
2024-07-25,10.15,MBAM
2024-07-28,10.15,MBAM
2024-07-29,10.16,MBAM
2024-07-30,10.17,MBAM
2024-07-31,10.18,MBAM
2024-08-01,10.17,MBAM
2024-08-04,10.17,MBAM
2024-08-05,10.17,MBAM
2024-08-06,10.19,MBAM
2024-08-07,10.17,MBAM
2024-08-08,10.17,MBAM
2024-08-11,10.17,MBAM
2024-08-12,10.18,MBAM
2024-08-13,10.18,MBAM
2024-08-14,10.18,MBAM
2024-08-15,10.19,MBAM
2024-08-18,10.2,MBAM
