date,price,symbol
2020-01-02,14.25,MBVF
2020-01-09,13.8,MBVF
2020-01-16,13.98,MBVF
2020-01-23,14.32,MBVF
2020-01-30,14.31,MBVF
2020-02-06,13.69,MBVF
2020-02-13,14.19,MBVF
2020-02-20,14.31,MBVF
2020-02-27,14.08,MBVF
2020-03-05,14.22,MBVF
2020-03-12,13.44,MBVF
2020-03-19,12.67,MBVF
2020-03-26,12.02,MBVF
2020-04-02,11.76,MBVF
2020-04-09,12.5,MBVF
2020-04-16,12.58,MBVF
2020-04-23,12.58,MBVF
2020-04-30,12.91,MBVF
2020-05-07,12.9,MBVF
2020-05-14,13.13,MBVF
2020-05-21,13.34,MBVF
2020-05-28,13.84,MBVF
2020-06-04,14.3,MBVF
2020-06-11,14.38,MBVF
2020-06-18,14.17,MBVF
2020-06-25,14.22,MBVF
2020-07-02,14.18,MBVF
2020-07-09,14.54,MBVF
2020-07-16,14.62,MBVF
2020-07-23,14.57,MBVF
2020-07-30,14.19,MBVF
2020-08-06,14.64,MBVF
2020-08-13,15.09,MBVF
2020-08-20,15.19,MBVF
2020-08-27,15.44,MBVF
2020-09-03,15.65,MBVF
2020-09-10,15.7,MBVF
2020-09-17,15.92,MBVF
2020-09-24,16.03,MBVF
2020-10-01,16.08,MBVF
2020-10-08,16.27,MBVF
2020-10-15,16.18,MBVF
2020-10-22,16.27,MBVF
2020-10-29,16.18,MBVF
2020-11-05,16.33,MBVF
2020-11-12,16.48,MBVF
2020-11-19,16.66,MBVF
2020-11-26,16.76,MBVF
2020-12-03,16.81,MBVF
2020-12-10,16.83,MBVF
2020-12-17,16.87,MBVF
2020-12-24,16.88,MBVF
2020-12-31,16.82,MBVF
2021-01-07,17.01,MBVF
2021-01-14,17.12,MBVF
2021-01-21,16.98,MBVF
2021-01-28,16.82,MBVF
2021-02-04,16.92,MBVF
2021-02-11,17.08,MBVF
2021-02-18,17.08,MBVF
2021-02-25,17.27,MBVF
2021-03-04,17.41,MBVF
2021-03-11,17.35,MBVF
2021-03-18,17.38,MBVF
2021-03-25,17.24,MBVF
2021-03-31,17.31,MBVF
2021-04-08,17.4,MBVF
2021-04-15,17.38,MBVF
2021-04-22,17.25,MBVF
2021-04-29,17.16,MBVF
2021-05-06,17.3,MBVF
2021-05-13,17.32,MBVF
2021-05-20,17.25,MBVF
2021-05-27,17.6,MBVF
2021-06-03,18.4,MBVF
2021-06-10,18.15,MBVF
2021-06-17,18.3,MBVF
2021-06-24,18.39,MBVF
2021-07-01,18.37,MBVF
2021-07-08,18.3,MBVF
2021-07-15,17.66,MBVF
2021-07-22,17.8,MBVF
2021-07-28,17.81,MBVF
2021-07-31,17.81,MBVF
2021-08-04,18.1,MBVF
2021-08-11,18.37,MBVF
2021-08-18,18.43,MBVF
2021-08-19,18.46,MBVF
2021-08-22,18.22,MBVF
2021-08-23,17.96,MBVF
2021-08-24,17.93,MBVF
2021-08-25,17.98,MBVF
2021-08-26,18.0,MBVF
2021-08-29,18.08,MBVF
2021-08-30,18.2,MBVF
2021-08-31,18.21,MBVF
2021-09-06,18.34,MBVF
2021-09-07,18.33,MBVF
2021-09-08,18.28,MBVF
2021-09-09,18.35,MBVF
2021-09-12,18.32,MBVF
2021-09-13,18.21,MBVF
2021-09-14,18.18,MBVF
2021-09-15,18.23,MBVF
2021-09-16,18.27,MBVF
2021-09-19,18.37,MBVF
2021-09-20,18.4,MBVF
2021-09-21,18.3,MBVF
2021-09-22,18.35,MBVF
2021-09-23,18.36,MBVF
2021-09-26,18.32,MBVF
2021-09-27,18.13,MBVF
2021-09-28,18.31,MBVF
2021-09-29,18.4,MBVF
2021-09-30,18.41,MBVF
2021-10-03,18.45,MBVF
2021-10-04,18.63,MBVF
2021-10-05,18.68,MBVF
2021-10-06,18.81,MBVF
2021-10-07,18.76,MBVF
2021-10-10,18.79,MBVF
2021-10-11,18.95,MBVF
2021-10-12,18.94,MBVF
2021-10-13,18.9,MBVF
2021-10-14,18.93,MBVF
2021-10-17,18.9,MBVF
2021-10-18,18.82,MBVF
2021-10-19,18.84,MBVF
2021-10-20,18.79,MBVF
2021-10-21,18.69,MBVF
2021-10-24,18.73,MBVF
2021-10-25,18.69,MBVF
2021-10-26,18.74,MBVF
2021-10-27,18.93,MBVF
2021-10-28,19.05,MBVF
2021-10-31,19.08,MBVF
2021-11-01,19.02,MBVF
2021-11-02,19.07,MBVF
2021-11-03,19.06,MBVF
2021-11-04,19.04,MBVF
2021-11-07,19.13,MBVF
2021-11-08,19.33,MBVF
2021-11-09,19.27,MBVF
2021-11-10,19.39,MBVF
2021-11-11,19.38,MBVF
2021-11-14,19.49,MBVF
2021-11-15,19.44,MBVF
2021-11-16,19.32,MBVF
2021-11-17,19.37,MBVF
2021-11-18,19.27,MBVF
2021-11-21,19.04,MBVF
2021-11-22,18.88,MBVF
2021-11-23,19.14,MBVF
2021-11-24,19.33,MBVF
2021-11-25,19.38,MBVF
2021-11-28,19.28,MBVF
2021-11-29,19.17,MBVF
2021-11-30,19.15,MBVF
2021-12-01,19.16,MBVF
2021-12-02,19.09,MBVF
2021-12-05,18.67,MBVF
2021-12-06,18.36,MBVF
2021-12-07,18.68,MBVF
2021-12-08,18.66,MBVF
2021-12-09,18.75,MBVF
2021-12-12,18.72,MBVF
2021-12-13,18.74,MBVF
2021-12-14,18.77,MBVF
2021-12-15,18.78,MBVF
2021-12-16,18.71,MBVF
2021-12-19,18.7,MBVF
2021-12-20,18.65,MBVF
2021-12-21,18.7,MBVF
2021-12-22,18.68,MBVF
2021-12-23,18.54,MBVF
2021-12-26,18.7,MBVF
2021-12-27,18.73,MBVF
2021-12-28,18.76,MBVF
2021-12-29,18.72,MBVF
2021-12-30,18.77,MBVF
2021-12-31,18.85,MBVF
2022-01-01,18.85,MBVF
2022-01-04,19.03,MBVF
2022-01-05,19.02,MBVF
2022-01-06,18.78,MBVF
2022-01-09,18.97,MBVF
2022-01-10,18.86,MBVF
2022-01-11,18.75,MBVF
2022-01-12,18.9,MBVF
2022-01-13,18.82,MBVF
2022-01-16,18.78,MBVF
2022-01-17,18.48,MBVF
2022-01-18,18.37,MBVF
2022-01-19,18.46,MBVF
2022-01-20,18.57,MBVF
2022-01-23,18.57,MBVF
2022-01-24,18.28,MBVF
2022-01-25,18.68,MBVF
2022-01-26,18.81,MBVF
2022-01-27,18.72,MBVF
2022-01-31,18.78,MBVF
2022-02-07,18.97,MBVF
2022-02-08,19.17,MBVF
2022-02-09,19.25,MBVF
2022-02-14,19.19,MBVF
2022-02-16,19.02,MBVF
2022-02-17,19.07,MBVF
2022-02-18,19.15,MBVF
2022-02-21,19.07,MBVF
2022-02-22,19.11,MBVF
2022-02-23,19.11,MBVF
2022-02-24,19.21,MBVF
2022-02-25,19.12,MBVF
2022-02-28,19.16,MBVF
2022-03-01,19.12,MBVF
2022-03-02,19.13,MBVF
2022-03-03,18.97,MBVF
2022-03-04,19.23,MBVF
2022-03-07,19.31,MBVF
2022-03-08,19.22,MBVF
2022-03-09,19.03,MBVF
2022-03-10,18.99,MBVF
2022-03-11,19.06,MBVF
