date,price,symbol
2024-01-18,10.0,MDI
2024-01-23,10.01,MDI
2024-01-25,10.0,MDI
2024-01-30,10.01,MDI
2024-01-31,9.98,MDI
2024-02-01,10.05,MDI
2024-02-06,10.15,MDI
2024-02-15,10.19,MDI
2024-02-20,10.25,MDI
2024-02-22,10.26,MDI
2024-02-27,10.37,MDI
2024-02-29,10.43,MDI
2024-03-05,10.52,MDI
2024-03-07,10.49,MDI
2024-03-12,10.35,MDI
2024-03-14,10.51,MDI
2024-03-19,10.34,MDI
2024-03-21,10.58,MDI
2024-03-26,10.62,MDI
2024-03-28,10.7,MDI
2024-03-31,10.66,MDI
2024-04-02,10.7,MDI
2024-04-04,10.52,MDI
2024-04-09,10.5,MDI
2024-04-11,10.47,MDI
2024-04-16,10.27,MDI
2024-04-18,10.15,MDI
2024-04-23,10.07,MDI
2024-04-25,10.31,MDI
2024-04-30,10.33,MDI
2024-05-02,10.39,MDI
2024-05-07,10.58,MDI
2024-05-10,10.59,MDI
2024-05-15,10.58,MDI
2024-05-17,10.76,MDI
2024-05-22,10.79,MDI
2024-05-24,10.84,MDI
2024-05-29,10.8,MDI
2024-05-31,10.7,MDI
2024-06-05,10.83,MDI
2024-06-07,10.8,MDI
2024-06-12,10.88,MDI
2024-06-14,11.0,MDI
2024-06-19,10.86,MDI
2024-06-21,10.9,MDI
2024-06-26,10.76,MDI
2024-06-28,10.77,MDI
2024-07-03,10.8,MDI
2024-07-05,10.86,MDI
2024-07-10,10.97,MDI
2024-07-12,10.88,MDI
2024-07-17,10.87,MDI
2024-07-19,10.86,MDI
2024-07-24,10.64,MDI
2024-07-26,10.61,MDI
2024-07-31,10.71,MDI
2024-08-02,10.55,MDI
2024-08-07,10.46,MDI
2024-08-09,10.42,MDI
2024-08-14,10.61,MDI
2024-08-16,10.56,MDI
2024-08-21,10.84,MDI
2024-08-23,10.9,MDI
2024-08-28,10.86,MDI
2024-08-30,10.89,MDI
2024-09-04,10.91,MDI
2024-09-06,10.78,MDI
