date,price,symbol
2025-03-27,10.0,RVPIF
2025-04-01,9.99,RVPIF
2025-04-08,9.43,RVPIF
2025-04-15,9.65,RVPIF
2025-04-22,9.39,RVPIF
2025-04-29,9.5,RVPIF
2025-05-06,9.6,RVPIF
2025-05-13,9.79,RVPIF
2025-05-20,9.92,RVPIF
2025-05-27,10.03,RVPIF
2025-06-03,9.98,RVPIF
2025-06-10,9.93,RVPIF
2025-06-17,10.23,RVPIF
2025-06-24,10.28,RVPIF
2025-06-26,10.27,RVPIF
2025-07-01,10.41,RVPIF
2025-07-03,10.42,RVPIF
2025-07-08,10.52,RVPIF
2025-07-10,10.67,RVPIF
2025-07-15,10.78,RVPIF
2025-07-17,10.76,RVPIF
2025-07-22,10.84,RVPIF
2025-07-24,10.96,RVPIF
2025-07-29,11.18,RVPIF
2025-07-31,10.89,RVPIF
2025-08-05,11.01,RVPIF
2025-08-07,11.27,RVPIF
2025-08-12,11.58,RVPIF
2025-08-14,11.82,RVPIF
2025-08-19,11.97,RVPIF
2025-08-21,12.13,RVPIF
2025-08-26,11.65,RVPIF
2025-08-28,12.09,RVPIF
2025-09-04,12.28,RVPIF
2025-09-09,11.95,RVPIF
2025-09-11,11.92,RVPIF
2025-09-16,12.26,RVPIF
2025-09-18,11.98,RVPIF
2025-09-23,11.75,RVPIF
2025-09-25,11.94,RVPIF
2025-09-30,11.78,RVPIF
2025-10-01,11.69,RVPIF
2025-10-02,11.74,RVPIF
2025-10-03,11.62,RVPIF
2025-10-06,11.47,RVPIF
2025-10-07,11.84,RVPIF
2025-10-08,11.68,RVPIF
2025-10-09,11.76,RVPIF
2025-10-10,11.85,RVPIF
2025-10-13,11.93,RVPIF
2025-10-14,11.95,RVPIF
2025-10-15,11.8,RVPIF
2025-10-16,11.84,RVPIF
2025-10-17,11.95,RVPIF
2025-10-20,11.81,RVPIF
2025-10-21,11.17,RVPIF
2025-10-22,11.24,RVPIF
2025-10-23,11.35,RVPIF
2025-10-24,11.33,RVPIF
2025-10-27,11.35,RVPIF
2025-10-28,11.23,RVPIF
2025-10-29,11.41,RVPIF
2025-10-30,11.54,RVPIF
2025-10-31,11.55,RVPIF
2025-11-03,11.49,RVPIF
2025-11-04,11.24,RVPIF
2025-11-05,11.51,RVPIF
2025-11-06,11.43,RVPIF
2025-11-07,11.36,RVPIF
2025-11-10,11.08,RVPIF
2025-11-11,10.99,RVPIF
2025-11-12,11.09,RVPIF
2025-11-13,11.28,RVPIF
2025-11-14,11.3,RVPIF
2025-11-17,11.32,RVPIF
2025-11-18,11.47,RVPIF
2025-11-19,11.48,RVPIF
2025-11-20,11.41,RVPIF
2025-11-21,11.38,RVPIF
2025-11-24,11.32,RVPIF
2025-11-25,11.28,RVPIF
2025-11-26,11.13,RVPIF
2025-11-27,11.29,RVPIF
2025-11-28,11.3,RVPIF
2025-12-01,11.22,RVPIF
2025-12-02,11.13,RVPIF
2025-12-03,11.14,RVPIF
2025-12-04,11.38,RVPIF
2025-12-05,11.48,RVPIF
2025-12-08,11.35,RVPIF
2025-12-09,11.25,RVPIF
2025-12-10,11.18,RVPIF
2025-12-11,11.15,RVPIF
2025-12-12,11.12,RVPIF
2025-12-15,10.74,RVPIF
2025-12-16,10.7,RVPIF
2025-12-17,10.98,RVPIF
2025-12-18,10.93,RVPIF
2025-12-19,10.89,RVPIF
2025-12-22,10.96,RVPIF
2025-12-23,11.13,RVPIF
2025-12-24,11.06,RVPIF
2025-12-25,11.06,RVPIF
2025-12-26,10.95,RVPIF
2025-12-29,10.92,RVPIF
2025-12-30,10.94,RVPIF
2025-12-31,11.0,RVPIF
2026-01-05,11.0,RVPIF
2026-01-06,10.92,RVPIF
2026-01-07,11.0,RVPIF
2026-01-08,11.22,RVPIF
2026-01-09,11.22,RVPIF
2026-01-12,11.26,RVPIF
2026-01-13,11.55,RVPIF
2026-01-14,11.64,RVPIF
2026-01-15,11.71,RVPIF
2026-01-16,11.78,RVPIF
2026-01-19,11.8,RVPIF
2026-01-20,11.9,RVPIF
2026-01-21,11.86,RVPIF
2026-01-22,11.71,RVPIF
2026-01-23,11.76,RVPIF
2026-01-26,11.6,RVPIF
2026-01-27,11.37,RVPIF
2026-01-28,11.42,RVPIF
2026-01-29,11.42,RVPIF
2026-01-30,11.52,RVPIF
2026-02-02,11.65,RVPIF
2026-02-03,11.67,RVPIF
2026-02-04,11.8,RVPIF
2026-02-05,11.8,RVPIF
2026-02-06,11.54,RVPIF
2026-02-09,11.24,RVPIF
2026-02-10,11.3,RVPIF
2026-02-11,11.21,RVPIF
2026-02-12,11.43,RVPIF
2026-02-13,11.47,RVPIF
2026-02-23,11.49,RVPIF
2026-02-24,11.6,RVPIF
2026-02-25,11.67,RVPIF
2026-02-26,11.73,RVPIF
2026-02-27,11.74,RVPIF
2026-03-02,11.66,RVPIF
2026-03-03,11.48,RVPIF
2026-03-04,11.34,RVPIF
2026-03-05,11.27,RVPIF
2026-03-06,11.2,RVPIF
2026-03-09,11.0,RVPIF
2026-03-10,10.33,RVPIF
2026-03-11,10.63,RVPIF
2026-03-12,10.93,RVPIF
2026-03-13,10.84,RVPIF
2026-03-16,10.81,RVPIF
2026-03-17,10.79,RVPIF
2026-03-18,10.88,RVPIF
2026-03-19,10.89,RVPIF
2026-03-20,10.81,RVPIF
2026-03-23,10.58,RVPIF
2026-03-24,10.24,RVPIF
