date,price,symbol
2020-01-02,11.77,SSIBF
2020-01-03,11.81,SSIBF
2020-01-05,12.19,SSIBF
2020-01-06,12.19,SSIBF
2020-01-07,11.78,SSIBF
2020-01-08,11.79,SSIBF
2020-01-09,11.74,SSIBF
2020-01-10,11.8,SSIBF
2020-01-13,11.8,SSIBF
2020-01-14,11.8,SSIBF
2020-01-15,11.82,SSIBF
2020-01-16,11.82,SSIBF
2020-01-17,11.83,SSIBF
2020-01-20,11.84,SSIBF
2020-01-21,11.86,SSIBF
2020-01-22,11.87,SSIBF
2020-01-30,11.89,SSIBF
2020-01-31,11.77,SSIBF
2020-02-03,11.78,SSIBF
2020-02-04,11.74,SSIBF
2020-02-05,11.74,SSIBF
2020-02-06,11.74,SSIBF
2020-02-07,11.78,SSIBF
2020-02-10,11.77,SSIBF
2020-02-11,11.75,SSIBF
2020-02-12,11.76,SSIBF
2020-02-13,11.8,SSIBF
2020-02-14,11.8,SSIBF
2020-02-17,11.8,SSIBF
2020-02-18,11.8,SSIBF
2020-02-19,11.83,SSIBF
2020-02-20,11.84,SSIBF
2020-02-21,11.85,SSIBF
2020-02-24,11.82,SSIBF
2020-02-25,11.75,SSIBF
2020-02-26,11.78,SSIBF
2020-02-27,11.78,SSIBF
2020-02-28,11.81,SSIBF
2020-02-29,11.79,SSIBF
2020-03-02,11.79,SSIBF
2020-03-03,11.79,SSIBF
2020-03-04,11.8,SSIBF
2020-03-05,11.8,SSIBF
2020-03-06,11.79,SSIBF
2020-03-09,11.78,SSIBF
2020-03-10,11.7,SSIBF
2020-03-11,11.71,SSIBF
2020-03-12,11.67,SSIBF
2020-03-13,11.62,SSIBF
2020-03-16,11.6,SSIBF
2020-03-17,11.58,SSIBF
2020-03-18,11.58,SSIBF
2020-03-19,11.59,SSIBF
2020-03-20,11.59,SSIBF
2020-03-23,11.59,SSIBF
2020-03-24,11.59,SSIBF
2020-03-25,11.6,SSIBF
2020-03-26,11.6,SSIBF
2020-03-27,11.6,SSIBF
2020-03-30,11.59,SSIBF
2020-03-31,11.59,SSIBF
2020-04-01,11.59,SSIBF
2020-04-03,11.6,SSIBF
2020-04-06,11.6,SSIBF
2020-04-07,11.61,SSIBF
2020-04-08,11.61,SSIBF
2020-04-09,11.61,SSIBF
2020-04-10,11.61,SSIBF
2020-04-13,11.62,SSIBF
2020-04-14,11.62,SSIBF
2020-04-15,11.62,SSIBF
2020-04-16,11.64,SSIBF
2020-04-17,11.64,SSIBF
2020-04-20,11.64,SSIBF
2020-04-21,11.65,SSIBF
2020-04-22,11.65,SSIBF
2020-04-23,11.65,SSIBF
2020-04-24,11.65,SSIBF
2020-04-27,11.66,SSIBF
2020-04-28,11.66,SSIBF
2020-04-29,11.66,SSIBF
2020-04-30,11.65,SSIBF
2020-05-04,11.66,SSIBF
2020-05-05,11.67,SSIBF
2020-05-06,11.67,SSIBF
2020-05-07,11.67,SSIBF
2020-05-08,11.67,SSIBF
2020-05-11,11.68,SSIBF
2020-05-12,11.68,SSIBF
2020-05-13,11.68,SSIBF
2020-05-14,11.68,SSIBF
2020-05-15,11.69,SSIBF
2020-05-18,11.69,SSIBF
2020-05-19,11.69,SSIBF
2020-05-20,11.7,SSIBF
2020-05-21,11.7,SSIBF
2020-05-22,11.7,SSIBF
2020-05-25,11.7,SSIBF
2020-05-26,11.71,SSIBF
2020-05-27,11.71,SSIBF
2020-05-28,11.71,SSIBF
2020-05-29,11.71,SSIBF
2020-05-31,11.72,SSIBF
2020-06-01,11.72,SSIBF
2020-06-02,11.72,SSIBF
2020-06-03,11.72,SSIBF
2020-06-04,11.72,SSIBF
2020-06-05,11.73,SSIBF
2020-06-08,11.73,SSIBF
2020-06-09,11.73,SSIBF
2020-06-10,11.74,SSIBF
2020-06-11,11.74,SSIBF
2020-06-12,11.74,SSIBF
2020-06-15,11.74,SSIBF
2020-06-16,11.75,SSIBF
2020-06-17,11.75,SSIBF
2020-06-18,11.75,SSIBF
2020-06-22,11.76,SSIBF
2020-06-23,11.77,SSIBF
2020-06-24,11.77,SSIBF
2020-06-25,11.77,SSIBF
2020-06-26,11.77,SSIBF
2020-06-29,11.78,SSIBF
2020-06-30,11.78,SSIBF
2020-07-01,11.78,SSIBF
2020-07-02,11.78,SSIBF
2020-07-03,11.79,SSIBF
2020-07-06,11.79,SSIBF
2020-07-07,11.79,SSIBF
2020-07-08,11.79,SSIBF
2020-07-09,11.8,SSIBF
2020-07-10,11.8,SSIBF
2020-07-13,11.8,SSIBF
2020-07-14,11.81,SSIBF
2020-07-15,11.81,SSIBF
2020-07-16,11.81,SSIBF
2020-07-17,11.81,SSIBF
2020-07-20,11.82,SSIBF
2020-07-21,11.82,SSIBF
2020-07-22,11.82,SSIBF
2020-07-23,11.83,SSIBF
2020-07-24,11.83,SSIBF
2020-07-27,11.83,SSIBF
2020-07-28,11.84,SSIBF
2020-07-29,11.84,SSIBF
2020-07-30,11.84,SSIBF
2020-07-31,11.84,SSIBF
2020-08-03,11.85,SSIBF
2020-08-04,11.85,SSIBF
2020-08-05,11.85,SSIBF
2020-08-06,11.85,SSIBF
2020-08-07,11.86,SSIBF
2020-08-10,11.86,SSIBF
2020-08-11,11.86,SSIBF
2020-08-12,11.87,SSIBF
2020-08-13,11.87,SSIBF
2020-08-14,11.87,SSIBF
2020-08-17,11.87,SSIBF
2020-08-18,11.88,SSIBF
2020-08-19,11.88,SSIBF
2020-08-20,11.88,SSIBF
2020-08-21,11.88,SSIBF
2020-08-24,11.89,SSIBF
2020-08-25,11.89,SSIBF
2020-08-26,11.89,SSIBF
2020-08-27,11.9,SSIBF
2020-08-28,11.9,SSIBF
2020-08-31,11.91,SSIBF
2020-09-01,11.91,SSIBF
2020-09-03,11.91,SSIBF
2020-09-04,11.92,SSIBF
2020-09-07,11.92,SSIBF
2020-09-08,11.92,SSIBF
2020-09-09,11.93,SSIBF
2020-09-10,11.93,SSIBF
2020-09-11,11.93,SSIBF
2020-09-14,11.94,SSIBF
2020-09-15,11.94,SSIBF
2020-09-16,11.94,SSIBF
2020-09-17,11.94,SSIBF
2020-09-18,11.94,SSIBF
2020-09-21,11.95,SSIBF
2020-09-22,11.95,SSIBF
2020-09-23,11.96,SSIBF
2020-09-24,11.96,SSIBF
2020-09-25,11.96,SSIBF
2020-09-28,11.97,SSIBF
