date,price,symbol
2024-08-09,10.0,UVDIF
2024-08-15,9.99,UVDIF
2024-08-20,10.09,UVDIF
2024-08-22,10.11,UVDIF
2024-08-27,10.07,UVDIF
2024-08-29,10.07,UVDIF
2024-09-05,10.03,UVDIF
2024-09-10,10.01,UVDIF
2024-09-12,9.99,UVDIF
2024-09-17,9.99,UVDIF
2024-09-19,10.02,UVDIF
2024-09-24,10.07,UVDIF
2024-09-26,10.07,UVDIF
2024-10-01,10.05,UVDIF
2024-10-03,10.05,UVDIF
2024-10-08,10.0,UVDIF
2024-10-10,10.01,UVDIF
2024-10-15,10.01,UVDIF
2024-10-17,10.01,UVDIF
2024-10-22,9.96,UVDIF
2024-10-24,9.96,UVDIF
2024-10-29,9.94,UVDIF
2024-10-31,9.99,UVDIF
2024-11-05,9.92,UVDIF
2024-11-07,9.97,UVDIF
2024-11-12,9.96,UVDIF
2024-11-14,9.95,UVDIF
2024-11-19,9.84,UVDIF
2024-11-21,9.82,UVDIF
2024-11-26,9.89,UVDIF
2024-11-28,9.9,UVDIF
2024-12-03,9.95,UVDIF
2024-12-05,9.94,UVDIF
2024-12-10,10.05,UVDIF
2024-12-12,10.07,UVDIF
2024-12-17,10.06,UVDIF
2024-12-19,10.06,UVDIF
2024-12-24,10.03,UVDIF
2024-12-26,10.11,UVDIF
2024-12-31,10.14,UVDIF
2025-01-02,10.14,UVDIF
2025-01-07,10.02,UVDIF
2025-01-09,10.05,UVDIF
2025-01-14,9.94,UVDIF
2025-01-16,9.93,UVDIF
2025-01-21,10.01,UVDIF
2025-01-23,9.99,UVDIF
2025-02-04,10.05,UVDIF
2025-02-06,10.07,UVDIF
2025-02-11,10.06,UVDIF
2025-02-13,10.07,UVDIF
2025-02-18,10.08,UVDIF
2025-02-20,10.09,UVDIF
2025-02-25,10.14,UVDIF
2025-02-27,10.13,UVDIF
2025-03-04,10.11,UVDIF
2025-03-06,10.13,UVDIF
2025-03-11,10.17,UVDIF
2025-03-13,10.19,UVDIF
2025-03-18,10.08,UVDIF
2025-03-20,10.07,UVDIF
2025-03-25,10.12,UVDIF
2025-03-27,10.07,UVDIF
2025-04-01,10.06,UVDIF
2025-04-03,10.05,UVDIF
2025-04-08,9.79,UVDIF
2025-04-10,9.48,UVDIF
2025-04-15,9.82,UVDIF
2025-04-17,9.74,UVDIF
2025-04-22,9.78,UVDIF
2025-04-24,9.81,UVDIF
2025-04-29,9.85,UVDIF
2025-05-06,9.86,UVDIF
2025-05-08,9.89,UVDIF
2025-05-13,9.97,UVDIF
2025-05-15,10.04,UVDIF
2025-05-20,10.01,UVDIF
2025-05-22,10.06,UVDIF
2025-05-27,10.1,UVDIF
2025-05-29,10.13,UVDIF
2025-06-03,10.12,UVDIF
2025-06-05,10.08,UVDIF
2025-06-10,10.03,UVDIF
2025-06-12,10.08,UVDIF
2025-06-17,10.14,UVDIF
2025-06-19,10.15,UVDIF
2025-06-24,10.16,UVDIF
2025-06-26,10.18,UVDIF
2025-07-01,10.24,UVDIF
2025-07-03,10.26,UVDIF
2025-07-08,10.34,UVDIF
2025-07-10,10.39,UVDIF
2025-07-15,10.44,UVDIF
2025-07-17,10.44,UVDIF
2025-07-22,10.46,UVDIF
2025-07-24,10.51,UVDIF
2025-07-29,10.58,UVDIF
2025-07-31,10.48,UVDIF
2025-08-05,10.51,UVDIF
2025-08-07,10.61,UVDIF
2025-08-12,10.67,UVDIF
2025-08-14,10.72,UVDIF
2025-08-19,10.75,UVDIF
2025-08-21,10.77,UVDIF
2025-08-26,10.71,UVDIF
2025-08-28,10.85,UVDIF
2025-09-04,10.89,UVDIF
2025-09-09,10.82,UVDIF
2025-09-11,10.84,UVDIF
2025-09-16,10.9,UVDIF
2025-09-18,10.88,UVDIF
2025-09-23,10.82,UVDIF
2025-09-25,10.87,UVDIF
2025-09-30,10.89,UVDIF
2025-10-02,10.89,UVDIF
2025-10-07,10.95,UVDIF
2025-10-09,10.94,UVDIF
2025-10-14,11.02,UVDIF
2025-10-16,11.03,UVDIF
2025-10-21,10.83,UVDIF
2025-10-23,10.94,UVDIF
2025-10-28,10.87,UVDIF
2025-10-30,10.97,UVDIF
2025-11-04,10.84,UVDIF
2025-11-06,10.9,UVDIF
2025-11-11,10.76,UVDIF
2025-11-13,10.87,UVDIF
2025-11-18,10.87,UVDIF
2025-11-20,10.92,UVDIF
2025-11-25,10.93,UVDIF
2025-11-27,10.93,UVDIF
2025-12-02,10.94,UVDIF
2025-12-04,11.0,UVDIF
2025-12-09,11.0,UVDIF
2025-12-11,10.97,UVDIF
2025-12-16,10.87,UVDIF
2025-12-18,10.98,UVDIF
2025-12-23,11.08,UVDIF
2025-12-25,11.13,UVDIF
2025-12-30,11.06,UVDIF
2026-01-06,11.16,UVDIF
2026-01-08,11.28,UVDIF
2026-01-13,11.28,UVDIF
2026-01-15,11.28,UVDIF
2026-01-20,11.34,UVDIF
2026-01-22,11.28,UVDIF
2026-01-27,11.19,UVDIF
2026-01-29,11.19,UVDIF
2026-02-03,11.24,UVDIF
2026-02-05,11.25,UVDIF
2026-02-10,11.17,UVDIF
2026-02-12,11.16,UVDIF
2026-02-24,11.26,UVDIF
2026-02-26,11.28,UVDIF
2026-03-03,11.29,UVDIF
2026-03-05,11.27,UVDIF
2026-03-10,10.9,UVDIF
2026-03-12,11.07,UVDIF
2026-03-17,10.94,UVDIF
2026-03-19,10.99,UVDIF
2026-03-24,10.84,UVDIF
