date,price,symbol
2024-03-18,10.0,VCAMDF
2024-05-27,10.0,VCAMDF
2024-05-28,10.0,VCAMDF
2024-05-29,10.0,VCAMDF
2024-05-30,10.0,VCAMDF
2024-05-31,10.0,VCAMDF
2024-06-03,10.0,VCAMDF
2024-06-04,9.99,VCAMDF
2024-06-05,9.99,VCAMDF
2024-06-06,10.0,VCAMDF
2024-06-07,10.01,VCAMDF
2024-06-10,10.04,VCAMDF
2024-06-11,10.02,VCAMDF
2024-06-12,10.04,VCAMDF
2024-06-13,10.08,VCAMDF
2024-06-14,10.1,VCAMDF
2024-06-17,10.0,VCAMDF
2024-06-18,10.04,VCAMDF
2024-06-19,10.11,VCAMDF
2024-06-20,10.11,VCAMDF
2024-06-21,10.15,VCAMDF
2024-06-24,10.16,VCAMDF
2024-06-25,10.04,VCAMDF
2024-06-26,10.0,VCAMDF
2024-06-27,10.02,VCAMDF
2024-06-28,9.98,VCAMDF
2024-07-01,9.91,VCAMDF
2024-07-02,9.9,VCAMDF
2024-07-03,9.93,VCAMDF
2024-07-04,9.96,VCAMDF
2024-07-05,10.0,VCAMDF
2024-07-08,10.04,VCAMDF
2024-07-09,10.17,VCAMDF
2024-07-10,10.29,VCAMDF
2024-07-11,10.27,VCAMDF
2024-07-12,10.25,VCAMDF
2024-07-15,10.22,VCAMDF
2024-07-16,10.3,VCAMDF
2024-07-17,10.27,VCAMDF
2024-07-18,9.9,VCAMDF
2024-07-19,9.95,VCAMDF
2024-07-22,9.84,VCAMDF
2024-07-23,9.68,VCAMDF
2024-07-24,9.59,VCAMDF
2024-07-25,9.64,VCAMDF
2024-07-26,9.65,VCAMDF
2024-07-29,9.68,VCAMDF
2024-07-30,9.71,VCAMDF
2024-07-31,9.67,VCAMDF
2024-08-01,9.66,VCAMDF
2024-08-02,9.56,VCAMDF
2024-08-05,9.59,VCAMDF
2024-08-06,9.47,VCAMDF
2024-08-07,9.53,VCAMDF
2024-08-08,9.52,VCAMDF
2024-08-09,9.52,VCAMDF
2024-08-12,9.55,VCAMDF
2024-08-13,9.57,VCAMDF
2024-08-14,9.56,VCAMDF
2024-08-15,9.54,VCAMDF
2024-08-16,9.48,VCAMDF
2024-08-19,9.69,VCAMDF
2024-08-20,9.75,VCAMDF
2024-08-21,9.8,VCAMDF
2024-08-22,9.87,VCAMDF
2024-08-23,9.88,VCAMDF
2024-08-26,9.84,VCAMDF
2024-08-27,9.75,VCAMDF
2024-08-28,9.72,VCAMDF
2024-08-29,9.76,VCAMDF
2024-08-30,9.73,VCAMDF
2024-09-04,9.75,VCAMDF
2024-09-05,9.73,VCAMDF
2024-09-06,9.7,VCAMDF
2024-09-09,9.71,VCAMDF
2024-09-10,9.69,VCAMDF
2024-09-11,9.66,VCAMDF
2024-09-12,9.65,VCAMDF
2024-09-13,9.67,VCAMDF
2024-09-16,9.69,VCAMDF
2024-09-17,9.61,VCAMDF
2024-09-18,9.64,VCAMDF
2024-09-19,9.67,VCAMDF
2024-09-20,9.69,VCAMDF
2024-09-23,9.67,VCAMDF
2024-09-24,9.65,VCAMDF
2024-09-25,9.71,VCAMDF
2024-09-26,9.87,VCAMDF
2024-09-27,9.87,VCAMDF
2024-09-30,9.88,VCAMDF
2024-10-01,9.87,VCAMDF
2024-10-02,9.85,VCAMDF
2024-10-03,9.8,VCAMDF
2024-10-04,9.68,VCAMDF
2024-10-07,9.67,VCAMDF
2024-10-08,9.67,VCAMDF
2024-10-09,9.73,VCAMDF
2024-10-10,9.77,VCAMDF
2024-10-11,9.77,VCAMDF
2024-10-14,9.77,VCAMDF
2024-10-15,9.77,VCAMDF
2024-10-16,9.69,VCAMDF
2024-10-17,9.67,VCAMDF
2024-10-18,9.68,VCAMDF
2024-10-21,9.63,VCAMDF
2024-10-22,9.53,VCAMDF
2024-10-23,9.45,VCAMDF
2024-10-24,9.48,VCAMDF
2024-10-25,9.43,VCAMDF
2024-10-28,9.42,VCAMDF
2024-10-29,9.46,VCAMDF
2024-10-30,9.5,VCAMDF
2024-10-31,9.54,VCAMDF
2024-11-01,9.52,VCAMDF
2024-11-04,9.47,VCAMDF
2024-11-05,9.47,VCAMDF
2024-11-06,9.48,VCAMDF
2024-11-07,9.5,VCAMDF
2024-11-08,9.57,VCAMDF
2024-11-11,9.65,VCAMDF
2024-11-12,9.71,VCAMDF
2024-11-13,9.68,VCAMDF
2024-11-14,9.67,VCAMDF
2024-11-15,9.61,VCAMDF
2024-11-18,9.52,VCAMDF
2024-11-19,9.49,VCAMDF
2024-11-20,9.31,VCAMDF
2024-11-21,9.34,VCAMDF
2024-11-22,9.4,VCAMDF
2024-11-25,9.36,VCAMDF
2024-11-26,9.37,VCAMDF
2024-11-27,9.38,VCAMDF
2024-11-28,9.44,VCAMDF
2024-11-29,9.45,VCAMDF
2024-12-02,9.53,VCAMDF
2024-12-03,9.55,VCAMDF
2024-12-04,9.59,VCAMDF
2024-12-05,9.52,VCAMDF
2024-12-06,9.6,VCAMDF
2024-12-09,9.61,VCAMDF
2024-12-10,9.61,VCAMDF
2024-12-11,9.63,VCAMDF
2024-12-12,9.64,VCAMDF
2024-12-13,9.6,VCAMDF
2024-12-16,9.57,VCAMDF
2024-12-17,9.61,VCAMDF
2024-12-18,9.62,VCAMDF
2024-12-19,9.67,VCAMDF
2024-12-20,9.68,VCAMDF
2024-12-23,9.81,VCAMDF
2024-12-24,9.82,VCAMDF
2024-12-25,9.9,VCAMDF
2024-12-26,9.9,VCAMDF
2024-12-27,9.84,VCAMDF
2024-12-30,9.75,VCAMDF
2024-12-31,9.73,VCAMDF
2025-01-02,9.73,VCAMDF
2025-01-03,9.75,VCAMDF
2025-01-06,9.69,VCAMDF
2025-01-07,9.6,VCAMDF
2025-01-08,9.64,VCAMDF
2025-01-09,9.62,VCAMDF
2025-01-10,9.58,VCAMDF
2025-01-13,9.43,VCAMDF
2025-01-14,9.46,VCAMDF
2025-01-15,9.41,VCAMDF
2025-01-16,9.51,VCAMDF
2025-01-17,9.53,VCAMDF
2025-01-20,9.64,VCAMDF
2025-01-21,9.63,VCAMDF
2025-01-22,9.72,VCAMDF
2025-01-23,9.73,VCAMDF
2025-01-24,9.77,VCAMDF
2025-02-03,9.71,VCAMDF
2025-02-04,9.52,VCAMDF
2025-02-05,9.62,VCAMDF
2025-02-06,9.67,VCAMDF
2025-02-07,9.68,VCAMDF
2025-02-10,9.64,VCAMDF
2025-02-11,9.49,VCAMDF
2025-02-12,9.53,VCAMDF
2025-02-13,9.52,VCAMDF
2025-02-14,9.55,VCAMDF
2025-02-17,9.59,VCAMDF
2025-02-18,9.62,VCAMDF
2025-02-19,9.63,VCAMDF
2025-02-20,9.69,VCAMDF
2025-02-21,9.67,VCAMDF
2025-02-24,9.68,VCAMDF
2025-02-25,9.71,VCAMDF
2025-02-26,9.73,VCAMDF
2025-02-27,9.79,VCAMDF
2025-02-28,9.8,VCAMDF
2025-03-03,9.74,VCAMDF
2025-03-04,9.74,VCAMDF
2025-03-05,9.71,VCAMDF
2025-03-06,9.61,VCAMDF
2025-03-07,9.68,VCAMDF
2025-03-10,9.67,VCAMDF
2025-03-11,9.68,VCAMDF
2025-03-12,9.67,VCAMDF
2025-03-13,9.66,VCAMDF
2025-03-14,9.56,VCAMDF
2025-03-17,9.52,VCAMDF
2025-03-18,9.55,VCAMDF
2025-03-19,9.47,VCAMDF
2025-03-20,9.4,VCAMDF
