date,price,symbol
2020-01-02,18.29,VCBF-BCF
2020-01-08,18.35,VCBF-BCF
2020-01-15,18.4,VCBF-BCF
2020-01-22,18.74,VCBF-BCF
2020-01-30,18.81,VCBF-BCF
2020-01-31,17.72,VCBF-BCF
2020-02-05,17.4,VCBF-BCF
2020-02-12,17.61,VCBF-BCF
2020-02-19,17.95,VCBF-BCF
2020-02-26,17.54,VCBF-BCF
2020-02-29,17.33,VCBF-BCF
2020-03-04,17.55,VCBF-BCF
2020-03-11,16.49,VCBF-BCF
2020-03-18,14.75,VCBF-BCF
2020-03-25,13.51,VCBF-BCF
2020-03-31,13.07,VCBF-BCF
2020-04-08,14.42,VCBF-BCF
2020-04-15,14.7,VCBF-BCF
2020-04-22,14.75,VCBF-BCF
2020-04-29,15.07,VCBF-BCF
2020-04-30,15.14,VCBF-BCF
2020-05-06,15.04,VCBF-BCF
2020-05-13,15.75,VCBF-BCF
2020-05-20,15.91,VCBF-BCF
2020-05-27,16.19,VCBF-BCF
2020-05-31,15.98,VCBF-BCF
2020-06-03,16.16,VCBF-BCF
2020-06-10,16.57,VCBF-BCF
2020-06-17,16.06,VCBF-BCF
2020-06-24,16.26,VCBF-BCF
2020-07-01,15.86,VCBF-BCF
2020-07-08,16.25,VCBF-BCF
2020-07-15,16.31,VCBF-BCF
2020-07-22,16.32,VCBF-BCF
2020-07-29,15.71,VCBF-BCF
2020-07-31,15.53,VCBF-BCF
2020-08-05,15.94,VCBF-BCF
2020-08-12,16.2,VCBF-BCF
2020-08-19,16.46,VCBF-BCF
2020-08-26,16.97,VCBF-BCF
2020-08-31,17.1,VCBF-BCF
2020-09-03,17.2,VCBF-BCF
2020-09-09,17.09,VCBF-BCF
2020-09-16,17.3,VCBF-BCF
2020-09-23,17.63,VCBF-BCF
2020-09-30,17.76,VCBF-BCF
2020-10-07,18.07,VCBF-BCF
2020-10-14,18.01,VCBF-BCF
2020-10-21,18.34,VCBF-BCF
2020-10-28,18.22,VCBF-BCF
2020-10-31,17.98,VCBF-BCF
2020-11-04,18.2,VCBF-BCF
2020-11-11,18.53,VCBF-BCF
2020-11-18,19.07,VCBF-BCF
2020-11-25,19.51,VCBF-BCF
2020-11-30,19.66,VCBF-BCF
2020-12-02,19.77,VCBF-BCF
2020-12-09,20.2,VCBF-BCF
2020-12-16,20.48,VCBF-BCF
2020-12-23,20.91,VCBF-BCF
2020-12-30,21.23,VCBF-BCF
2020-12-31,21.35,VCBF-BCF
2021-01-06,22.05,VCBF-BCF
2021-01-13,23.12,VCBF-BCF
2021-01-20,21.77,VCBF-BCF
2021-01-27,22.1,VCBF-BCF
2021-01-31,20.83,VCBF-BCF
2021-02-03,20.94,VCBF-BCF
2021-02-10,22.0,VCBF-BCF
2021-02-17,21.99,VCBF-BCF
2021-02-24,23.2,VCBF-BCF
2021-02-28,23.27,VCBF-BCF
2021-03-03,23.62,VCBF-BCF
2021-03-10,23.32,VCBF-BCF
2021-03-17,23.87,VCBF-BCF
2021-03-24,23.84,VCBF-BCF
2021-03-31,23.63,VCBF-BCF
2021-04-07,24.49,VCBF-BCF
2021-04-14,24.37,VCBF-BCF
2021-04-22,24.64,VCBF-BCF
2021-04-28,23.81,VCBF-BCF
2021-04-30,24.15,VCBF-BCF
2021-05-05,24.23,VCBF-BCF
2021-05-12,24.74,VCBF-BCF
2021-05-19,24.76,VCBF-BCF
2021-05-26,26.17,VCBF-BCF
2021-05-31,26.77,VCBF-BCF
2021-06-02,27.09,VCBF-BCF
2021-06-09,26.45,VCBF-BCF
2021-06-16,27.6,VCBF-BCF
2021-06-23,28.07,VCBF-BCF
2021-06-30,28.3,VCBF-BCF
2021-07-07,27.14,VCBF-BCF
2021-07-14,26.71,VCBF-BCF
2021-07-21,26.36,VCBF-BCF
2021-07-28,26.7,VCBF-BCF
2021-08-04,27.62,VCBF-BCF
2021-08-11,28.16,VCBF-BCF
2021-08-18,28.09,VCBF-BCF
2021-08-25,26.81,VCBF-BCF
2021-09-01,27.51,VCBF-BCF
2021-09-08,27.71,VCBF-BCF
2021-09-15,27.81,VCBF-BCF
2021-09-22,28.01,VCBF-BCF
2021-09-29,28.28,VCBF-BCF
2021-10-06,28.63,VCBF-BCF
2021-10-13,29.55,VCBF-BCF
2021-10-20,29.42,VCBF-BCF
2021-10-27,29.32,VCBF-BCF
2021-11-03,30.04,VCBF-BCF
2021-11-10,30.24,VCBF-BCF
2021-11-17,30.23,VCBF-BCF
2021-11-24,29.91,VCBF-BCF
2021-12-01,29.78,VCBF-BCF
2021-12-08,29.1,VCBF-BCF
2021-12-15,29.43,VCBF-BCF
2021-12-22,29.23,VCBF-BCF
2021-12-29,29.23,VCBF-BCF
2022-01-05,29.77,VCBF-BCF
2022-01-12,29.04,VCBF-BCF
2022-01-19,28.91,VCBF-BCF
2022-01-26,29.41,VCBF-BCF
2022-02-07,29.78,VCBF-BCF
2022-02-09,30.24,VCBF-BCF
2022-02-16,30.12,VCBF-BCF
2022-02-23,30.52,VCBF-BCF
2022-03-02,30.46,VCBF-BCF
2022-03-09,29.83,VCBF-BCF
2022-03-16,29.5,VCBF-BCF
2022-03-23,30.44,VCBF-BCF
2022-03-30,31.1,VCBF-BCF
2022-04-06,31.72,VCBF-BCF
2022-04-13,30.76,VCBF-BCF
2022-04-20,30.74,VCBF-BCF
2022-04-27,29.01,VCBF-BCF
2022-05-04,29.49,VCBF-BCF
2022-05-11,28.27,VCBF-BCF
2022-05-18,27.38,VCBF-BCF
2022-05-25,27.32,VCBF-BCF
2022-06-01,28.91,VCBF-BCF
2022-06-08,29.27,VCBF-BCF
2022-06-15,27.64,VCBF-BCF
2022-06-22,26.54,VCBF-BCF
2022-06-29,27.77,VCBF-BCF
2022-07-05,27.33,VCBF-BCF
2022-07-07,26.46,VCBF-BCF
2022-07-12,26.49,VCBF-BCF
2022-07-14,26.94,VCBF-BCF
2022-07-19,26.88,VCBF-BCF
2022-07-21,27.21,VCBF-BCF
2022-07-26,27.06,VCBF-BCF
2022-07-28,27.02,VCBF-BCF
2022-08-02,27.92,VCBF-BCF
2022-08-04,28.23,VCBF-BCF
2022-08-09,28.2,VCBF-BCF
2022-08-11,28.21,VCBF-BCF
2022-08-16,28.62,VCBF-BCF
2022-08-18,28.63,VCBF-BCF
2022-08-23,28.47,VCBF-BCF
2022-08-25,28.79,VCBF-BCF
2022-08-30,28.79,VCBF-BCF
2022-09-06,28.88,VCBF-BCF
2022-09-08,28.03,VCBF-BCF
2022-09-13,28.27,VCBF-BCF
2022-09-15,28.05,VCBF-BCF
