date,price,symbol
2021-09-07,10.0,VLBF
2021-09-08,10.0,VLBF
2021-09-09,10.0,VLBF
2021-09-12,10.0,VLBF
2021-09-13,10.0,VLBF
2021-09-14,10.0,VLBF
2021-09-15,10.0,VLBF
2021-09-16,10.0,VLBF
2021-09-19,10.0,VLBF
2021-09-20,10.0,VLBF
2021-09-21,10.0,VLBF
2021-09-22,10.0,VLBF
2021-09-23,10.0,VLBF
2021-09-26,10.01,VLBF
2021-09-27,10.01,VLBF
2021-09-28,10.01,VLBF
2021-09-29,10.01,VLBF
2021-09-30,10.02,VLBF
2021-10-03,10.02,VLBF
2021-10-04,10.02,VLBF
2021-10-05,10.02,VLBF
2021-10-06,10.02,VLBF
2021-10-07,10.03,VLBF
2021-10-10,10.03,VLBF
2021-10-11,10.03,VLBF
2021-10-12,10.03,VLBF
2021-10-13,10.04,VLBF
2021-10-14,10.04,VLBF
2021-10-17,10.04,VLBF
2021-10-18,10.05,VLBF
2021-10-19,10.05,VLBF
2021-10-20,10.05,VLBF
2021-10-21,10.05,VLBF
2021-10-24,10.06,VLBF
2021-10-25,10.06,VLBF
2021-10-26,10.06,VLBF
2021-10-27,10.06,VLBF
2021-10-28,10.06,VLBF
2021-10-31,10.07,VLBF
2021-11-01,10.07,VLBF
2021-11-02,10.07,VLBF
2021-11-03,10.07,VLBF
2021-11-04,10.07,VLBF
2021-11-07,10.08,VLBF
2021-11-08,10.08,VLBF
2021-11-09,10.08,VLBF
2021-11-10,10.09,VLBF
2021-11-11,10.09,VLBF
2021-11-14,10.09,VLBF
2021-11-15,10.09,VLBF
2021-11-16,10.1,VLBF
2021-11-17,10.1,VLBF
2021-11-18,10.1,VLBF
2021-11-21,10.1,VLBF
2021-11-22,10.1,VLBF
2021-11-23,10.1,VLBF
2021-11-24,10.11,VLBF
2021-11-25,10.11,VLBF
2021-11-28,10.11,VLBF
2021-11-29,10.11,VLBF
2021-11-30,10.11,VLBF
2021-12-01,10.11,VLBF
2021-12-02,10.12,VLBF
2021-12-05,10.12,VLBF
