date,price,symbol
2023-08-18,10.0,VNDCF
2023-08-28,10.0,VNDCF
2023-09-01,10.03,VNDCF
2023-09-04,10.04,VNDCF
2023-09-08,9.98,VNDCF
2023-09-11,9.99,VNDCF
2023-09-12,10.0,VNDCF
2023-09-13,10.0,VNDCF
2023-09-14,10.0,VNDCF
2023-09-15,10.0,VNDCF
2023-09-18,10.01,VNDCF
2023-09-19,10.01,VNDCF
2023-09-20,10.01,VNDCF
2023-09-21,10.01,VNDCF
2023-09-22,10.02,VNDCF
2023-09-25,10.02,VNDCF
2023-09-26,10.03,VNDCF
2023-09-27,10.02,VNDCF
2023-09-28,10.03,VNDCF
2023-09-29,10.02,VNDCF
2023-10-01,10.02,VNDCF
2023-10-02,10.02,VNDCF
2023-10-03,10.02,VNDCF
2023-10-04,10.04,VNDCF
2023-10-05,10.04,VNDCF
2023-10-06,10.04,VNDCF
2023-10-09,10.05,VNDCF
2023-10-10,10.05,VNDCF
2023-10-11,10.11,VNDCF
2023-10-12,10.11,VNDCF
2023-10-13,10.12,VNDCF
2023-10-16,10.13,VNDCF
2023-10-17,10.12,VNDCF
2023-10-18,10.13,VNDCF
2023-10-19,10.13,VNDCF
2023-10-20,10.13,VNDCF
2023-10-23,10.14,VNDCF
2023-10-24,10.14,VNDCF
2023-10-25,10.14,VNDCF
2023-10-26,10.14,VNDCF
2023-10-27,10.14,VNDCF
2023-10-30,10.15,VNDCF
2023-10-31,10.15,VNDCF
2023-11-01,10.15,VNDCF
2023-11-02,10.15,VNDCF
2023-11-03,10.16,VNDCF
2023-11-06,10.16,VNDCF
2023-11-07,10.16,VNDCF
2023-11-08,10.16,VNDCF
2023-11-09,10.17,VNDCF
2023-11-10,10.17,VNDCF
2023-11-13,10.18,VNDCF
2023-11-14,10.18,VNDCF
2023-11-15,10.18,VNDCF
2023-11-16,10.18,VNDCF
2023-11-17,10.18,VNDCF
2023-11-20,10.19,VNDCF
2023-11-21,10.19,VNDCF
2023-11-22,10.19,VNDCF
2023-11-23,10.2,VNDCF
2023-11-24,10.2,VNDCF
