date,price,symbol
2020-11-06,10.0,ABBF
2020-11-18,9.99,ABBF
2020-12-02,9.99,ABBF
2020-12-16,10.03,ABBF
2020-12-23,10.04,ABBF
2020-12-30,10.05,ABBF
2021-01-06,10.07,ABBF
2021-01-13,10.06,ABBF
2021-01-20,10.09,ABBF
2021-01-27,10.13,ABBF
2021-02-03,10.15,ABBF
2021-02-24,10.18,ABBF
2021-03-03,10.19,ABBF
2021-03-10,10.2,ABBF
2021-03-17,10.21,ABBF
2021-03-24,10.23,ABBF
2021-03-31,10.24,ABBF
2021-04-07,10.25,ABBF
2021-04-14,10.26,ABBF
2021-04-22,10.27,ABBF
2021-04-28,10.28,ABBF
2021-05-05,10.28,ABBF
2021-05-12,10.29,ABBF
2021-05-19,10.3,ABBF
2021-05-26,10.31,ABBF
2021-06-02,10.34,ABBF
2021-06-09,10.36,ABBF
2021-06-16,10.37,ABBF
2021-06-23,10.37,ABBF
2021-06-30,10.39,ABBF
2021-07-07,10.4,ABBF
2021-07-14,10.41,ABBF
2021-07-20,10.42,ABBF
2021-07-22,10.43,ABBF
2021-07-27,10.43,ABBF
2021-07-29,10.43,ABBF
2021-08-03,10.45,ABBF
2021-08-05,10.46,ABBF
2021-08-10,10.47,ABBF
2021-08-12,10.48,ABBF
2021-08-17,10.48,ABBF
2021-08-19,10.49,ABBF
2021-08-24,10.5,ABBF
2021-08-26,10.51,ABBF
2021-08-31,10.52,ABBF
2021-09-07,10.53,ABBF
2021-09-09,10.53,ABBF
2021-09-14,10.54,ABBF
2021-09-16,10.55,ABBF
2021-09-21,10.55,ABBF
2021-09-23,10.56,ABBF
2021-09-28,10.56,ABBF
2021-09-30,10.57,ABBF
2021-10-05,10.58,ABBF
2021-10-07,10.58,ABBF
2021-10-12,10.6,ABBF
2021-10-14,10.6,ABBF
2021-10-19,10.6,ABBF
2021-10-21,10.61,ABBF
2021-10-26,10.61,ABBF
2021-10-28,10.62,ABBF
2021-11-02,10.62,ABBF
2021-11-04,10.62,ABBF
2021-11-09,10.63,ABBF
2021-11-11,10.64,ABBF
2021-11-16,10.65,ABBF
2021-11-18,10.65,ABBF
2021-11-23,10.66,ABBF
2021-11-25,10.66,ABBF
2021-11-30,10.67,ABBF
2021-12-02,10.68,ABBF
2021-12-07,10.69,ABBF
2021-12-09,10.69,ABBF
2021-12-14,10.7,ABBF
2021-12-16,10.71,ABBF
2021-12-21,10.72,ABBF
2021-12-23,10.73,ABBF
2021-12-28,10.74,ABBF
2021-12-30,10.74,ABBF
2022-01-04,10.75,ABBF
2022-01-06,10.75,ABBF
2022-01-11,10.76,ABBF
2022-01-13,10.77,ABBF
2022-01-18,10.78,ABBF
2022-01-20,10.78,ABBF
2022-01-25,10.78,ABBF
2022-01-27,10.79,ABBF
2022-02-10,10.83,ABBF
2022-02-15,10.84,ABBF
2022-02-17,10.84,ABBF
2022-02-22,10.85,ABBF
2022-02-24,10.86,ABBF
2022-03-01,10.87,ABBF
2022-03-03,10.87,ABBF
2022-03-08,10.88,ABBF
2022-03-10,10.89,ABBF
2022-03-15,10.9,ABBF
2022-03-17,10.9,ABBF
2022-03-22,10.91,ABBF
2022-03-24,10.92,ABBF
2022-03-29,10.92,ABBF
2022-03-31,10.93,ABBF
2022-04-05,10.94,ABBF
2022-04-07,10.94,ABBF
2022-04-12,10.95,ABBF
2022-04-14,10.95,ABBF
2022-04-19,10.96,ABBF
2022-04-21,10.97,ABBF
2022-04-26,10.97,ABBF
2022-04-28,10.98,ABBF
2022-05-05,10.99,ABBF
2022-05-10,11.0,ABBF
2022-05-12,11.01,ABBF
2022-05-17,11.02,ABBF
2022-05-19,11.02,ABBF
2022-05-24,11.03,ABBF
2022-05-26,11.04,ABBF
2022-05-31,11.05,ABBF
2022-06-01,11.05,ABBF
2022-06-02,11.05,ABBF
2022-06-03,11.05,ABBF
2022-06-06,11.06,ABBF
2022-06-07,11.06,ABBF
2022-06-08,11.07,ABBF
2022-06-09,11.07,ABBF
2022-06-10,11.07,ABBF
2022-06-13,11.07,ABBF
2022-06-14,11.07,ABBF
2022-06-15,11.08,ABBF
2022-06-16,11.08,ABBF
2022-06-17,11.08,ABBF
2022-06-20,11.09,ABBF
2022-06-21,11.09,ABBF
2022-06-22,11.09,ABBF
2022-06-23,11.1,ABBF
2022-06-24,11.1,ABBF
2022-06-27,11.1,ABBF
2022-06-28,11.11,ABBF
2022-06-29,11.11,ABBF
2022-06-30,11.11,ABBF
2022-07-01,11.11,ABBF
2022-07-04,11.12,ABBF
2022-07-05,11.12,ABBF
2022-07-06,11.12,ABBF
2022-07-07,11.12,ABBF
2022-07-08,11.12,ABBF
2022-07-11,11.13,ABBF
2022-07-12,11.13,ABBF
2022-07-13,11.13,ABBF
2022-07-14,11.14,ABBF
2022-07-15,11.14,ABBF
2022-07-18,11.14,ABBF
2022-07-19,11.14,ABBF
2022-07-20,11.14,ABBF
2022-07-21,11.15,ABBF
2022-07-22,11.15,ABBF
2022-07-25,11.15,ABBF
2022-07-26,11.16,ABBF
2022-07-27,11.16,ABBF
2022-07-28,11.17,ABBF
2022-07-29,11.17,ABBF
2022-08-01,11.18,ABBF
2022-08-02,11.18,ABBF
2022-08-03,11.18,ABBF
2022-08-04,11.18,ABBF
2022-08-05,11.19,ABBF
2022-08-08,11.19,ABBF
2022-08-09,11.19,ABBF
2022-08-10,11.2,ABBF
2022-08-12,11.2,ABBF
2022-08-15,11.21,ABBF
2022-08-16,11.21,ABBF
2022-08-17,11.21,ABBF
2022-08-18,11.21,ABBF
2022-08-19,11.22,ABBF
2022-08-22,11.22,ABBF
2022-08-23,11.22,ABBF
2022-08-24,11.23,ABBF
2022-08-25,11.23,ABBF
2022-08-26,11.23,ABBF
2022-08-29,11.24,ABBF
2022-08-30,11.24,ABBF
2022-08-31,11.24,ABBF
2022-09-05,11.25,ABBF
2022-09-06,11.25,ABBF
2022-09-08,11.26,ABBF
2022-09-09,11.26,ABBF
2022-09-12,11.27,ABBF
2022-09-13,11.27,ABBF
2022-09-14,11.27,ABBF
2022-09-15,11.27,ABBF
2022-09-16,11.28,ABBF
2022-09-19,11.28,ABBF
2022-09-20,11.28,ABBF
2022-09-21,11.29,ABBF
2022-09-22,11.29,ABBF
2022-09-23,11.29,ABBF
2022-09-26,11.3,ABBF
2022-09-27,11.3,ABBF
2022-09-28,11.36,ABBF
2022-09-29,11.31,ABBF
2022-09-30,11.31,ABBF
2022-10-03,11.32,ABBF
2022-10-04,11.32,ABBF
2022-10-05,11.32,ABBF
2022-10-06,11.33,ABBF
2022-10-07,11.32,ABBF
2022-10-10,11.34,ABBF
2022-10-11,11.34,ABBF
2022-10-12,11.34,ABBF
2022-10-13,11.34,ABBF
