date,price,symbol
2023-02-14,10.0,BMFF
2023-02-20,10.0,BMFF
2023-02-21,10.0,BMFF
2023-02-22,9.99,BMFF
2023-02-23,9.99,BMFF
2023-02-26,9.97,BMFF
2023-02-27,9.95,BMFF
2023-02-28,9.96,BMFF
2023-03-01,10.01,BMFF
2023-03-02,10.01,BMFF
2023-03-05,9.97,BMFF
2023-03-06,9.98,BMFF
2023-03-07,9.99,BMFF
2023-03-08,10.03,BMFF
2023-03-09,10.06,BMFF
2023-03-12,10.04,BMFF
2023-03-13,10.04,BMFF
2023-03-14,9.97,BMFF
2023-03-15,10.07,BMFF
2023-03-16,10.0,BMFF
2023-03-19,10.03,BMFF
2023-03-20,9.94,BMFF
2023-03-21,10.02,BMFF
2023-03-22,10.01,BMFF
2023-03-23,10.03,BMFF
2023-03-26,10.05,BMFF
2023-03-27,10.05,BMFF
2023-03-28,10.07,BMFF
2023-03-29,10.08,BMFF
2023-03-30,10.1,BMFF
2023-03-31,10.14,BMFF
2023-04-02,10.14,BMFF
2023-04-03,10.21,BMFF
2023-04-04,10.24,BMFF
2023-04-05,10.26,BMFF
2023-04-06,10.2,BMFF
2023-04-09,10.21,BMFF
2023-04-10,10.23,BMFF
2023-04-11,10.27,BMFF
2023-04-12,10.31,BMFF
2023-04-13,10.28,BMFF
2023-04-16,10.18,BMFF
2023-04-17,10.21,BMFF
2023-04-18,10.21,BMFF
2023-04-19,10.15,BMFF
2023-04-20,10.13,BMFF
2023-04-23,10.13,BMFF
2023-04-24,10.18,BMFF
2023-04-25,10.14,BMFF
2023-04-26,10.17,BMFF
2023-04-27,10.18,BMFF
2023-04-30,10.22,BMFF
2023-05-01,10.22,BMFF
2023-05-03,10.22,BMFF
2023-05-04,10.2,BMFF
2023-05-07,10.18,BMFF
2023-05-08,10.27,BMFF
2023-05-09,10.28,BMFF
2023-05-10,10.31,BMFF
2023-05-11,10.31,BMFF
2023-05-14,10.34,BMFF
2023-05-15,10.35,BMFF
2023-05-16,10.34,BMFF
2023-05-17,10.29,BMFF
2023-05-18,10.33,BMFF
2023-05-21,10.39,BMFF
2023-05-22,10.47,BMFF
2023-05-23,10.45,BMFF
2023-05-24,10.42,BMFF
2023-05-25,10.44,BMFF
2023-05-28,10.44,BMFF
2023-05-29,10.48,BMFF
2023-05-30,10.48,BMFF
2023-05-31,10.48,BMFF
2023-06-01,10.49,BMFF
2023-06-04,10.59,BMFF
2023-06-05,10.66,BMFF
2023-06-06,10.69,BMFF
2023-06-07,10.72,BMFF
2023-06-08,10.63,BMFF
2023-06-11,10.66,BMFF
2023-06-12,10.69,BMFF
2023-06-13,10.68,BMFF
2023-06-14,10.71,BMFF
2023-06-15,10.7,BMFF
2023-06-18,10.7,BMFF
2023-06-19,10.66,BMFF
2023-06-20,10.72,BMFF
2023-06-21,10.77,BMFF
2023-06-22,10.81,BMFF
2023-06-25,10.81,BMFF
2023-06-26,10.79,BMFF
2023-06-27,10.82,BMFF
2023-06-28,10.86,BMFF
2023-06-29,10.76,BMFF
2023-06-30,10.76,BMFF
2023-07-02,10.76,BMFF
2023-07-03,10.76,BMFF
2023-07-04,10.8,BMFF
2023-07-05,10.82,BMFF
2023-07-06,10.76,BMFF
2023-07-09,10.79,BMFF
2023-07-10,10.88,BMFF
2023-07-11,10.88,BMFF
2023-07-12,10.9,BMFF
2023-07-13,10.93,BMFF
2023-07-16,10.88,BMFF
2023-07-17,10.9,BMFF
2023-07-18,10.9,BMFF
2023-07-19,10.88,BMFF
2023-07-20,10.87,BMFF
2023-07-23,10.9,BMFF
2023-07-24,10.91,BMFF
2023-07-25,10.96,BMFF
2023-07-26,10.94,BMFF
2023-07-27,10.89,BMFF
2023-07-30,10.96,BMFF
2023-07-31,11.05,BMFF
2023-08-01,11.01,BMFF
2023-08-02,11.02,BMFF
2023-08-03,11.0,BMFF
2023-08-06,11.08,BMFF
2023-08-07,11.17,BMFF
2023-08-08,11.2,BMFF
2023-08-09,11.19,BMFF
2023-08-10,11.09,BMFF
2023-08-13,11.14,BMFF
2023-08-14,11.15,BMFF
2023-08-15,11.2,BMFF
2023-08-16,11.27,BMFF
2023-08-17,11.18,BMFF
2023-08-20,10.89,BMFF
2023-08-21,10.94,BMFF
2023-08-22,10.94,BMFF
2023-08-23,10.87,BMFF
2023-08-24,10.96,BMFF
2023-08-27,10.92,BMFF
2023-08-28,11.01,BMFF
2023-08-29,10.99,BMFF
2023-08-30,11.07,BMFF
2023-08-31,11.14,BMFF
2023-09-04,11.14,BMFF
2023-09-05,11.17,BMFF
2023-09-06,11.23,BMFF
2023-09-07,11.23,BMFF
2023-09-10,11.19,BMFF
2023-09-11,11.06,BMFF
2023-09-12,11.18,BMFF
2023-09-13,11.13,BMFF
2023-09-14,11.11,BMFF
2023-09-17,11.12,BMFF
2023-09-18,11.05,BMFF
2023-09-19,11.04,BMFF
2023-09-20,11.12,BMFF
2023-09-21,11.08,BMFF
2023-09-24,11.0,BMFF
2023-09-25,10.81,BMFF
2023-09-26,10.74,BMFF
2023-09-27,10.8,BMFF
2023-09-28,10.77,BMFF
2023-09-30,10.8,BMFF
2023-10-01,10.8,BMFF
