date,price,symbol
2020-01-06,10.36,DCAF
2020-01-13,10.46,DCAF
2020-01-20,10.69,DCAF
2020-02-03,10.09,DCAF
2020-02-10,10.15,DCAF
2020-02-17,10.31,DCAF
2020-02-24,9.89,DCAF
2020-03-02,9.84,DCAF
2020-03-09,9.25,DCAF
2020-03-16,8.3,DCAF
2020-03-23,7.63,DCAF
2020-03-30,7.51,DCAF
2020-04-06,8.23,DCAF
2020-04-13,8.37,DCAF
2020-04-20,8.7,DCAF
2020-04-27,8.53,DCAF
2020-05-04,8.43,DCAF
2020-05-11,9.09,DCAF
2020-05-18,9.25,DCAF
2020-05-25,9.49,DCAF
2020-06-01,9.7,DCAF
2020-06-08,9.95,DCAF
2020-06-15,9.26,DCAF
2020-06-22,9.6,DCAF
2020-06-29,9.17,DCAF
2020-07-06,9.45,DCAF
2020-07-13,9.54,DCAF
2020-07-20,9.5,DCAF
2020-07-27,8.63,DCAF
2020-08-03,8.95,DCAF
2020-08-10,9.25,DCAF
2020-08-17,9.38,DCAF
2020-08-24,9.67,DCAF
2020-08-31,9.8,DCAF
2020-09-07,9.79,DCAF
2020-09-14,9.93,DCAF
2020-09-21,10.1,DCAF
2020-09-28,10.25,DCAF
2020-10-05,10.34,DCAF
2020-10-12,10.42,DCAF
2020-10-19,10.72,DCAF
2020-10-26,10.75,DCAF
2020-11-02,10.53,DCAF
2020-11-09,10.74,DCAF
2020-11-16,10.77,DCAF
2020-11-23,11.29,DCAF
2020-11-30,11.38,DCAF
2020-12-07,11.68,DCAF
2020-12-14,12.07,DCAF
2020-12-21,12.34,DCAF
2020-12-28,12.47,DCAF
2021-01-04,12.83,DCAF
2021-01-11,13.57,DCAF
2021-01-18,13.69,DCAF
2021-01-25,13.45,DCAF
2021-02-01,11.91,DCAF
2021-02-08,12.51,DCAF
2021-02-22,13.58,DCAF
2021-03-01,13.69,DCAF
2021-03-08,13.48,DCAF
2021-03-15,13.65,DCAF
2021-03-22,13.75,DCAF
2021-03-29,13.44,DCAF
2021-04-05,14.12,DCAF
2021-04-12,14.29,DCAF
2021-04-19,14.3,DCAF
2021-04-26,13.78,DCAF
2021-05-03,14.07,DCAF
2021-05-10,14.36,DCAF
2021-05-17,14.38,DCAF
2021-05-24,14.89,DCAF
2021-05-31,15.4,DCAF
2021-06-09,15.7,DCAF
2021-06-16,15.69,DCAF
2021-06-23,15.84,DCAF
2021-06-30,16.23,DCAF
2021-07-07,16.28,DCAF
2021-07-14,15.1,DCAF
2021-07-21,14.48,DCAF
2021-07-29,14.75,DCAF
