date,price,symbol
2020-01-01,17.54,DCDE
2020-01-02,17.53,DCDE
2020-01-03,17.66,DCDE
2020-01-04,21.1,DCDE
2020-01-05,21.35,DCDE
2020-01-06,17.59,DCDE
2020-01-07,17.4,DCDE
2020-01-08,17.5,DCDE
2020-01-09,17.25,DCDE
2020-01-10,17.5,DCDE
2020-01-13,17.64,DCDE
2020-01-14,17.6,DCDE
2020-01-15,17.63,DCDE
2020-01-16,17.64,DCDE
2020-01-17,17.8,DCDE
2020-01-20,17.86,DCDE
2020-01-21,17.97,DCDE
2020-01-22,18.06,DCDE
2020-01-30,18.18,DCDE
2020-01-31,17.56,DCDE
2020-02-01,17.07,DCDE
2020-02-03,17.07,DCDE
2020-02-04,16.93,DCDE
2020-02-05,16.96,DCDE
2020-02-06,16.94,DCDE
2020-02-07,17.23,DCDE
2020-02-10,17.18,DCDE
2020-02-11,16.94,DCDE
2020-02-12,17.05,DCDE
2020-02-13,17.22,DCDE
2020-02-14,17.22,DCDE
2020-02-17,17.24,DCDE
2020-02-18,17.23,DCDE
2020-02-19,17.26,DCDE
2020-02-20,17.29,DCDE
2020-02-21,17.39,DCDE
2020-02-24,17.24,DCDE
2020-02-25,16.58,DCDE
2020-02-26,16.85,DCDE
2020-02-27,16.67,DCDE
2020-02-28,16.79,DCDE
2020-03-01,16.5,DCDE
2020-03-02,16.5,DCDE
2020-03-03,16.56,DCDE
2020-03-04,16.69,DCDE
2020-03-05,16.63,DCDE
2020-03-06,16.64,DCDE
2020-03-09,16.56,DCDE
2020-03-10,15.46,DCDE
2020-03-11,15.48,DCDE
2020-03-12,14.86,DCDE
2020-03-13,13.99,DCDE
2020-03-16,13.82,DCDE
2020-03-17,13.39,DCDE
2020-03-18,13.46,DCDE
2020-03-19,13.5,DCDE
2020-03-20,13.1,DCDE
2020-03-23,12.94,DCDE
2020-03-24,12.13,DCDE
2020-03-25,12.05,DCDE
2020-03-26,12.57,DCDE
2020-03-27,12.44,DCDE
2020-03-30,12.29,DCDE
2020-03-31,11.79,DCDE
2020-04-01,11.77,DCDE
2020-04-03,12.14,DCDE
2020-04-06,12.52,DCDE
2020-04-07,13.14,DCDE
2020-04-08,13.33,DCDE
2020-04-09,13.33,DCDE
2020-04-10,13.48,DCDE
2020-04-13,13.39,DCDE
2020-04-14,13.54,DCDE
2020-04-15,13.6,DCDE
2020-04-16,13.81,DCDE
2020-04-17,13.86,DCDE
2020-04-20,14.06,DCDE
2020-04-21,14.17,DCDE
2020-04-22,13.65,DCDE
2020-04-23,13.83,DCDE
2020-04-24,13.86,DCDE
2020-04-27,13.92,DCDE
2020-04-28,13.85,DCDE
2020-04-29,13.82,DCDE
2020-05-01,13.9,DCDE
2020-05-04,13.9,DCDE
2020-05-05,13.75,DCDE
2020-05-06,13.81,DCDE
2020-05-07,14.11,DCDE
2020-05-08,14.37,DCDE
2020-05-11,14.6,DCDE
2020-05-12,14.86,DCDE
2020-05-13,15.01,DCDE
2020-05-14,15.14,DCDE
2020-05-15,15.01,DCDE
2020-05-18,14.84,DCDE
2020-05-19,15.11,DCDE
2020-05-20,15.34,DCDE
