date,price,symbol
2020-01-07,10.3,DCIP
2020-01-14,10.35,DCIP
2020-01-21,10.44,DCIP
2020-01-28,10.49,DCIP
2020-02-04,10.24,DCIP
2020-02-11,10.26,DCIP
2020-02-18,10.38,DCIP
2020-02-25,10.3,DCIP
2020-03-03,10.32,DCIP
2020-03-10,10.1,DCIP
2020-03-17,9.72,DCIP
2020-03-24,9.59,DCIP
2020-03-31,9.55,DCIP
2020-04-07,9.56,DCIP
2020-04-14,9.58,DCIP
2020-04-21,9.58,DCIP
2020-04-28,9.59,DCIP
2020-05-05,9.59,DCIP
2020-05-12,9.59,DCIP
2020-05-19,9.6,DCIP
2020-05-26,9.6,DCIP
2020-06-02,9.6,DCIP
2020-06-09,9.61,DCIP
2020-06-16,9.62,DCIP
2020-06-23,9.6,DCIP
2020-06-30,9.6,DCIP
2020-07-07,9.62,DCIP
2020-07-14,9.62,DCIP
2020-07-21,9.61,DCIP
2020-07-28,9.62,DCIP
2020-08-04,9.61,DCIP
2020-08-11,9.61,DCIP
2020-08-18,9.62,DCIP
2020-08-25,9.62,DCIP
2020-09-01,9.62,DCIP
2020-09-08,9.62,DCIP
2020-09-15,9.62,DCIP
2020-09-22,9.61,DCIP
2020-09-29,9.6,DCIP
2020-10-06,9.6,DCIP
2020-10-13,9.6,DCIP
2020-10-20,9.59,DCIP
2020-10-27,9.59,DCIP
2020-11-03,9.6,DCIP
2020-11-10,9.59,DCIP
2020-11-17,9.58,DCIP
2020-11-24,9.57,DCIP
2020-12-01,9.55,DCIP
2020-12-08,9.54,DCIP
2020-12-15,9.52,DCIP
2020-12-17,9.52,DCIP
2020-12-22,9.5,DCIP
2020-12-29,9.48,DCIP
2021-01-05,9.66,DCIP
2021-01-12,9.65,DCIP
2021-01-19,9.63,DCIP
2021-01-26,9.61,DCIP
2021-02-02,9.59,DCIP
2021-02-09,9.57,DCIP
2021-02-16,9.55,DCIP
2021-02-23,9.53,DCIP
2021-03-01,9.51,DCIP
2021-03-02,9.51,DCIP
2021-03-09,9.49,DCIP
2021-03-16,9.47,DCIP
2021-03-23,9.45,DCIP
