date,price,symbol
2022-12-30,10.0,HDBOND
2023-01-06,10.0,HDBOND
2023-01-15,10.01,HDBOND
2023-01-16,10.01,HDBOND
2023-01-17,10.01,HDBOND
2023-01-18,10.01,HDBOND
2023-01-23,10.02,HDBOND
2023-01-26,10.02,HDBOND
2023-01-29,10.03,HDBOND
2023-01-30,10.03,HDBOND
2023-01-31,10.03,HDBOND
2023-02-01,10.03,HDBOND
2023-02-02,10.03,HDBOND
2023-02-05,10.04,HDBOND
2023-02-06,10.04,HDBOND
2023-02-07,10.04,HDBOND
2023-02-08,10.04,HDBOND
2023-02-09,10.04,HDBOND
2023-02-12,10.05,HDBOND
2023-02-13,10.05,HDBOND
2023-02-14,10.06,HDBOND
2023-02-15,10.06,HDBOND
2023-02-16,10.06,HDBOND
2023-02-19,10.07,HDBOND
2023-02-20,10.07,HDBOND
2023-02-21,10.07,HDBOND
2023-02-22,10.08,HDBOND
2023-02-23,10.08,HDBOND
2023-02-26,10.09,HDBOND
2023-02-27,10.09,HDBOND
2023-02-28,10.09,HDBOND
2023-03-01,10.09,HDBOND
2023-03-02,10.1,HDBOND
2023-03-05,10.1,HDBOND
2023-03-06,10.11,HDBOND
2023-03-07,10.11,HDBOND
2023-03-08,10.11,HDBOND
2023-03-09,10.12,HDBOND
2023-03-12,10.12,HDBOND
2023-03-13,10.13,HDBOND
2023-03-14,10.13,HDBOND
2023-03-15,10.13,HDBOND
2023-03-16,10.13,HDBOND
2023-03-17,10.14,HDBOND
2023-03-20,10.14,HDBOND
2023-03-22,10.15,HDBOND
2023-03-23,10.15,HDBOND
2023-03-24,10.15,HDBOND
2023-03-27,10.16,HDBOND
2023-03-28,10.16,HDBOND
2023-03-29,10.16,HDBOND
2023-03-30,10.16,HDBOND
2023-03-31,10.16,HDBOND
2023-04-03,10.17,HDBOND
2023-04-04,10.17,HDBOND
2023-04-05,10.17,HDBOND
2023-04-06,10.18,HDBOND
2023-04-07,10.18,HDBOND
2023-04-10,10.19,HDBOND
2023-04-11,10.18,HDBOND
2023-04-12,10.17,HDBOND
2023-04-13,10.16,HDBOND
2023-04-14,10.16,HDBOND
2023-04-17,10.16,HDBOND
2023-04-18,10.17,HDBOND
2023-04-19,10.18,HDBOND
2023-04-20,10.21,HDBOND
2023-04-21,10.2,HDBOND
2023-04-24,10.22,HDBOND
2023-04-25,10.2,HDBOND
2023-04-26,10.23,HDBOND
2023-04-27,10.23,HDBOND
2023-04-28,10.23,HDBOND
2023-05-01,10.23,HDBOND
2023-05-02,10.23,HDBOND
2023-05-04,10.24,HDBOND
2023-05-05,10.25,HDBOND
2023-05-08,10.26,HDBOND
2023-05-09,10.23,HDBOND
2023-05-10,10.24,HDBOND
2023-05-11,10.26,HDBOND
2023-05-12,10.26,HDBOND
2023-05-15,10.27,HDBOND
2023-05-16,10.28,HDBOND
2023-05-17,10.28,HDBOND
2023-05-18,10.29,HDBOND
2023-05-19,10.29,HDBOND
2023-05-22,10.3,HDBOND
2023-05-23,10.31,HDBOND
2023-05-24,10.31,HDBOND
2023-05-25,10.31,HDBOND
2023-05-26,10.29,HDBOND
2023-05-29,10.32,HDBOND
2023-05-30,10.33,HDBOND
2023-05-31,10.34,HDBOND
2023-06-01,10.34,HDBOND
2023-06-02,10.33,HDBOND
2023-06-05,10.34,HDBOND
2023-06-06,10.33,HDBOND
2023-06-07,10.35,HDBOND
2023-06-08,10.36,HDBOND
2023-06-09,10.36,HDBOND
2023-06-12,10.37,HDBOND
2023-06-13,10.37,HDBOND
2023-06-14,10.37,HDBOND
2023-06-15,10.36,HDBOND
2023-06-16,10.36,HDBOND
2023-06-19,10.37,HDBOND
2023-06-20,10.4,HDBOND
2023-06-21,10.39,HDBOND
2023-06-22,10.4,HDBOND
2023-06-23,10.39,HDBOND
2023-06-26,10.4,HDBOND
2023-06-27,10.4,HDBOND
2023-06-28,10.4,HDBOND
2023-06-29,10.41,HDBOND
2023-06-30,10.41,HDBOND
2023-07-03,10.41,HDBOND
2023-07-04,10.42,HDBOND
2023-07-05,10.41,HDBOND
2023-07-06,10.41,HDBOND
2023-07-07,10.41,HDBOND
2023-07-10,10.42,HDBOND
2023-07-11,10.42,HDBOND
2023-07-12,10.43,HDBOND
2023-07-13,10.43,HDBOND
2023-07-14,10.48,HDBOND
2023-07-17,10.43,HDBOND
2023-07-18,10.43,HDBOND
2023-07-19,10.44,HDBOND
2023-07-20,10.46,HDBOND
2023-07-21,10.46,HDBOND
2023-07-24,10.45,HDBOND
