date,price,symbol
2020-01-01,10.13,MAFBAL
2020-01-03,10.18,MAFBAL
2020-01-06,10.14,MAFBAL
2020-01-10,10.11,MAFBAL
2020-01-13,10.17,MAFBAL
2020-01-17,10.18,MAFBAL
2020-01-20,10.22,MAFBAL
2020-01-24,10.35,MAFBAL
2020-01-27,10.35,MAFBAL
2020-01-31,10.08,MAFBAL
2020-02-03,10.08,MAFBAL
2020-02-07,10.25,MAFBAL
2020-02-10,10.21,MAFBAL
2020-02-14,10.24,MAFBAL
2020-02-17,10.25,MAFBAL
2020-02-21,10.3,MAFBAL
2020-02-24,10.27,MAFBAL
2020-02-28,10.23,MAFBAL
2020-02-29,10.15,MAFBAL
2020-03-02,10.15,MAFBAL
2020-03-06,10.24,MAFBAL
2020-03-09,10.21,MAFBAL
2020-03-13,9.47,MAFBAL
2020-03-16,9.47,MAFBAL
2020-03-20,9.27,MAFBAL
2020-03-23,9.24,MAFBAL
2020-03-27,9.0,MAFBAL
2020-03-30,8.96,MAFBAL
2020-04-01,8.74,MAFBAL
2020-04-03,8.86,MAFBAL
2020-04-06,9.0,MAFBAL
2020-04-10,9.22,MAFBAL
2020-04-13,9.2,MAFBAL
2020-04-17,9.38,MAFBAL
2020-04-20,9.5,MAFBAL
2020-04-24,9.43,MAFBAL
2020-04-27,9.41,MAFBAL
2020-05-01,9.4,MAFBAL
2020-05-04,9.4,MAFBAL
2020-05-08,9.51,MAFBAL
2020-05-11,9.57,MAFBAL
2020-05-15,9.74,MAFBAL
2020-05-18,9.68,MAFBAL
2020-05-22,9.95,MAFBAL
2020-05-25,9.89,MAFBAL
2020-05-29,9.92,MAFBAL
2020-06-01,9.94,MAFBAL
2020-06-05,10.08,MAFBAL
2020-06-08,10.1,MAFBAL
2020-06-12,9.97,MAFBAL
2020-06-15,10.04,MAFBAL
2020-06-19,9.97,MAFBAL
2020-06-22,10.05,MAFBAL
2020-06-26,9.99,MAFBAL
2020-06-29,9.98,MAFBAL
2020-07-01,9.82,MAFBAL
2020-07-03,9.89,MAFBAL
2020-07-06,9.89,MAFBAL
2020-07-10,10.06,MAFBAL
2020-07-13,10.0,MAFBAL
2020-07-17,10.06,MAFBAL
2020-07-20,10.03,MAFBAL
2020-07-24,9.94,MAFBAL
2020-07-27,9.76,MAFBAL
2020-07-31,9.55,MAFBAL
2020-08-03,9.55,MAFBAL
2020-08-07,9.8,MAFBAL
2020-08-10,9.79,MAFBAL
2020-08-14,9.94,MAFBAL
2020-08-17,9.93,MAFBAL
2020-08-21,9.94,MAFBAL
2020-08-24,10.01,MAFBAL
2020-08-28,10.17,MAFBAL
2020-08-31,10.23,MAFBAL
2020-09-04,10.31,MAFBAL
2020-09-07,10.27,MAFBAL
2020-09-11,10.22,MAFBAL
2020-09-14,10.22,MAFBAL
2020-09-18,10.27,MAFBAL
2020-09-21,10.33,MAFBAL
2020-09-25,10.45,MAFBAL
2020-09-28,10.5,MAFBAL
2020-09-30,10.56,MAFBAL
2020-10-02,10.6,MAFBAL
2020-10-05,10.57,MAFBAL
2020-10-09,10.66,MAFBAL
2020-10-12,10.66,MAFBAL
2020-10-16,10.73,MAFBAL
2020-10-19,10.78,MAFBAL
2020-10-23,10.86,MAFBAL
2020-10-26,10.88,MAFBAL
2020-10-30,10.58,MAFBAL
2020-10-31,10.6,MAFBAL
2020-11-02,10.6,MAFBAL
2020-11-06,10.64,MAFBAL
2020-11-09,10.65,MAFBAL
2020-11-13,10.76,MAFBAL
2020-11-16,10.77,MAFBAL
2020-11-20,10.93,MAFBAL
2020-11-23,10.92,MAFBAL
2020-11-27,10.99,MAFBAL
2020-11-30,10.98,MAFBAL
2020-12-04,11.1,MAFBAL
2020-12-07,11.1,MAFBAL
2020-12-11,11.14,MAFBAL
2020-12-14,11.22,MAFBAL
2020-12-18,11.35,MAFBAL
2020-12-21,11.5,MAFBAL
2020-12-25,11.51,MAFBAL
2020-12-28,11.65,MAFBAL
2021-01-01,11.74,MAFBAL
2021-01-04,11.74,MAFBAL
2021-01-08,12.01,MAFBAL
2021-01-11,12.14,MAFBAL
2021-01-15,12.34,MAFBAL
2021-01-18,12.33,MAFBAL
2021-01-22,12.29,MAFBAL
2021-01-25,12.37,MAFBAL
2021-01-29,11.65,MAFBAL
2021-02-01,11.79,MAFBAL
2021-02-05,12.28,MAFBAL
2021-02-08,12.3,MAFBAL
2021-02-19,12.72,MAFBAL
2021-02-22,12.65,MAFBAL
2021-02-26,12.56,MAFBAL
2021-03-01,12.57,MAFBAL
2021-03-05,12.63,MAFBAL
