date,price,symbol
2021-11-12,10.0,MAFF
2021-11-22,10.0,MAFF
2021-11-29,10.01,MAFF
2021-11-30,10.01,MAFF
2021-12-06,10.02,MAFF
2021-12-13,10.03,MAFF
2021-12-20,10.04,MAFF
2021-12-27,10.05,MAFF
2021-12-31,10.05,MAFF
2022-01-03,10.05,MAFF
2022-01-10,10.07,MAFF
2022-01-17,10.08,MAFF
2022-01-24,10.09,MAFF
2022-01-31,10.1,MAFF
2022-02-07,10.11,MAFF
2022-02-14,10.13,MAFF
2022-02-21,10.14,MAFF
2022-02-28,10.16,MAFF
2022-03-07,10.18,MAFF
2022-03-14,10.19,MAFF
2022-03-21,10.2,MAFF
2022-03-28,10.21,MAFF
2022-03-31,10.22,MAFF
2022-04-04,10.23,MAFF
2022-04-11,10.24,MAFF
2022-04-18,10.25,MAFF
2022-04-25,10.26,MAFF
2022-05-03,10.27,MAFF
2022-05-09,10.28,MAFF
2022-05-16,10.29,MAFF
2022-05-23,10.28,MAFF
2022-05-30,10.28,MAFF
2022-06-06,10.29,MAFF
2022-06-13,10.3,MAFF
2022-06-28,10.34,MAFF
2022-07-05,10.35,MAFF
2022-07-12,10.36,MAFF
2022-07-26,10.37,MAFF
2022-08-02,10.37,MAFF
2022-08-09,10.39,MAFF
2022-08-16,10.41,MAFF
2022-08-23,10.43,MAFF
2022-09-06,10.44,MAFF
2022-09-13,10.47,MAFF
2022-09-20,10.47,MAFF
2022-09-27,10.5,MAFF
2022-10-04,10.52,MAFF
2022-10-11,10.52,MAFF
2022-10-18,10.53,MAFF
2022-10-25,10.55,MAFF
2022-11-01,10.57,MAFF
2022-11-08,10.55,MAFF
2022-11-15,10.55,MAFF
2022-11-22,10.56,MAFF
2022-11-29,10.59,MAFF
2022-12-06,10.59,MAFF
2022-12-13,10.58,MAFF
2022-12-20,10.59,MAFF
2022-12-27,10.61,MAFF
2023-01-03,10.65,MAFF
2023-01-10,10.65,MAFF
2023-01-17,10.67,MAFF
2023-01-31,10.72,MAFF
2023-02-07,10.74,MAFF
2023-02-14,10.76,MAFF
2023-02-21,10.77,MAFF
2023-02-28,10.78,MAFF
2023-03-07,10.77,MAFF
2023-03-14,10.8,MAFF
2023-03-21,10.82,MAFF
2023-03-28,10.87,MAFF
2023-04-04,10.89,MAFF
2023-04-11,10.9,MAFF
2023-04-18,10.89,MAFF
2023-04-25,10.91,MAFF
2023-05-09,10.95,MAFF
2023-05-16,10.96,MAFF
2023-05-23,11.01,MAFF
2023-05-30,11.03,MAFF
2023-06-06,11.07,MAFF
2023-06-13,11.08,MAFF
2023-06-20,11.11,MAFF
2023-06-27,11.11,MAFF
2023-07-04,11.14,MAFF
2023-07-11,11.16,MAFF
2023-07-18,11.18,MAFF
2023-07-25,11.18,MAFF
2023-08-01,11.17,MAFF
2023-08-08,11.22,MAFF
2023-08-15,11.26,MAFF
2023-08-22,11.26,MAFF
2023-08-29,11.26,MAFF
2023-09-05,11.29,MAFF
2023-09-12,11.33,MAFF
2023-09-19,11.33,MAFF
2023-09-20,11.33,MAFF
2023-09-21,11.35,MAFF
2023-09-22,11.35,MAFF
2023-09-25,11.36,MAFF
2023-09-26,11.34,MAFF
2023-09-28,11.35,MAFF
2023-09-29,11.38,MAFF
