date,price,symbol
2020-01-01,9.63,MAGEF
2020-01-07,9.6,MAGEF
2020-01-13,9.64,MAGEF
2020-01-21,9.82,MAGEF
2020-01-29,9.83,MAGEF
2020-01-31,9.26,MAGEF
2020-02-04,9.17,MAGEF
2020-02-11,9.22,MAGEF
2020-02-18,9.29,MAGEF
2020-02-25,9.12,MAGEF
2020-02-29,8.97,MAGEF
2020-03-03,9.02,MAGEF
2020-03-10,8.6,MAGEF
2020-03-17,7.81,MAGEF
2020-03-24,7.12,MAGEF
2020-03-31,7.04,MAGEF
2020-04-07,7.8,MAGEF
2020-04-14,7.93,MAGEF
2020-04-21,7.98,MAGEF
2020-04-28,8.07,MAGEF
2020-04-30,8.08,MAGEF
2020-05-05,7.98,MAGEF
2020-05-12,8.54,MAGEF
2020-05-19,8.66,MAGEF
2020-05-26,8.83,MAGEF
2020-05-31,8.76,MAGEF
2020-06-02,8.87,MAGEF
2020-06-09,9.06,MAGEF
2020-06-16,8.66,MAGEF
2020-06-23,8.74,MAGEF
2020-06-30,8.42,MAGEF
2020-07-07,8.73,MAGEF
2020-07-14,8.8,MAGEF
2020-07-21,8.77,MAGEF
2020-07-28,8.36,MAGEF
2020-07-31,8.23,MAGEF
2020-08-04,8.49,MAGEF
2020-08-11,8.68,MAGEF
2020-08-18,8.78,MAGEF
2020-08-25,9.08,MAGEF
2020-08-31,9.15,MAGEF
2020-09-01,9.2,MAGEF
2020-09-08,9.15,MAGEF
2020-09-15,9.24,MAGEF
2020-09-22,9.4,MAGEF
2020-09-29,9.45,MAGEF
2020-09-30,9.49,MAGEF
2020-10-06,9.61,MAGEF
2020-10-13,9.73,MAGEF
2020-10-20,9.96,MAGEF
2020-10-27,10.02,MAGEF
2020-10-31,9.84,MAGEF
2020-11-03,9.93,MAGEF
2020-11-10,10.08,MAGEF
2020-11-17,10.3,MAGEF
2020-11-24,10.5,MAGEF
2020-11-30,10.56,MAGEF
2020-12-01,10.61,MAGEF
2020-12-08,10.77,MAGEF
2020-12-15,10.96,MAGEF
2020-12-22,11.14,MAGEF
2020-12-29,11.18,MAGEF
2020-12-31,11.29,MAGEF
2021-01-05,11.62,MAGEF
2021-01-09,15.03,MAGEF
2021-01-12,12.15,MAGEF
2021-01-19,11.46,MAGEF
2021-01-26,11.64,MAGEF
2021-01-31,11.01,MAGEF
2021-02-02,11.23,MAGEF
2021-02-09,11.68,MAGEF
2021-02-16,11.67,MAGEF
2021-02-23,12.21,MAGEF
2021-02-28,12.22,MAGEF
2021-03-02,12.32,MAGEF
2021-03-09,12.29,MAGEF
2021-03-16,12.25,MAGEF
2021-03-23,12.25,MAGEF
2021-03-30,12.22,MAGEF
2021-03-31,12.28,MAGEF
2021-04-06,12.7,MAGEF
2021-04-13,12.77,MAGEF
2021-04-21,13.01,MAGEF
2021-04-27,12.61,MAGEF
2021-04-30,12.75,MAGEF
2021-05-04,12.86,MAGEF
2021-05-11,13.17,MAGEF
2021-05-18,13.18,MAGEF
2021-05-25,13.83,MAGEF
2021-05-31,13.98,MAGEF
2021-06-01,14.08,MAGEF
2021-06-08,13.8,MAGEF
2021-06-15,14.39,MAGEF
2021-06-22,14.52,MAGEF
2021-06-29,14.84,MAGEF
2021-06-30,14.84,MAGEF
2021-07-07,14.44,MAGEF
2021-07-14,14.22,MAGEF
2021-07-21,14.18,MAGEF
2021-07-28,14.39,MAGEF
2021-08-04,15.07,MAGEF
2021-08-09,15.05,MAGEF
2021-08-11,15.33,MAGEF
2021-08-18,15.31,MAGEF
2021-08-25,14.68,MAGEF
2021-09-08,15.05,MAGEF
2021-09-15,15.09,MAGEF
2021-09-22,15.26,MAGEF
2021-09-29,15.25,MAGEF
2021-10-06,15.52,MAGEF
2021-10-13,16.05,MAGEF
2021-10-20,15.96,MAGEF
2021-10-27,15.77,MAGEF
2021-11-03,16.08,MAGEF
2021-11-10,16.15,MAGEF
2021-11-17,16.1,MAGEF
2021-11-24,16.06,MAGEF
2021-12-01,16.05,MAGEF
2021-12-08,15.76,MAGEF
2021-12-15,15.93,MAGEF
2021-12-22,15.86,MAGEF
2021-12-29,15.95,MAGEF
2022-01-05,16.21,MAGEF
2022-01-12,15.55,MAGEF
2022-01-19,15.21,MAGEF
2022-01-26,15.59,MAGEF
2022-02-09,15.93,MAGEF
2022-02-16,15.93,MAGEF
2022-02-23,16.05,MAGEF
2022-03-02,16.02,MAGEF
2022-03-09,15.85,MAGEF
2022-03-16,15.39,MAGEF
2022-03-23,15.89,MAGEF
2022-03-30,16.1,MAGEF
2022-04-06,16.45,MAGEF
2022-04-13,16.04,MAGEF
2022-04-20,15.87,MAGEF
2022-04-27,15.12,MAGEF
2022-05-04,15.39,MAGEF
2022-05-11,14.66,MAGEF
2022-05-18,14.06,MAGEF
2022-05-25,14.09,MAGEF
2022-06-01,14.92,MAGEF
2022-06-08,15.3,MAGEF
2022-06-15,14.49,MAGEF
2022-06-22,13.96,MAGEF
2022-06-29,14.4,MAGEF
2022-07-06,13.76,MAGEF
2022-07-13,13.51,MAGEF
2022-07-20,13.57,MAGEF
2022-07-27,13.74,MAGEF
2022-08-03,14.21,MAGEF
2022-08-10,14.27,MAGEF
2022-08-17,14.51,MAGEF
2022-08-24,14.52,MAGEF
2022-08-31,14.68,MAGEF
2022-09-07,14.64,MAGEF
2022-09-14,14.4,MAGEF
2022-09-21,14.02,MAGEF
2022-09-28,13.42,MAGEF
2022-10-05,12.43,MAGEF
2022-10-12,11.54,MAGEF
2022-10-19,12.26,MAGEF
2022-10-26,11.57,MAGEF
2022-11-02,12.02,MAGEF
2022-11-09,11.57,MAGEF
2022-11-16,10.82,MAGEF
2022-11-23,11.27,MAGEF
2022-11-30,12.01,MAGEF
2022-12-07,12.26,MAGEF
2022-12-14,12.28,MAGEF
2022-12-21,12.14,MAGEF
2022-12-28,11.99,MAGEF
2023-01-03,12.0,MAGEF
2023-01-04,12.34,MAGEF
2023-01-05,12.37,MAGEF
2023-01-06,12.48,MAGEF
2023-01-09,12.43,MAGEF
2023-01-10,12.47,MAGEF
2023-01-11,12.45,MAGEF
2023-01-12,12.47,MAGEF
2023-01-13,12.47,MAGEF
2023-01-16,12.5,MAGEF
2023-01-17,12.55,MAGEF
2023-01-18,12.78,MAGEF
2023-01-19,12.88,MAGEF
2023-01-27,12.99,MAGEF
2023-01-30,13.11,MAGEF
2023-01-31,12.96,MAGEF
2023-02-01,13.03,MAGEF
2023-02-02,12.71,MAGEF
2023-02-03,12.78,MAGEF
2023-02-06,12.7,MAGEF
2023-02-07,12.83,MAGEF
2023-02-08,12.61,MAGEF
2023-02-09,12.67,MAGEF
2023-02-10,12.59,MAGEF
2023-02-13,12.51,MAGEF
2023-02-14,12.42,MAGEF
2023-02-15,12.38,MAGEF
2023-02-16,12.47,MAGEF
2023-02-17,12.56,MAGEF
2023-02-20,12.53,MAGEF
2023-02-21,12.82,MAGEF
2023-02-22,12.74,MAGEF
2023-02-23,12.48,MAGEF
2023-02-24,12.44,MAGEF
2023-02-27,12.27,MAGEF
2023-02-28,12.04,MAGEF
2023-03-01,12.08,MAGEF
2023-03-02,12.27,MAGEF
2023-03-03,12.18,MAGEF
2023-03-06,12.02,MAGEF
2023-03-07,12.03,MAGEF
2023-03-08,12.16,MAGEF
2023-03-09,12.29,MAGEF
2023-03-10,12.37,MAGEF
2023-03-13,12.33,MAGEF
2023-03-14,12.31,MAGEF
2023-03-15,12.18,MAGEF
2023-03-16,12.41,MAGEF
2023-03-17,12.25,MAGEF
2023-03-20,12.22,MAGEF
2023-03-21,11.98,MAGEF
2023-03-22,12.09,MAGEF
2023-03-23,12.15,MAGEF
2023-03-24,12.17,MAGEF
2023-03-27,12.2,MAGEF
2023-03-28,12.27,MAGEF
2023-03-29,12.32,MAGEF
2023-03-30,12.32,MAGEF
2023-03-31,12.35,MAGEF
2023-04-03,12.39,MAGEF
2023-04-04,12.56,MAGEF
2023-04-05,12.6,MAGEF
2023-04-06,12.62,MAGEF
2023-04-07,12.47,MAGEF
2023-04-10,12.49,MAGEF
2023-04-11,12.49,MAGEF
2023-04-12,12.51,MAGEF
2023-04-13,12.54,MAGEF
2023-04-14,12.5,MAGEF
2023-04-17,12.32,MAGEF
2023-04-18,12.35,MAGEF
2023-04-19,12.34,MAGEF
2023-04-20,12.26,MAGEF
2023-04-21,12.25,MAGEF
2023-04-24,12.19,MAGEF
2023-04-25,12.19,MAGEF
2023-04-26,12.08,MAGEF
2023-04-27,12.17,MAGEF
2023-04-28,12.17,MAGEF
2023-05-04,12.3,MAGEF
2023-05-05,12.21,MAGEF
2023-05-08,12.19,MAGEF
2023-05-09,12.32,MAGEF
2023-05-10,12.31,MAGEF
2023-05-11,12.43,MAGEF
2023-05-12,12.41,MAGEF
2023-05-15,12.53,MAGEF
2023-05-16,12.49,MAGEF
2023-05-17,12.52,MAGEF
2023-05-18,12.39,MAGEF
2023-05-19,12.47,MAGEF
2023-05-22,12.52,MAGEF
2023-05-23,12.59,MAGEF
2023-05-24,12.55,MAGEF
2023-05-25,12.46,MAGEF
2023-05-26,12.45,MAGEF
2023-05-29,12.47,MAGEF
2023-05-30,12.57,MAGEF
2023-05-31,12.63,MAGEF
2023-06-01,12.59,MAGEF
2023-06-02,12.63,MAGEF
2023-06-05,12.83,MAGEF
2023-06-06,12.89,MAGEF
2023-06-07,13.01,MAGEF
2023-06-08,13.03,MAGEF
2023-06-09,12.86,MAGEF
2023-06-12,12.98,MAGEF
2023-06-13,13.05,MAGEF
2023-06-14,13.09,MAGEF
2023-06-15,13.05,MAGEF
2023-06-16,13.09,MAGEF
2023-06-19,13.13,MAGEF
2023-06-20,13.08,MAGEF
2023-06-21,13.16,MAGEF
2023-06-22,13.24,MAGEF
2023-06-23,13.29,MAGEF
2023-06-26,13.3,MAGEF
2023-06-27,13.35,MAGEF
2023-06-28,13.41,MAGEF
2023-06-29,13.47,MAGEF
2023-06-30,13.27,MAGEF
2023-07-03,13.27,MAGEF
2023-07-04,13.27,MAGEF
2023-07-05,13.37,MAGEF
2023-07-06,13.42,MAGEF
2023-07-07,13.3,MAGEF
2023-07-10,13.47,MAGEF
2023-07-11,13.61,MAGEF
2023-07-12,13.68,MAGEF
2023-07-13,13.69,MAGEF
2023-07-14,13.83,MAGEF
2023-07-17,13.9,MAGEF
2023-07-18,13.88,MAGEF
2023-07-19,13.88,MAGEF
2023-07-20,13.9,MAGEF
2023-07-21,13.93,MAGEF
2023-07-24,14.15,MAGEF
2023-07-25,14.21,MAGEF
2023-07-26,14.25,MAGEF
2023-07-27,14.29,MAGEF
2023-07-28,14.3,MAGEF
2023-07-31,14.42,MAGEF
2023-08-01,14.53,MAGEF
2023-08-02,14.35,MAGEF
2023-08-03,14.35,MAGEF
2023-08-04,14.24,MAGEF
2023-08-07,14.4,MAGEF
2023-08-08,14.55,MAGEF
2023-08-09,14.51,MAGEF
2023-08-10,14.44,MAGEF
2023-08-11,14.23,MAGEF
2023-08-14,14.34,MAGEF
2023-08-15,14.43,MAGEF
2023-08-16,14.43,MAGEF
2023-08-17,14.53,MAGEF
