date,price,symbol
2022-07-19,9.99,NTPPF
2022-07-20,9.99,NTPPF
2022-07-21,9.99,NTPPF
2022-07-22,9.98,NTPPF
2022-07-25,9.97,NTPPF
2022-07-26,9.97,NTPPF
2022-07-27,9.95,NTPPF
2022-07-28,9.97,NTPPF
2022-07-29,9.98,NTPPF
2022-08-01,9.97,NTPPF
2022-08-02,10.02,NTPPF
2022-08-03,10.04,NTPPF
2022-08-04,10.07,NTPPF
2022-08-05,10.06,NTPPF
2022-08-08,10.04,NTPPF
2022-08-09,10.06,NTPPF
2022-08-10,10.06,NTPPF
2022-08-11,10.04,NTPPF
2022-08-12,10.03,NTPPF
2022-08-15,10.05,NTPPF
2022-08-16,10.1,NTPPF
2022-08-17,10.1,NTPPF
2022-08-18,10.12,NTPPF
2022-08-19,10.13,NTPPF
2022-08-22,10.1,NTPPF
2022-08-23,10.09,NTPPF
2022-08-24,10.14,NTPPF
2022-08-25,10.18,NTPPF
2022-08-26,10.2,NTPPF
2022-08-29,10.18,NTPPF
2022-08-30,10.13,NTPPF
2022-08-31,10.15,NTPPF
2022-09-05,10.15,NTPPF
2022-09-06,10.16,NTPPF
2022-09-07,10.16,NTPPF
2022-09-08,9.95,NTPPF
2022-09-09,9.92,NTPPF
2022-09-12,9.99,NTPPF
2022-09-13,9.98,NTPPF
2022-09-14,9.99,NTPPF
2022-09-15,9.96,NTPPF
2022-09-16,9.96,NTPPF
2022-09-19,9.91,NTPPF
2022-09-20,9.75,NTPPF
2022-09-21,9.83,NTPPF
2022-09-22,9.8,NTPPF
2022-09-23,9.83,NTPPF
2022-09-26,9.8,NTPPF
2022-09-27,9.61,NTPPF
2022-09-28,9.57,NTPPF
2022-09-29,9.41,NTPPF
2022-09-30,9.36,NTPPF
2022-10-03,9.38,NTPPF
2022-10-04,9.08,NTPPF
2022-10-05,9.04,NTPPF
2022-10-06,9.18,NTPPF
2022-10-07,8.99,NTPPF
2022-10-10,8.79,NTPPF
2022-10-11,8.91,NTPPF
2022-10-12,8.74,NTPPF
2022-10-13,8.9,NTPPF
2022-10-14,8.96,NTPPF
2022-10-17,9.05,NTPPF
2022-10-18,9.06,NTPPF
2022-10-19,9.12,NTPPF
2022-10-20,9.12,NTPPF
2022-10-21,9.15,NTPPF
2022-10-24,8.89,NTPPF
2022-10-25,8.69,NTPPF
2022-10-26,8.8,NTPPF
2022-10-27,8.84,NTPPF
2022-10-28,9.02,NTPPF
2022-10-31,9.0,NTPPF
2022-11-01,9.02,NTPPF
2022-11-02,9.01,NTPPF
2022-11-03,8.91,NTPPF
2022-11-04,8.95,NTPPF
2022-11-07,8.77,NTPPF
2022-11-08,8.7,NTPPF
2022-11-09,8.76,NTPPF
2022-11-10,8.77,NTPPF
2022-11-11,8.58,NTPPF
2022-11-14,8.65,NTPPF
2022-11-15,8.54,NTPPF
2022-11-16,8.3,NTPPF
2022-11-17,8.49,NTPPF
2022-11-18,8.64,NTPPF
2022-11-21,8.65,NTPPF
2022-11-22,8.61,NTPPF
2022-11-23,8.61,NTPPF
2022-11-24,8.62,NTPPF
2022-11-25,8.64,NTPPF
2022-11-28,8.73,NTPPF
2022-11-29,8.92,NTPPF
2022-11-30,9.02,NTPPF
2022-12-01,9.11,NTPPF
2022-12-02,9.05,NTPPF
2022-12-05,9.31,NTPPF
2022-12-06,9.4,NTPPF
2022-12-07,9.13,NTPPF
2022-12-08,9.07,NTPPF
2022-12-09,9.12,NTPPF
2022-12-12,9.15,NTPPF
2022-12-13,9.04,NTPPF
2022-12-14,9.13,NTPPF
2022-12-15,9.14,NTPPF
2022-12-16,9.18,NTPPF
2022-12-19,9.19,NTPPF
2022-12-20,9.08,NTPPF
2022-12-21,9.0,NTPPF
2022-12-22,8.98,NTPPF
2022-12-23,8.99,NTPPF
2022-12-26,8.99,NTPPF
2022-12-27,8.77,NTPPF
2022-12-28,8.87,NTPPF
2022-12-29,8.9,NTPPF
2022-12-30,8.9,NTPPF
2023-01-03,8.92,NTPPF
2023-01-04,9.13,NTPPF
2023-01-05,9.13,NTPPF
2023-01-06,9.23,NTPPF
2023-01-09,9.18,NTPPF
2023-01-10,9.18,NTPPF
2023-01-11,9.16,NTPPF
2023-01-12,9.19,NTPPF
2023-01-13,9.19,NTPPF
2023-01-16,9.19,NTPPF
2023-01-17,9.19,NTPPF
2023-01-18,9.34,NTPPF
2023-01-19,9.41,NTPPF
2023-01-27,9.48,NTPPF
2023-01-30,9.58,NTPPF
