date,price,symbol
2022-11-24,10.0,PHVSF
2022-12-01,9.99,PHVSF
2022-12-08,9.99,PHVSF
2022-12-15,9.99,PHVSF
2022-12-22,10.0,PHVSF
2022-12-29,10.0,PHVSF
2023-01-05,10.01,PHVSF
2023-01-12,10.03,PHVSF
2023-01-19,10.07,PHVSF
2023-01-26,10.08,PHVSF
2023-02-02,10.02,PHVSF
2023-02-09,10.03,PHVSF
2023-02-16,10.01,PHVSF
2023-02-23,10.03,PHVSF
2023-03-02,10.05,PHVSF
2023-03-09,10.08,PHVSF
2023-03-16,10.07,PHVSF
2023-03-23,10.01,PHVSF
2023-03-30,10.06,PHVSF
2023-04-06,10.13,PHVSF
2023-04-13,10.08,PHVSF
2023-04-20,10.02,PHVSF
2023-04-27,10.02,PHVSF
2023-05-04,10.05,PHVSF
2023-05-11,10.07,PHVSF
2023-05-18,10.04,PHVSF
2023-05-25,10.13,PHVSF
2023-06-01,10.22,PHVSF
2023-06-08,10.37,PHVSF
2023-06-15,10.32,PHVSF
2023-06-22,10.47,PHVSF
2023-06-29,10.59,PHVSF
2023-07-06,10.6,PHVSF
2023-07-13,10.73,PHVSF
2023-07-20,10.77,PHVSF
2023-07-27,10.93,PHVSF
2023-08-03,10.95,PHVSF
2023-08-10,11.03,PHVSF
2023-08-17,11.1,PHVSF
2023-08-24,10.5,PHVSF
2023-08-31,10.96,PHVSF
2023-09-07,11.25,PHVSF
2023-09-14,11.2,PHVSF
2023-09-21,11.27,PHVSF
2023-09-28,10.65,PHVSF
