date,price,symbol
2020-02-07,10.0,PVBF
2020-02-19,10.0,PVBF
2020-02-26,9.99,PVBF
2020-02-29,9.99,PVBF
2020-03-04,9.99,PVBF
2020-03-11,10.01,PVBF
2020-03-18,10.02,PVBF
2020-03-25,10.02,PVBF
2020-03-31,10.04,PVBF
2020-04-07,10.06,PVBF
2020-04-14,10.07,PVBF
2020-04-22,10.09,PVBF
2020-04-29,10.1,PVBF
2020-04-30,10.1,PVBF
2020-05-06,10.11,PVBF
2020-05-13,10.13,PVBF
2020-05-20,10.14,PVBF
2020-05-27,10.16,PVBF
2020-05-31,10.17,PVBF
2020-06-03,10.18,PVBF
2020-06-10,10.18,PVBF
2020-06-17,10.2,PVBF
2020-06-24,10.22,PVBF
2020-06-30,10.23,PVBF
2020-07-01,10.23,PVBF
2020-07-08,10.25,PVBF
2020-07-15,10.27,PVBF
2020-07-22,10.27,PVBF
2020-07-29,10.3,PVBF
2020-07-31,10.29,PVBF
2020-08-05,10.3,PVBF
2020-08-12,10.32,PVBF
2020-08-19,10.33,PVBF
2020-08-26,10.35,PVBF
2020-08-31,10.35,PVBF
2020-09-03,10.36,PVBF
2020-09-09,10.37,PVBF
2020-09-16,10.38,PVBF
2020-09-23,10.39,PVBF
2020-09-29,10.4,PVBF
2020-09-30,10.4,PVBF
2020-10-07,10.41,PVBF
2020-10-14,10.43,PVBF
2020-10-21,10.46,PVBF
2020-10-28,10.47,PVBF
2020-10-31,10.46,PVBF
2020-11-04,10.47,PVBF
2020-11-11,10.5,PVBF
2020-11-18,10.51,PVBF
2020-11-25,10.51,PVBF
2020-11-30,10.53,PVBF
2020-12-02,10.56,PVBF
2020-12-09,10.58,PVBF
2020-12-16,10.61,PVBF
2020-12-23,10.64,PVBF
2020-12-30,10.67,PVBF
2020-12-31,10.68,PVBF
2021-01-06,10.71,PVBF
2021-01-13,10.78,PVBF
2021-01-20,10.77,PVBF
2021-01-27,10.79,PVBF
2021-01-31,10.79,PVBF
2021-02-03,10.79,PVBF
2021-02-10,10.81,PVBF
2021-02-17,10.82,PVBF
2021-02-24,10.92,PVBF
2021-02-28,10.94,PVBF
2021-03-03,10.94,PVBF
2021-03-10,10.94,PVBF
2021-03-17,10.96,PVBF
2021-03-24,10.96,PVBF
2021-03-30,10.98,PVBF
2021-03-31,10.97,PVBF
2021-04-07,10.99,PVBF
2021-04-14,11.0,PVBF
2021-04-22,11.02,PVBF
2021-04-28,11.01,PVBF
2021-04-30,11.02,PVBF
2021-05-05,11.03,PVBF
2021-05-12,11.04,PVBF
2021-05-19,11.04,PVBF
2021-05-26,11.05,PVBF
2021-05-31,11.04,PVBF
2021-06-02,11.05,PVBF
2021-06-08,11.09,PVBF
2021-06-10,11.09,PVBF
2021-06-15,11.1,PVBF
2021-06-17,11.09,PVBF
2021-06-22,11.1,PVBF
2021-06-24,11.11,PVBF
2021-06-29,11.12,PVBF
2021-06-30,11.12,PVBF
2021-07-06,11.12,PVBF
2021-07-08,11.1,PVBF
2021-07-13,11.13,PVBF
2021-07-15,11.14,PVBF
2021-07-20,11.14,PVBF
2021-07-22,11.15,PVBF
2021-07-27,11.16,PVBF
2021-07-29,11.16,PVBF
2021-07-31,11.17,PVBF
2021-08-03,11.17,PVBF
2021-08-05,11.16,PVBF
2021-08-10,11.16,PVBF
2021-08-12,11.17,PVBF
2021-08-17,11.18,PVBF
2021-08-19,11.19,PVBF
2021-08-24,11.2,PVBF
2021-08-26,11.21,PVBF
2021-08-30,11.22,PVBF
2021-08-31,11.2,PVBF
2021-09-02,11.23,PVBF
2021-09-07,11.23,PVBF
2021-09-09,11.22,PVBF
2021-09-14,11.24,PVBF
2021-09-16,11.26,PVBF
2021-09-21,11.27,PVBF
2021-09-23,11.28,PVBF
2021-09-28,11.25,PVBF
2021-09-30,11.28,PVBF
2021-10-01,11.28,PVBF
2021-10-05,11.31,PVBF
2021-10-07,11.32,PVBF
2021-10-12,11.35,PVBF
2021-10-14,11.35,PVBF
2021-10-19,11.36,PVBF
2021-10-28,11.37,PVBF
2021-11-02,11.37,PVBF
2021-11-04,11.37,PVBF
2021-11-09,11.39,PVBF
2021-11-11,11.37,PVBF
2021-11-16,11.4,PVBF
2021-11-18,11.4,PVBF
2021-11-23,11.34,PVBF
2021-11-25,11.4,PVBF
2021-11-30,11.41,PVBF
2021-12-02,11.41,PVBF
2021-12-07,11.4,PVBF
2021-12-09,11.41,PVBF
2021-12-14,11.42,PVBF
2021-12-16,11.45,PVBF
2021-12-21,11.45,PVBF
2021-12-23,11.48,PVBF
2021-12-28,11.5,PVBF
2021-12-30,11.5,PVBF
2022-01-04,11.54,PVBF
2022-01-06,11.54,PVBF
2022-01-11,11.53,PVBF
2022-01-13,11.58,PVBF
2022-01-18,11.58,PVBF
2022-01-20,11.56,PVBF
2022-01-25,11.58,PVBF
2022-01-27,11.59,PVBF
2022-02-08,11.63,PVBF
2022-02-10,11.64,PVBF
2022-02-15,11.62,PVBF
2022-02-17,11.61,PVBF
2022-02-22,11.65,PVBF
2022-02-24,11.65,PVBF
2022-03-01,11.66,PVBF
2022-03-03,11.62,PVBF
2022-03-08,11.64,PVBF
2022-03-10,11.64,PVBF
2022-03-15,11.65,PVBF
2022-03-17,11.67,PVBF
2022-03-22,11.66,PVBF
2022-03-24,11.64,PVBF
2022-03-29,11.68,PVBF
2022-03-31,11.69,PVBF
2022-04-05,11.71,PVBF
2022-04-07,11.71,PVBF
2022-04-12,11.67,PVBF
2022-04-14,11.73,PVBF
2022-04-19,11.71,PVBF
2022-04-21,11.67,PVBF
2022-04-26,11.73,PVBF
2022-04-28,11.73,PVBF
2022-05-05,11.8,PVBF
2022-05-10,11.81,PVBF
2022-05-12,11.81,PVBF
2022-05-17,11.83,PVBF
2022-05-19,11.83,PVBF
2022-05-24,11.78,PVBF
2022-05-26,11.77,PVBF
2022-05-31,11.79,PVBF
2022-06-02,11.74,PVBF
2022-06-07,11.76,PVBF
2022-06-09,11.75,PVBF
2022-06-14,11.73,PVBF
2022-06-16,11.9,PVBF
2022-06-21,11.93,PVBF
2022-06-23,11.9,PVBF
2022-06-28,11.9,PVBF
2022-06-30,11.92,PVBF
2022-07-05,11.89,PVBF
2022-07-07,11.91,PVBF
2022-07-12,11.89,PVBF
2022-07-14,11.91,PVBF
2022-07-19,11.92,PVBF
2022-07-21,11.93,PVBF
2022-07-26,11.94,PVBF
2022-07-28,11.98,PVBF
2022-08-02,11.95,PVBF
2022-08-04,11.96,PVBF
2022-08-09,11.97,PVBF
2022-08-11,12.0,PVBF
2022-08-16,11.99,PVBF
2022-08-18,11.99,PVBF
2022-08-23,12.02,PVBF
2022-08-25,12.01,PVBF
2022-08-30,12.04,PVBF
2022-09-06,12.04,PVBF
2022-09-08,12.04,PVBF
2022-09-13,12.03,PVBF
2022-09-15,12.05,PVBF
2022-09-20,12.04,PVBF
2022-09-22,12.09,PVBF
2022-09-27,12.13,PVBF
2022-09-29,12.14,PVBF
2022-10-04,12.15,PVBF
2022-10-06,12.14,PVBF
2022-10-11,12.13,PVBF
2022-10-13,12.14,PVBF
2022-10-18,12.15,PVBF
2022-10-20,12.15,PVBF
2022-10-25,12.18,PVBF
2022-10-27,12.16,PVBF
2022-11-01,12.18,PVBF
2022-11-03,12.18,PVBF
2022-11-08,12.19,PVBF
2022-11-10,12.18,PVBF
2022-11-15,12.2,PVBF
2022-11-17,12.21,PVBF
2022-11-22,12.18,PVBF
2022-11-24,12.18,PVBF
2022-11-29,12.24,PVBF
2022-12-01,12.25,PVBF
2022-12-06,12.21,PVBF
2022-12-08,12.21,PVBF
2022-12-13,12.15,PVBF
2022-12-15,12.17,PVBF
2022-12-20,12.22,PVBF
2022-12-22,12.25,PVBF
2022-12-27,12.3,PVBF
2022-12-29,12.29,PVBF
2023-01-03,12.33,PVBF
2023-01-05,12.31,PVBF
2023-01-10,12.39,PVBF
2023-01-12,12.41,PVBF
2023-01-17,12.42,PVBF
2023-01-19,12.41,PVBF
2023-01-31,12.42,PVBF
2023-02-02,12.44,PVBF
2023-02-07,12.44,PVBF
2023-02-09,12.4,PVBF
2023-02-14,12.4,PVBF
2023-02-16,12.4,PVBF
2023-02-21,12.43,PVBF
2023-02-23,12.44,PVBF
2023-02-28,12.46,PVBF
2023-03-02,12.44,PVBF
2023-03-07,12.48,PVBF
2023-03-09,12.45,PVBF
2023-03-14,12.49,PVBF
2023-03-16,12.5,PVBF
2023-03-21,12.53,PVBF
2023-03-23,12.54,PVBF
2023-03-28,12.55,PVBF
2023-03-30,12.63,PVBF
2023-04-04,12.6,PVBF
2023-04-06,12.58,PVBF
2023-04-11,12.65,PVBF
2023-04-13,12.63,PVBF
2023-04-18,12.6,PVBF
2023-04-20,12.6,PVBF
2023-04-25,12.67,PVBF
2023-04-27,12.63,PVBF
2023-05-04,12.68,PVBF
2023-05-09,12.7,PVBF
2023-05-11,12.71,PVBF
2023-05-16,12.68,PVBF
2023-05-18,12.71,PVBF
2023-05-23,12.72,PVBF
2023-05-25,12.7,PVBF
2023-05-30,12.73,PVBF
2023-06-01,12.74,PVBF
2023-06-06,12.73,PVBF
2023-06-08,12.73,PVBF
2023-06-13,12.71,PVBF
2023-06-15,12.71,PVBF
2023-06-20,12.76,PVBF
2023-06-22,12.73,PVBF
2023-06-27,12.74,PVBF
2023-06-29,12.73,PVBF
2023-07-04,12.82,PVBF
2023-07-06,12.77,PVBF
2023-07-11,12.79,PVBF
2023-07-13,12.8,PVBF
2023-07-18,12.82,PVBF
2023-07-20,12.82,PVBF
