date,price,symbol
2020-01-02,18.11,SSISCA
2020-01-03,18.3,SSISCA
2020-01-05,21.76,SSISCA
2020-01-06,21.96,SSISCA
2020-01-07,18.11,SSISCA
2020-01-08,18.17,SSISCA
2020-01-09,17.83,SSISCA
2020-01-10,18.06,SSISCA
2020-01-13,18.12,SSISCA
2020-01-14,18.12,SSISCA
2020-01-15,18.18,SSISCA
2020-01-16,18.13,SSISCA
2020-01-17,18.29,SSISCA
2020-01-20,18.26,SSISCA
2020-01-21,18.36,SSISCA
2020-01-22,18.47,SSISCA
2020-01-30,18.57,SSISCA
2020-01-31,18.06,SSISCA
2020-02-03,17.59,SSISCA
2020-02-04,17.24,SSISCA
2020-02-05,17.18,SSISCA
2020-02-06,17.2,SSISCA
2020-02-07,17.55,SSISCA
2020-02-10,17.52,SSISCA
2020-02-11,17.39,SSISCA
2020-02-12,17.51,SSISCA
2020-02-13,17.8,SSISCA
2020-02-14,17.79,SSISCA
2020-02-17,17.82,SSISCA
2020-02-18,17.8,SSISCA
2020-02-19,17.91,SSISCA
2020-02-20,17.99,SSISCA
2020-02-21,18.07,SSISCA
2020-02-24,17.96,SSISCA
2020-02-25,17.4,SSISCA
2020-02-26,17.52,SSISCA
2020-02-27,17.39,SSISCA
2020-02-28,17.56,SSISCA
2020-02-29,17.42,SSISCA
2020-03-02,17.42,SSISCA
2020-03-03,17.45,SSISCA
2020-03-04,17.54,SSISCA
2020-03-05,17.54,SSISCA
2020-03-06,17.54,SSISCA
2020-03-09,17.47,SSISCA
2020-03-10,16.32,SSISCA
2020-03-11,16.47,SSISCA
2020-03-12,15.94,SSISCA
2020-03-13,15.02,SSISCA
2020-03-16,14.83,SSISCA
2020-03-17,14.55,SSISCA
2020-03-18,14.75,SSISCA
2020-03-19,14.85,SSISCA
2020-03-20,14.5,SSISCA
2020-03-23,14.45,SSISCA
2020-03-24,13.41,SSISCA
2020-03-25,13.29,SSISCA
2020-03-26,13.86,SSISCA
2020-03-27,13.41,SSISCA
2020-03-30,13.11,SSISCA
2020-03-31,12.61,SSISCA
2020-04-01,12.59,SSISCA
2020-04-02,12.92,SSISCA
2020-04-03,12.92,SSISCA
2020-04-06,13.34,SSISCA
2020-04-07,14.05,SSISCA
2020-04-08,14.21,SSISCA
2020-04-09,14.2,SSISCA
2020-04-10,14.32,SSISCA
2020-04-13,14.32,SSISCA
2020-04-14,14.55,SSISCA
2020-04-15,14.72,SSISCA
2020-04-16,14.94,SSISCA
2020-04-17,15.06,SSISCA
2020-04-20,15.45,SSISCA
2020-04-21,15.69,SSISCA
2020-04-22,15.22,SSISCA
2020-04-23,15.41,SSISCA
2020-04-24,15.52,SSISCA
2020-04-27,15.6,SSISCA
2020-04-28,15.67,SSISCA
2020-04-29,15.64,SSISCA
2020-04-30,15.64,SSISCA
2020-05-04,15.64,SSISCA
2020-05-05,15.49,SSISCA
2020-05-06,15.47,SSISCA
2020-05-07,15.64,SSISCA
2020-05-08,15.78,SSISCA
2020-05-11,15.87,SSISCA
2020-05-12,15.94,SSISCA
2020-05-13,16.0,SSISCA
2020-05-14,16.13,SSISCA
2020-05-15,16.08,SSISCA
2020-05-18,15.97,SSISCA
2020-05-19,16.2,SSISCA
2020-05-20,16.37,SSISCA
2020-05-21,16.46,SSISCA
2020-05-22,16.53,SSISCA
2020-05-25,16.47,SSISCA
2020-05-26,16.61,SSISCA
2020-05-27,16.76,SSISCA
2020-05-28,16.61,SSISCA
2020-05-29,16.63,SSISCA
2020-05-31,16.65,SSISCA
2020-06-01,16.65,SSISCA
2020-06-02,16.69,SSISCA
2020-06-03,16.72,SSISCA
2020-06-04,16.82,SSISCA
2020-06-05,16.77,SSISCA
2020-06-08,16.79,SSISCA
2020-06-09,17.02,SSISCA
2020-06-10,16.91,SSISCA
2020-06-11,16.95,SSISCA
2020-06-12,16.5,SSISCA
2020-06-15,16.56,SSISCA
2020-06-16,16.24,SSISCA
2020-06-17,16.46,SSISCA
