date,price,symbol
2021-10-01,10.0,TBLF
2021-10-02,10.1,TBLF
2021-11-29,10.13,TBLF
2021-12-06,9.7,TBLF
2021-12-13,10.0,TBLF
2021-12-20,9.97,TBLF
2021-12-27,10.02,TBLF
2022-01-03,10.16,TBLF
2022-01-10,9.93,TBLF
2022-01-17,9.88,TBLF
2022-01-24,9.91,TBLF
2022-01-31,10.23,TBLF
2022-02-07,10.34,TBLF
2022-02-14,10.28,TBLF
2022-02-21,10.42,TBLF
2022-02-28,10.57,TBLF
2022-03-07,10.6,TBLF
2022-03-14,10.29,TBLF
2022-03-21,10.46,TBLF
2022-03-28,10.47,TBLF
2022-04-04,10.8,TBLF
2022-04-11,10.75,TBLF
2022-04-18,10.42,TBLF
2022-04-25,9.74,TBLF
2022-05-04,10.16,TBLF
2022-05-09,9.25,TBLF
2022-05-16,8.64,TBLF
2022-05-23,8.89,TBLF
2022-05-30,9.38,TBLF
2022-06-06,9.28,TBLF
2022-06-13,8.85,TBLF
2022-06-20,8.56,TBLF
2022-06-28,8.79,TBLF
2022-07-05,8.82,TBLF
2022-07-12,8.75,TBLF
2022-07-19,8.79,TBLF
2022-07-26,8.78,TBLF
2022-08-02,8.92,TBLF
2022-08-09,8.96,TBLF
2022-08-16,8.96,TBLF
2022-08-23,8.95,TBLF
2022-08-30,9.04,TBLF
2022-09-06,9.06,TBLF
2022-09-13,9.08,TBLF
2022-09-20,8.89,TBLF
2022-09-27,8.77,TBLF
2022-10-04,8.22,TBLF
2022-10-11,8.04,TBLF
2022-10-18,8.31,TBLF
2022-10-25,7.42,TBLF
2022-11-01,7.6,TBLF
2022-11-08,7.19,TBLF
2022-11-15,6.93,TBLF
2022-11-22,7.09,TBLF
2022-11-29,7.2,TBLF
2022-12-06,7.4,TBLF
2022-12-13,7.25,TBLF
2022-12-20,7.31,TBLF
2022-12-27,7.25,TBLF
2023-01-03,7.28,TBLF
2023-01-10,7.36,TBLF
2023-01-17,7.43,TBLF
2023-01-24,7.53,TBLF
2023-01-31,7.51,TBLF
2023-02-07,7.48,TBLF
2023-02-14,7.39,TBLF
2023-02-21,7.48,TBLF
2023-02-28,7.4,TBLF
2023-03-07,7.37,TBLF
2023-03-14,7.37,TBLF
2023-03-21,7.31,TBLF
2023-03-28,7.34,TBLF
2023-04-04,7.39,TBLF
2023-04-11,7.42,TBLF
2023-04-18,7.4,TBLF
2023-04-25,7.37,TBLF
2023-05-02,7.39,TBLF
2023-05-09,7.39,TBLF
2023-05-16,7.41,TBLF
2023-05-23,7.44,TBLF
2023-05-30,7.45,TBLF
2023-06-06,7.53,TBLF
2023-06-13,7.61,TBLF
2023-06-20,7.58,TBLF
2023-06-27,7.77,TBLF
2023-07-04,7.7,TBLF
2023-07-11,7.79,TBLF
2023-07-18,7.89,TBLF
2023-07-25,8.11,TBLF
2023-08-01,8.19,TBLF
2023-08-08,8.19,TBLF
2023-08-15,8.06,TBLF
2023-08-22,7.91,TBLF
2023-08-29,7.94,TBLF
2023-09-05,8.01,TBLF
2023-09-12,8.07,TBLF
2023-09-19,8.03,TBLF
2023-09-26,7.94,TBLF
