date,price,symbol
2022-11-08,10.0,UVEEF
2022-11-11,9.98,UVEEF
2022-11-18,10.03,UVEEF
2022-11-21,10.03,UVEEF
2022-11-22,9.96,UVEEF
2022-11-23,9.95,UVEEF
2022-11-24,10.0,UVEEF
2022-11-25,9.98,UVEEF
2022-11-28,10.06,UVEEF
2022-11-29,10.33,UVEEF
2022-11-30,10.47,UVEEF
2022-12-01,10.69,UVEEF
2022-12-02,10.63,UVEEF
2022-12-05,11.03,UVEEF
2022-12-06,11.15,UVEEF
2022-12-07,10.73,UVEEF
2022-12-08,10.58,UVEEF
2022-12-09,10.75,UVEEF
2022-12-13,10.71,UVEEF
2022-12-14,10.83,UVEEF
2022-12-15,10.85,UVEEF
2022-12-16,11.0,UVEEF
2022-12-19,11.04,UVEEF
2022-12-20,10.85,UVEEF
2022-12-21,10.66,UVEEF
2022-12-22,10.6,UVEEF
2022-12-23,10.65,UVEEF
2022-12-26,10.6,UVEEF
2022-12-27,10.24,UVEEF
2022-12-28,10.42,UVEEF
2022-12-29,10.46,UVEEF
2022-12-30,10.44,UVEEF
2023-01-03,10.43,UVEEF
2023-01-04,10.77,UVEEF
2023-01-05,10.78,UVEEF
2023-01-06,10.88,UVEEF
2023-01-09,10.81,UVEEF
2023-01-10,10.83,UVEEF
2023-01-11,10.83,UVEEF
2023-01-12,10.85,UVEEF
2023-01-13,10.86,UVEEF
2023-01-16,10.88,UVEEF
2023-01-17,10.93,UVEEF
2023-01-18,11.16,UVEEF
2023-01-19,11.3,UVEEF
2023-01-27,11.41,UVEEF
2023-01-30,11.54,UVEEF
2023-01-31,11.41,UVEEF
2023-02-01,11.52,UVEEF
2023-02-02,11.21,UVEEF
2023-02-03,11.22,UVEEF
2023-02-06,11.16,UVEEF
2023-02-07,11.25,UVEEF
2023-02-08,11.07,UVEEF
2023-02-09,11.11,UVEEF
2023-02-10,11.05,UVEEF
2023-02-13,10.93,UVEEF
2023-02-14,10.74,UVEEF
2023-02-15,10.74,UVEEF
2023-02-16,10.83,UVEEF
2023-02-17,10.94,UVEEF
2023-02-20,10.94,UVEEF
2023-02-21,11.23,UVEEF
2023-02-22,11.16,UVEEF
