date,price,symbol
2020-01-02,11.96,VCAMBF
2020-01-09,11.87,VCAMBF
2020-01-16,11.83,VCAMBF
2020-01-23,11.84,VCAMBF
2020-01-30,11.67,VCAMBF
2020-01-31,11.48,VCAMBF
2020-02-06,11.53,VCAMBF
2020-02-13,11.54,VCAMBF
2020-02-20,11.61,VCAMBF
2020-02-27,11.48,VCAMBF
2020-02-29,11.36,VCAMBF
2020-03-05,11.48,VCAMBF
2020-03-12,10.51,VCAMBF
2020-03-19,10.18,VCAMBF
2020-03-26,9.98,VCAMBF
2020-03-31,9.68,VCAMBF
2020-04-02,9.84,VCAMBF
2020-04-09,10.29,VCAMBF
2020-04-16,10.51,VCAMBF
2020-04-23,10.53,VCAMBF
2020-04-30,10.57,VCAMBF
2020-05-07,10.76,VCAMBF
2020-05-14,11.15,VCAMBF
2020-05-21,11.18,VCAMBF
2020-05-28,11.14,VCAMBF
2020-05-31,11.13,VCAMBF
2020-06-04,11.3,VCAMBF
2020-06-11,11.2,VCAMBF
2020-06-18,11.12,VCAMBF
2020-06-25,11.18,VCAMBF
2020-06-30,11.04,VCAMBF
2020-07-02,11.11,VCAMBF
2020-07-10,11.35,VCAMBF
2020-07-17,11.37,VCAMBF
2020-07-23,11.26,VCAMBF
2020-07-30,10.82,VCAMBF
2020-07-31,10.75,VCAMBF
2020-08-06,11.05,VCAMBF
2020-08-13,11.18,VCAMBF
2020-08-20,11.18,VCAMBF
2020-08-28,11.45,VCAMBF
2020-08-31,11.46,VCAMBF
2020-09-03,11.59,VCAMBF
2020-09-10,11.51,VCAMBF
2020-09-17,11.64,VCAMBF
2020-09-24,11.79,VCAMBF
2020-09-30,11.85,VCAMBF
2020-10-01,11.93,VCAMBF
2020-10-08,11.97,VCAMBF
2020-10-15,12.03,VCAMBF
2020-10-22,12.25,VCAMBF
2020-10-29,11.44,VCAMBF
2020-10-31,11.49,VCAMBF
2020-11-05,11.63,VCAMBF
2020-11-12,11.84,VCAMBF
2020-11-19,12.03,VCAMBF
2020-11-26,12.09,VCAMBF
2020-11-30,12.14,VCAMBF
2020-12-03,12.3,VCAMBF
2020-12-10,12.32,VCAMBF
2020-12-17,12.51,VCAMBF
2020-12-24,12.59,VCAMBF
2020-12-31,12.83,VCAMBF
2021-01-07,13.37,VCAMBF
2021-01-14,13.7,VCAMBF
2021-01-21,13.57,VCAMBF
2021-01-28,12.49,VCAMBF
2021-01-31,12.83,VCAMBF
2021-02-04,13.3,VCAMBF
2021-02-11,13.41,VCAMBF
2021-02-18,13.79,VCAMBF
2021-02-25,13.75,VCAMBF
2021-02-28,13.8,VCAMBF
2021-03-04,13.8,VCAMBF
2021-03-11,13.95,VCAMBF
2021-03-18,14.19,VCAMBF
2021-03-25,13.86,VCAMBF
2021-03-31,14.07,VCAMBF
2021-04-01,14.26,VCAMBF
2021-04-08,14.35,VCAMBF
2021-04-15,14.2,VCAMBF
2021-04-22,13.85,VCAMBF
2021-04-29,13.97,VCAMBF
2021-04-30,13.97,VCAMBF
2021-05-06,14.07,VCAMBF
2021-05-13,14.32,VCAMBF
