date,price,symbol
2021-09-15,10.0,VCBF-MGF
2021-12-15,9.99,VCBF-MGF
2021-12-22,9.98,VCBF-MGF
2021-12-29,10.0,VCBF-MGF
2022-01-05,10.09,VCBF-MGF
2022-01-12,10.05,VCBF-MGF
2022-01-19,10.01,VCBF-MGF
2022-01-26,10.05,VCBF-MGF
2022-02-07,10.1,VCBF-MGF
2022-02-09,10.19,VCBF-MGF
2022-02-16,10.21,VCBF-MGF
2022-02-23,10.28,VCBF-MGF
2022-03-02,10.19,VCBF-MGF
2022-03-09,10.19,VCBF-MGF
2022-03-16,10.21,VCBF-MGF
2022-03-23,10.37,VCBF-MGF
2022-03-30,10.67,VCBF-MGF
2022-04-06,10.75,VCBF-MGF
2022-04-13,10.41,VCBF-MGF
2022-04-20,10.48,VCBF-MGF
2022-04-27,9.99,VCBF-MGF
2022-05-04,10.08,VCBF-MGF
2022-05-11,9.65,VCBF-MGF
2022-05-18,9.32,VCBF-MGF
2022-05-25,9.36,VCBF-MGF
2022-06-01,9.83,VCBF-MGF
2022-06-08,9.89,VCBF-MGF
2022-06-15,9.51,VCBF-MGF
2022-06-22,8.98,VCBF-MGF
2022-06-29,9.54,VCBF-MGF
2022-07-05,9.45,VCBF-MGF
2022-07-07,9.22,VCBF-MGF
2022-07-12,9.3,VCBF-MGF
2022-07-14,9.53,VCBF-MGF
2022-07-19,9.49,VCBF-MGF
2022-07-21,9.62,VCBF-MGF
2022-07-26,9.56,VCBF-MGF
2022-07-28,9.64,VCBF-MGF
2022-08-02,9.92,VCBF-MGF
2022-08-04,10.0,VCBF-MGF
2022-08-09,10.04,VCBF-MGF
2022-08-11,10.07,VCBF-MGF
2022-08-16,10.14,VCBF-MGF
2022-08-18,10.18,VCBF-MGF
2022-08-23,10.19,VCBF-MGF
2022-08-25,10.38,VCBF-MGF
2022-08-30,10.3,VCBF-MGF
2022-09-06,10.33,VCBF-MGF
2022-09-08,10.0,VCBF-MGF
2022-09-13,10.02,VCBF-MGF
2022-09-15,9.99,VCBF-MGF
2022-09-20,9.55,VCBF-MGF
2022-09-22,9.65,VCBF-MGF
2022-09-27,9.47,VCBF-MGF
2022-09-29,9.26,VCBF-MGF
2022-10-04,8.61,VCBF-MGF
2022-10-06,8.69,VCBF-MGF
2022-10-11,8.17,VCBF-MGF
2022-10-13,8.07,VCBF-MGF
2022-10-18,8.33,VCBF-MGF
2022-10-20,8.34,VCBF-MGF
2022-10-25,7.58,VCBF-MGF
2022-10-27,7.69,VCBF-MGF
2022-11-01,7.97,VCBF-MGF
2022-11-03,7.93,VCBF-MGF
2022-11-08,7.39,VCBF-MGF
2022-11-10,7.47,VCBF-MGF
2022-11-15,6.82,VCBF-MGF
2022-11-17,6.78,VCBF-MGF
2022-11-22,7.12,VCBF-MGF
2022-11-24,7.22,VCBF-MGF
2022-11-29,7.78,VCBF-MGF
2022-12-01,8.0,VCBF-MGF
2022-12-06,8.32,VCBF-MGF
2022-12-08,7.86,VCBF-MGF
2022-12-13,8.03,VCBF-MGF
2022-12-15,8.25,VCBF-MGF
2022-12-20,8.19,VCBF-MGF
2022-12-22,8.11,VCBF-MGF
2022-12-27,7.81,VCBF-MGF
2022-12-29,7.98,VCBF-MGF
2023-01-03,8.04,VCBF-MGF
2023-01-05,8.23,VCBF-MGF
2023-01-10,8.22,VCBF-MGF
2023-01-12,8.29,VCBF-MGF
2023-01-17,8.32,VCBF-MGF
2023-01-19,8.58,VCBF-MGF
2023-01-31,8.69,VCBF-MGF
2023-02-02,8.53,VCBF-MGF
2023-02-07,8.51,VCBF-MGF
2023-02-09,8.4,VCBF-MGF
2023-02-14,8.19,VCBF-MGF
2023-02-16,8.24,VCBF-MGF
2023-02-21,8.62,VCBF-MGF
2023-02-23,8.42,VCBF-MGF
2023-02-28,8.05,VCBF-MGF
2023-03-02,8.25,VCBF-MGF
2023-03-07,8.12,VCBF-MGF
2023-03-09,8.27,VCBF-MGF
2023-03-14,8.22,VCBF-MGF
2023-03-16,8.28,VCBF-MGF
