date,price,symbol
2020-01-02,19.72,VCBF-TBF
2020-01-08,19.77,VCBF-TBF
2020-01-15,19.78,VCBF-TBF
2020-01-22,20.05,VCBF-TBF
2020-01-30,20.13,VCBF-TBF
2020-01-31,19.32,VCBF-TBF
2020-02-05,19.08,VCBF-TBF
2020-02-12,19.3,VCBF-TBF
2020-02-19,19.56,VCBF-TBF
2020-02-26,19.22,VCBF-TBF
2020-02-29,19.07,VCBF-TBF
2020-03-04,19.23,VCBF-TBF
2020-03-11,18.39,VCBF-TBF
2020-03-18,16.99,VCBF-TBF
2020-03-25,16.15,VCBF-TBF
2020-03-31,15.91,VCBF-TBF
2020-04-08,16.78,VCBF-TBF
2020-04-15,16.97,VCBF-TBF
2020-04-22,17.03,VCBF-TBF
2020-04-29,17.24,VCBF-TBF
2020-04-30,17.28,VCBF-TBF
2020-05-06,17.22,VCBF-TBF
2020-05-13,17.73,VCBF-TBF
2020-05-20,17.83,VCBF-TBF
2020-05-27,18.04,VCBF-TBF
2020-05-31,17.92,VCBF-TBF
2020-06-03,18.03,VCBF-TBF
2020-06-10,18.34,VCBF-TBF
2020-06-17,17.99,VCBF-TBF
2020-06-24,18.15,VCBF-TBF
2020-07-01,17.9,VCBF-TBF
2020-07-08,18.17,VCBF-TBF
2020-07-15,18.24,VCBF-TBF
2020-07-22,18.26,VCBF-TBF
2020-07-29,17.85,VCBF-TBF
2020-07-31,17.73,VCBF-TBF
2020-08-05,18.01,VCBF-TBF
2020-08-12,18.18,VCBF-TBF
2020-08-19,18.37,VCBF-TBF
2020-08-26,18.7,VCBF-TBF
2020-08-31,18.78,VCBF-TBF
2020-09-03,18.85,VCBF-TBF
2020-09-09,18.76,VCBF-TBF
2020-09-16,18.95,VCBF-TBF
2020-09-23,19.15,VCBF-TBF
2020-09-30,19.25,VCBF-TBF
2020-10-07,19.42,VCBF-TBF
2020-10-14,19.39,VCBF-TBF
2020-10-21,19.55,VCBF-TBF
2020-10-28,19.5,VCBF-TBF
2020-10-31,19.37,VCBF-TBF
2020-11-04,19.49,VCBF-TBF
2020-11-11,19.7,VCBF-TBF
2020-11-18,19.99,VCBF-TBF
2020-11-25,20.27,VCBF-TBF
2020-11-30,20.36,VCBF-TBF
2020-12-02,20.42,VCBF-TBF
2020-12-09,20.67,VCBF-TBF
2020-12-16,20.84,VCBF-TBF
2020-12-23,21.09,VCBF-TBF
2020-12-30,21.27,VCBF-TBF
2020-12-31,21.34,VCBF-TBF
2021-01-06,21.74,VCBF-TBF
2021-01-13,22.35,VCBF-TBF
2021-01-20,21.57,VCBF-TBF
2021-01-27,21.78,VCBF-TBF
2021-01-31,21.08,VCBF-TBF
2021-02-03,21.14,VCBF-TBF
2021-02-10,21.77,VCBF-TBF
