date,open,high,low,close,volume,symbol
2020-01-02,25.67,26.34,25.61,26.17,872620,BID
2020-01-03,26.42,26.5,26.06,26.06,603940,BID
2020-01-06,25.95,26.06,25.55,25.55,794490,BID
2020-01-07,25.55,26.06,25.22,26.06,526890,BID
2020-01-08,25.67,26.73,25.55,26.28,1230830,BID
2020-01-09,26.64,27.84,26.56,27.7,1573190,BID
2020-01-10,27.7,29.01,27.68,28.62,1506410,BID
2020-01-13,27.9,28.74,27.62,27.95,544740,BID
2020-01-14,27.95,28.74,27.84,27.95,752200,BID
2020-01-15,27.84,28.62,27.84,28.46,695290,BID
2020-01-16,28.46,30.19,28.46,30.13,1004080,BID
2020-01-17,30.19,30.47,29.63,29.85,643490,BID
2020-01-20,29.85,30.24,29.68,29.74,761650,BID
2020-01-21,29.74,30.41,29.74,30.13,609600,BID
2020-01-22,30.13,31.13,30.02,30.97,781390,BID
2020-01-30,30.41,30.63,29.01,29.4,1388710,BID
2020-01-31,29.18,29.91,28.74,28.74,1154570,BID
2020-02-03,27.79,30.69,26.73,29.85,1562560,BID
2020-02-04,30.35,30.52,29.91,30.35,1406270,BID
2020-02-05,30.63,30.8,29.85,29.85,718710,BID
2020-02-06,30.07,30.19,29.57,29.68,1469930,BID
2020-02-07,29.4,29.74,28.79,28.85,1501140,BID
2020-02-10,28.4,28.57,27.4,27.4,1111680,BID
2020-02-11,27.4,28.68,27.4,28.34,917080,BID
2020-02-12,28.74,28.9,28.29,28.34,704550,BID
2020-02-13,28.29,28.46,27.84,28.12,578820,BID
2020-02-14,27.95,28.23,27.9,27.9,627040,BID
2020-02-17,28.01,28.74,27.95,28.74,863730,BID
2020-02-18,28.96,29.35,28.74,29.01,879430,BID
2020-02-19,29.01,29.07,28.57,28.62,372250,BID
2020-02-20,28.96,29.01,28.57,28.62,552810,BID
2020-02-21,28.62,28.62,27.2,27.62,2619020,BID
2020-02-24,26.89,27.23,25.83,25.83,1081210,BID
2020-02-25,25.11,27.23,25.11,27.23,878610,BID
2020-02-26,26.56,26.95,26.14,26.22,626350,BID
2020-02-27,26.22,26.62,25.92,26.28,722680,BID
2020-02-28,25.67,25.89,25.14,25.39,972320,BID
2020-03-02,25.61,25.61,25.11,25.19,568290,BID
2020-03-03,26.11,26.64,25.5,26.17,1016900,BID
2020-03-04,26.22,26.22,25.61,25.75,658350,BID
2020-03-05,25.97,26.36,25.95,26.03,872610,BID
2020-03-06,25.67,26.31,25.39,26.14,555990,BID
2020-03-09,24.38,24.94,24.33,24.33,944020,BID
2020-03-10,23.71,24.55,23.04,23.66,1366220,BID
2020-03-11,24.27,24.27,22.01,22.01,1522030,BID
2020-03-12,20.51,21.04,20.48,20.48,1531140,BID
2020-03-13,19.05,20.48,19.05,19.53,2330290,BID
2020-03-16,19.53,20.06,18.16,18.3,2191590,BID
