date,open,high,low,close,volume,symbol
2020-01-02,58.16,59.09,58.16,58.72,141260,GAS
2020-01-03,58.72,59.83,58.72,58.84,218980,GAS
2020-01-06,60.02,60.83,59.71,60.7,431090,GAS
2020-01-07,60.64,60.64,59.77,60.27,142800,GAS
2020-01-08,61.2,61.45,60.21,60.21,439260,GAS
2020-01-09,59.59,60.08,58.84,59.09,320980,GAS
2020-01-10,59.28,59.59,58.97,59.52,160820,GAS
2020-01-13,59.52,59.52,58.78,59.15,355190,GAS
2020-01-14,59.09,59.59,58.9,58.9,166850,GAS
2020-01-15,58.97,58.97,57.79,58.34,201400,GAS
2020-01-16,58.34,58.53,57.72,57.91,508390,GAS
2020-01-17,57.91,58.47,57.54,57.85,281760,GAS
2020-01-20,57.85,58.1,57.66,57.97,134180,GAS
2020-01-21,57.97,58.9,57.97,58.9,180960,GAS
2020-01-22,58.9,59.21,58.53,58.9,162790,GAS
2020-01-30,56.48,58.22,56.48,57.1,379940,GAS
2020-01-31,56.54,56.92,53.38,53.69,551680,GAS
2020-02-03,52.76,53.32,50.03,51.64,565980,GAS
2020-02-04,52.7,52.76,50.9,50.9,376400,GAS
2020-02-05,51.52,52.14,50.03,50.65,290230,GAS
2020-02-06,50.65,53.32,50.65,53.32,253870,GAS
2020-02-07,53.32,54.0,52.76,53.38,299430,GAS
2020-02-10,52.76,53.94,52.14,53.88,282460,GAS
2020-02-11,53.44,53.88,53.01,53.13,235700,GAS
2020-02-12,53.75,53.75,53.13,53.38,175490,GAS
2020-02-13,53.26,54.68,53.26,54.31,272240,GAS
2020-02-14,54.31,55.18,54.0,54.93,162870,GAS
2020-02-17,54.93,55.43,54.19,54.19,180040,GAS
2020-02-18,54.0,54.25,53.26,53.38,215600,GAS
2020-02-19,53.38,53.44,52.94,52.94,166790,GAS
2020-02-20,54.62,54.62,52.88,52.94,198200,GAS
2020-02-21,53.38,53.5,53.01,53.01,171440,GAS
2020-02-24,52.76,52.76,51.83,52.08,348150,GAS
2020-02-25,51.21,52.08,51.21,51.52,348890,GAS
2020-02-26,51.21,51.21,49.41,49.59,478410,GAS
2020-02-27,49.53,49.59,48.48,49.03,359090,GAS
2020-02-28,46.61,48.35,46.61,47.05,449640,GAS
2020-03-02,46.92,49.34,46.8,49.03,255710,GAS
2020-03-03,51.46,51.46,49.66,49.66,270460,GAS
2020-03-04,49.34,49.34,48.29,48.48,307460,GAS
2020-03-05,48.48,49.66,48.48,48.48,262610,GAS
2020-03-06,48.41,48.48,47.86,48.1,208460,GAS
2020-03-09,44.75,44.75,44.75,44.75,226330,GAS
2020-03-10,41.65,44.01,41.65,42.52,1377350,GAS
2020-03-11,43.45,44.13,39.6,39.6,1022830,GAS
2020-03-12,36.87,37.8,36.87,36.87,832050,GAS
2020-03-13,34.32,36.31,34.32,35.38,975880,GAS
2020-03-16,35.26,37.37,34.76,36.81,664400,GAS
2020-03-17,34.88,37.18,34.88,37.12,531530,GAS
2020-03-18,37.24,37.24,35.88,36.0,1111270,GAS
2020-03-19,34.76,35.07,34.08,34.32,897780,GAS
2020-03-20,35.38,36.06,34.76,35.94,563530,GAS
2020-03-23,34.26,34.76,33.46,33.46,779860,GAS
2020-03-24,34.76,35.01,33.83,34.88,769350,GAS
2020-03-25,36.81,37.3,36.12,37.3,1074610,GAS
2020-03-26,37.24,37.49,36.31,36.43,564130,GAS
2020-03-27,36.43,36.68,35.44,36.12,484150,GAS
2020-03-30,34.08,34.39,33.83,33.89,556090,GAS
2020-03-31,35.81,35.81,33.52,34.01,414540,GAS
2020-04-01,33.95,35.75,33.95,34.82,577930,GAS
