date,open,high,low,close,volume,symbol
2020-01-02,9.3,10.09,9.3,9.92,762975,GVR
2020-01-03,9.92,10.7,9.92,10.27,1116553,GVR
2020-01-06,10.7,10.7,10.0,10.09,408280,GVR
2020-01-07,10.18,10.18,9.65,9.83,537260,GVR
2020-01-08,9.83,9.83,9.39,9.48,503454,GVR
2020-01-09,9.65,9.74,9.56,9.65,200020,GVR
2020-01-10,9.65,10.18,9.65,9.83,409717,GVR
2020-01-13,9.92,9.92,9.74,9.92,185830,GVR
2020-01-14,9.92,10.09,9.74,9.83,290900,GVR
2020-01-15,9.83,9.92,9.74,9.74,188608,GVR
2020-01-16,9.83,9.83,9.48,9.83,463400,GVR
2020-01-17,9.83,10.27,9.74,10.0,355706,GVR
2020-01-20,10.09,10.27,10.0,10.09,309240,GVR
2020-01-21,10.18,10.35,10.09,10.35,435320,GVR
2020-01-22,10.35,10.7,10.09,10.62,540290,GVR
2020-01-30,10.35,10.44,9.92,10.09,372714,GVR
2020-01-31,10.0,10.0,9.48,9.48,655457,GVR
2020-02-03,9.21,9.39,8.34,9.13,965930,GVR
2020-02-04,8.95,9.21,8.95,9.13,353930,GVR
2020-02-05,9.21,9.48,8.95,9.21,470640,GVR
2020-02-06,9.13,9.74,9.13,9.56,308048,GVR
2020-02-07,9.65,9.65,9.39,9.56,268160,GVR
2020-02-10,9.56,9.56,9.21,9.48,201190,GVR
2020-02-11,9.48,9.65,9.39,9.56,399300,GVR
2020-02-12,9.65,9.65,9.48,9.48,283400,GVR
2020-02-13,9.48,9.65,9.3,9.48,727243,GVR
2020-02-14,9.56,10.0,9.39,9.92,678971,GVR
2020-02-17,9.83,10.09,9.74,9.74,314400,GVR
2020-02-18,9.74,9.92,9.74,9.92,472400,GVR
2020-02-19,9.92,10.35,9.83,10.35,1159367,GVR
2020-02-20,10.44,10.53,10.18,10.35,496270,GVR
2020-02-21,10.35,10.35,10.0,10.09,514152,GVR
2020-02-24,10.0,10.09,9.48,9.65,1084607,GVR
2020-02-25,9.3,10.09,9.3,10.09,1024130,GVR
2020-02-26,9.92,10.62,9.92,10.62,1272443,GVR
2020-02-27,10.62,11.06,10.53,10.97,1318652,GVR
2020-02-28,10.79,10.88,10.53,10.7,1264618,GVR
2020-03-02,10.35,11.14,10.35,10.79,592520,GVR
2020-03-03,12.37,12.37,10.88,11.49,1047030,GVR
2020-03-04,11.41,11.49,10.88,11.06,1656538,GVR
2020-03-05,11.06,11.23,10.88,11.06,1055157,GVR
2020-03-06,11.14,11.14,10.79,10.97,1305340,GVR
2020-03-17,9.21,10.09,8.42,9.83,1626550,GVR
2020-03-18,10.09,10.09,9.17,9.21,1432550,GVR
2020-03-19,9.04,9.04,8.6,8.6,858400,GVR
2020-03-20,8.6,8.77,8.0,8.01,1380930,GVR
2020-03-23,7.56,7.57,7.46,7.46,1698240,GVR
2020-03-24,7.24,7.8,7.24,7.63,683830,GVR
2020-03-25,7.72,7.98,7.64,7.81,1559590,GVR
2020-03-26,7.72,7.89,7.5,7.5,811930,GVR
2020-03-27,7.55,7.9,7.34,7.42,612810,GVR
2020-03-30,7.24,7.55,6.91,7.28,1792710,GVR
2020-03-31,7.02,7.63,7.02,7.35,572600,GVR
2020-04-01,7.35,7.53,7.11,7.51,262480,GVR
2020-04-03,7.55,7.81,7.46,7.63,356910,GVR
2020-04-06,7.72,7.98,7.68,7.98,591020,GVR
2020-04-07,7.98,7.98,7.73,7.86,277730,GVR
2020-04-08,7.81,7.89,7.72,7.89,212500,GVR
2020-04-09,7.98,8.36,7.98,8.29,574950,GVR
2020-04-10,8.73,8.86,8.69,8.86,934920,GVR
2020-04-13,9.48,9.48,8.91,8.91,2160110,GVR
2020-04-14,9.13,9.52,8.77,9.48,957110,GVR
2020-04-15,9.21,9.92,9.21,9.78,788140,GVR
2020-04-16,9.65,9.78,9.3,9.48,634220,GVR
2020-04-17,9.7,9.78,9.39,9.48,649460,GVR
2020-04-20,9.65,9.87,9.39,9.39,1221230,GVR
2020-04-21,9.3,9.39,8.74,8.74,1336580,GVR
2020-04-22,8.51,9.13,8.42,8.82,867890,GVR
2020-04-23,9.04,9.08,8.77,8.86,653970,GVR
2020-04-24,8.86,8.91,8.73,8.74,837180,GVR
2020-04-27,8.86,9.34,8.86,9.34,1663520,GVR
2020-04-28,9.65,9.83,9.39,9.48,1444690,GVR
2020-04-29,9.78,9.96,9.48,9.78,1497360,GVR
2020-05-04,9.56,9.65,9.3,9.39,951850,GVR
2020-05-05,9.39,9.83,8.77,9.74,1071460,GVR
2020-05-06,9.78,10.4,9.78,10.4,2682000,GVR
2020-05-07,10.53,11.1,10.35,10.97,2699550,GVR
2020-05-08,10.97,11.06,10.53,10.53,1499440,GVR
2020-05-11,10.88,10.97,10.31,10.88,1857810,GVR
2020-05-12,10.7,11.19,10.57,10.97,1423970,GVR
2020-05-13,10.97,11.49,10.88,11.06,3516310,GVR
2020-05-14,11.06,11.06,10.79,10.79,1400950,GVR
2020-05-15,10.79,10.92,10.53,10.57,1116140,GVR
2020-05-18,10.57,10.84,10.35,10.79,680550,GVR
2020-05-19,11.1,11.19,10.79,10.79,2001060,GVR
