date,open,high,low,close,volume,symbol
2020-01-02,7.23,7.38,7.18,7.38,4232230,HPG
2020-01-03,7.44,7.49,7.4,7.43,7832210,HPG
2020-01-06,7.38,7.46,7.34,7.38,5371060,HPG
2020-01-07,7.41,7.44,7.26,7.29,4871220,HPG
2020-01-08,7.23,7.27,7.12,7.21,6421130,HPG
2020-01-09,7.26,7.43,7.26,7.38,4613440,HPG
2020-01-10,7.41,7.55,7.4,7.44,10006180,HPG
2020-01-13,7.44,7.5,7.41,7.46,4456520,HPG
2020-01-14,7.46,7.7,7.44,7.69,9565300,HPG
2020-01-15,7.7,7.8,7.66,7.73,5881520,HPG
2020-01-16,7.69,7.8,7.67,7.78,6855030,HPG
2020-01-17,7.78,7.89,7.66,7.69,6329150,HPG
2020-01-20,7.69,7.84,7.6,7.84,5711790,HPG
2020-01-21,7.92,8.0,7.86,7.95,5911660,HPG
2020-01-22,7.95,8.12,7.95,8.09,8919900,HPG
2020-01-30,7.86,7.96,7.67,7.78,13028790,HPG
2020-01-31,7.69,7.78,7.41,7.41,10994970,HPG
2020-02-03,7.16,7.63,6.98,7.55,12079180,HPG
2020-02-04,7.58,7.63,7.41,7.56,8086090,HPG
2020-02-05,7.64,7.69,7.44,7.52,6938550,HPG
2020-02-06,7.49,7.75,7.47,7.75,9214150,HPG
2020-02-07,7.75,7.78,7.44,7.49,8120240,HPG
2020-02-10,7.38,7.58,7.36,7.49,4794830,HPG
2020-02-11,7.52,7.56,7.21,7.26,12551620,HPG
2020-02-12,7.23,7.43,7.21,7.32,9581940,HPG
2020-02-13,7.3,7.35,7.26,7.29,5263180,HPG
2020-02-14,7.26,7.3,7.18,7.29,5052290,HPG
2020-02-17,7.29,7.34,7.26,7.3,2716840,HPG
2020-02-18,7.34,7.34,7.16,7.16,7456030,HPG
2020-02-19,7.16,7.21,7.1,7.15,5481650,HPG
2020-02-20,7.21,7.3,7.15,7.3,5225250,HPG
2020-02-21,7.3,7.32,7.23,7.24,4513960,HPG
2020-02-24,7.0,7.12,6.98,6.98,12938030,HPG
2020-02-25,6.95,7.1,6.95,7.1,5303830,HPG
2020-02-26,7.0,7.07,6.98,7.0,4502880,HPG
2020-02-27,6.98,7.09,6.98,7.06,3318240,HPG
2020-02-28,6.94,7.01,6.84,6.87,6583970,HPG
2020-03-02,6.83,6.92,6.83,6.86,3957540,HPG
2020-03-03,7.01,7.01,6.86,6.86,4411940,HPG
2020-03-04,6.89,6.95,6.87,6.87,2946050,HPG
2020-03-05,6.95,6.97,6.87,6.87,2594810,HPG
2020-03-06,6.87,6.9,6.84,6.89,3035470,HPG
2020-03-09,6.41,6.63,6.41,6.41,16567350,HPG
2020-03-10,6.3,6.69,6.3,6.66,8137980,HPG
2020-03-11,6.67,6.7,6.2,6.32,8527920,HPG
2020-03-12,6.01,6.09,5.89,5.92,13041040,HPG
2020-03-13,5.55,6.06,5.52,5.86,12836580,HPG
2020-03-16,5.9,6.1,5.83,5.87,9283920,HPG
2020-03-17,5.72,5.94,5.72,5.9,6053400,HPG
2020-03-18,5.97,6.18,5.95,6.06,10396530,HPG
2020-03-19,5.97,6.0,5.81,5.89,7773200,HPG
2020-03-20,5.92,5.94,5.72,5.72,13401260,HPG
2020-03-23,5.35,5.54,5.32,5.32,12947170,HPG
2020-03-24,5.23,5.34,5.12,5.26,13831390,HPG
2020-03-25,5.49,5.49,5.35,5.47,7758210,HPG
2020-03-26,5.4,5.41,5.2,5.21,8514960,HPG
2020-03-27,5.2,5.23,4.86,4.98,13442640,HPG
2020-03-30,4.7,5.14,4.69,5.03,10870540,HPG
2020-03-31,5.03,5.34,4.69,5.18,11163440,HPG
2020-04-01,5.14,5.38,5.12,5.3,4859650,HPG
2020-04-03,5.3,5.44,5.29,5.43,6503290,HPG
2020-04-06,5.58,5.8,5.5,5.8,10207240,HPG
2020-04-07,5.86,5.87,5.61,5.84,7655220,HPG
2020-04-08,5.66,5.78,5.63,5.75,5106690,HPG
2020-04-09,5.78,5.84,5.7,5.7,7134720,HPG
2020-04-10,5.69,5.84,5.63,5.78,5558450,HPG
2020-04-13,5.78,6.0,5.75,5.95,9039420,HPG
2020-04-14,5.94,6.14,5.9,6.14,8744760,HPG
2020-04-15,6.15,6.24,6.14,6.18,5960450,HPG
2020-04-16,6.14,6.27,6.07,6.23,6665670,HPG
2020-04-17,6.23,6.4,6.21,6.37,8818780,HPG
2020-04-20,6.46,6.61,6.32,6.52,9422860,HPG
2020-04-21,6.38,6.54,6.2,6.21,11934810,HPG
2020-04-22,6.3,6.55,6.24,6.4,11038450,HPG
2020-04-23,6.55,6.75,6.55,6.64,8345940,HPG
2020-04-24,6.67,6.83,6.55,6.8,8301090,HPG
2020-04-27,6.84,6.95,6.72,6.75,6636160,HPG
2020-04-28,6.77,6.8,6.54,6.58,7687010,HPG
2020-04-29,6.61,6.67,6.46,6.61,7447050,HPG
2020-05-04,6.61,6.63,6.46,6.46,4834580,HPG
2020-05-05,6.58,6.66,6.55,6.58,5894530,HPG
2020-05-06,6.63,6.83,6.61,6.83,7620940,HPG
2020-05-07,6.86,7.26,6.86,7.26,14733250,HPG
2020-05-08,7.32,7.43,7.2,7.2,12484610,HPG
2020-05-11,7.36,7.41,7.16,7.36,7220240,HPG
2020-05-12,7.27,7.35,7.2,7.27,10527620,HPG
2020-05-13,7.21,7.44,7.16,7.41,9608210,HPG
2020-05-14,7.32,7.41,7.29,7.36,6517150,HPG
2020-05-15,7.36,7.4,7.2,7.23,7931980,HPG
2020-05-18,7.52,7.72,7.38,7.72,13491620,HPG
2020-05-19,8.12,8.26,8.01,8.04,18842950,HPG
2020-05-20,8.0,8.18,7.89,8.13,11584470,HPG
2020-05-21,8.1,8.16,8.03,8.15,11213810,HPG
2020-05-22,8.1,8.44,8.07,8.38,16252810,HPG
2020-05-25,8.46,8.55,8.35,8.4,11168880,HPG
2020-05-26,8.41,8.73,8.4,8.73,11503490,HPG
2020-05-27,8.8,8.8,8.36,8.36,19779140,HPG
2020-05-28,8.46,8.49,8.27,8.36,14486370,HPG
2020-05-29,8.4,8.52,8.3,8.43,12580390,HPG
2020-06-01,8.55,8.55,8.44,8.5,8022890,HPG
2020-06-02,8.55,8.55,8.29,8.32,11489000,HPG
2020-06-03,8.32,8.36,8.18,8.29,12018120,HPG
2020-06-04,8.3,8.43,8.18,8.18,13488200,HPG
2020-06-05,8.15,8.4,8.06,8.32,13532060,HPG
2020-06-08,8.46,8.64,8.4,8.52,17144920,HPG
2020-06-09,8.6,8.61,8.29,8.33,18693450,HPG
2020-06-10,8.3,8.43,8.2,8.3,9871400,HPG
2020-06-11,8.26,8.35,7.84,7.84,22873160,HPG
2020-06-12,7.54,8.15,7.54,8.15,18881260,HPG
2020-06-15,8.09,8.15,7.8,7.81,11332840,HPG
2020-06-16,8.0,8.12,7.89,8.06,9024610,HPG
2020-06-17,8.06,8.13,7.96,8.07,7066110,HPG
