date,open,high,low,close,volume,symbol
2020-01-02,2.11,2.18,2.11,2.18,5266138,SHB
2020-01-03,2.18,2.18,2.11,2.11,2756634,SHB
2020-01-06,2.11,2.14,2.08,2.08,2225405,SHB
2020-01-07,2.08,2.14,2.08,2.08,1900049,SHB
2020-01-08,2.08,2.14,2.05,2.08,4952178,SHB
2020-01-09,2.11,2.18,2.08,2.11,4564607,SHB
2020-01-10,2.14,2.31,2.14,2.31,12074293,SHB
2020-01-13,2.31,2.37,2.27,2.34,6713670,SHB
2020-01-14,2.34,2.37,2.31,2.34,4214729,SHB
2020-01-15,2.34,2.4,2.31,2.4,5862093,SHB
2020-01-16,2.4,2.5,2.4,2.44,5813973,SHB
2020-01-17,2.44,2.5,2.37,2.37,5603239,SHB
2020-01-20,2.37,2.4,2.34,2.34,5686173,SHB
2020-01-21,2.31,2.47,2.31,2.4,3921607,SHB
2020-01-22,2.4,2.5,2.4,2.5,5596112,SHB
2020-01-30,2.47,2.57,2.4,2.44,9105370,SHB
2020-01-31,2.44,2.57,2.4,2.44,18935757,SHB
2020-02-03,2.37,2.57,2.37,2.57,27397994,SHB
2020-02-04,2.63,2.67,2.59,2.67,7888715,SHB
2020-02-05,2.67,2.91,2.67,2.91,13147005,SHB
2020-02-06,2.91,3.06,2.91,2.99,9104379,SHB
2020-02-07,2.99,3.03,2.79,2.79,10890679,SHB
2020-02-10,2.79,2.83,2.67,2.67,10748016,SHB
2020-02-11,2.71,2.83,2.67,2.83,9393306,SHB
2020-02-12,2.83,2.91,2.83,2.87,8981890,SHB
2020-02-13,2.87,2.87,2.75,2.83,11588530,SHB
2020-02-14,2.83,2.91,2.83,2.87,5467484,SHB
2020-02-17,2.87,2.95,2.83,2.91,6810878,SHB
2020-02-18,2.87,2.91,2.83,2.87,4349999,SHB
2020-02-19,2.87,2.87,2.75,2.75,6807758,SHB
2020-02-20,2.75,2.83,2.71,2.71,9524499,SHB
2020-02-21,2.75,2.79,2.67,2.71,4420990,SHB
2020-02-24,2.71,2.83,2.63,2.79,20882603,SHB
2020-02-25,2.75,2.91,2.71,2.87,14034831,SHB
2020-02-26,2.87,3.14,2.83,3.14,30512712,SHB
2020-02-27,3.14,3.46,3.14,3.46,18183092,SHB
2020-02-28,3.46,3.77,3.38,3.77,34257491,SHB
2020-03-02,3.73,4.13,3.58,4.13,54625808,SHB
2020-03-03,4.13,4.52,4.05,4.44,42647821,SHB
2020-03-04,4.36,4.72,4.24,4.72,50027154,SHB
2020-03-05,4.68,5.19,4.64,5.07,65589848,SHB
2020-03-06,5.07,5.11,4.72,4.87,22246933,SHB
2020-03-09,4.44,4.75,4.4,4.4,4400928,SHB
2020-03-10,3.97,4.4,3.97,3.97,14000432,SHB
2020-03-11,3.77,4.36,3.73,4.36,28794377,SHB
2020-03-12,4.36,4.52,4.24,4.4,16970413,SHB
2020-03-13,4.2,4.44,3.97,4.32,28882992,SHB
2020-03-16,4.28,4.32,4.13,4.32,8688136,SHB
2020-03-17,4.2,4.44,4.09,4.44,12201261,SHB
2020-03-18,4.32,4.72,4.32,4.68,7407963,SHB
2020-03-19,4.68,4.68,4.52,4.64,4986718,SHB
2020-03-20,4.6,4.72,4.48,4.72,6011812,SHB
2020-03-23,4.56,4.72,4.56,4.64,13749681,SHB
2020-03-24,4.6,4.72,4.56,4.68,8322806,SHB
2020-03-25,4.68,4.99,4.68,4.99,4967554,SHB
2020-03-26,4.99,5.03,4.83,4.91,4013630,SHB
2020-03-27,4.91,4.95,4.75,4.87,3671541,SHB
2020-03-30,4.79,4.79,4.56,4.68,4326720,SHB
2020-03-31,4.68,4.87,4.68,4.79,3548092,SHB
2020-04-01,4.72,5.11,4.72,5.07,3776573,SHB
2020-04-03,5.07,5.23,5.03,5.23,4185700,SHB
2020-04-06,5.11,5.74,5.11,5.74,9067705,SHB
2020-04-07,5.74,5.85,5.58,5.85,5730224,SHB
2020-04-08,5.82,6.09,5.74,6.09,6052955,SHB
2020-04-09,6.05,6.48,5.97,6.44,3893860,SHB
2020-04-10,6.4,7.07,5.89,6.88,4915216,SHB
2020-04-13,6.92,7.15,6.68,6.99,3262672,SHB
2020-04-14,6.99,6.99,6.72,6.99,5084359,SHB
2020-04-15,6.95,7.07,6.92,7.07,5145129,SHB
2020-04-16,7.07,7.07,6.88,7.03,2606662,SHB
2020-04-17,6.88,7.15,6.88,7.07,4932621,SHB
2020-04-20,7.07,7.07,6.84,6.84,4937658,SHB
2020-04-21,6.68,6.84,6.17,6.17,5584359,SHB
2020-04-22,6.09,6.6,5.7,6.37,3305313,SHB
2020-04-23,6.37,6.6,6.33,6.44,1785925,SHB
2020-04-24,6.29,6.44,6.29,6.44,1236565,SHB
2020-04-27,6.4,6.44,6.25,6.33,1674463,SHB
2020-04-28,6.33,6.33,6.05,6.29,1814591,SHB
2020-04-29,6.29,6.29,6.17,6.25,1362714,SHB
2020-05-04,6.21,6.21,6.09,6.13,1922976,SHB
2020-05-05,6.09,6.21,5.93,5.97,2449848,SHB
2020-05-06,5.97,6.09,5.82,6.09,2734983,SHB
2020-05-07,6.09,6.33,6.09,6.33,2012928,SHB
2020-05-08,6.33,6.68,6.09,6.68,3808903,SHB
2020-05-11,6.68,6.88,6.64,6.88,2107280,SHB
2020-05-12,6.88,6.88,6.72,6.8,1544029,SHB
2020-05-13,6.72,6.84,6.64,6.8,1176130,SHB
2020-05-14,6.76,6.84,6.64,6.76,2680578,SHB
2020-05-15,6.76,6.76,6.09,6.09,4373756,SHB
2020-05-18,6.09,6.09,5.5,5.85,6367453,SHB
