date,open,high,low,close,volume,symbol
2020-01-02,59.96,60.67,59.96,60.24,238600,VHM
2020-01-03,60.24,60.6,60.03,60.46,394470,VHM
2020-01-06,60.03,60.32,58.75,59.18,1025270,VHM
2020-01-07,58.9,60.17,58.9,59.46,590360,VHM
2020-01-08,58.9,59.25,57.48,58.54,553690,VHM
2020-01-09,59.18,59.39,58.83,59.11,421250,VHM
2020-01-10,59.11,60.24,58.68,59.96,699780,VHM
2020-01-13,60.17,61.59,59.96,61.24,882160,VHM
2020-01-14,61.17,61.59,61.1,61.24,361600,VHM
2020-01-15,61.38,61.38,60.88,61.24,420650,VHM
2020-01-16,61.31,61.31,60.95,61.1,441860,VHM
2020-01-17,61.17,62.37,61.03,61.03,552190,VHM
2020-01-20,61.03,61.31,60.81,61.03,711830,VHM
2020-01-21,61.03,62.09,61.03,62.09,653680,VHM
2020-01-22,62.02,63.51,61.95,63.44,673070,VHM
2020-01-30,61.88,62.3,60.88,62.02,1414000,VHM
2020-01-31,62.09,62.8,61.81,62.09,1284370,VHM
2020-02-03,59.04,60.95,58.19,60.46,755310,VHM
2020-02-04,60.46,61.38,60.32,60.81,829790,VHM
2020-02-05,61.59,61.59,60.6,61.03,2410370,VHM
2020-02-06,61.24,61.73,61.03,61.59,484420,VHM
2020-02-07,61.66,62.3,61.59,61.73,587610,VHM
2020-02-10,61.1,61.52,60.88,61.17,373600,VHM
2020-02-11,61.03,61.31,60.67,61.17,602090,VHM
2020-02-12,61.52,61.52,61.17,61.38,395320,VHM
2020-02-13,61.17,61.31,60.67,61.03,421050,VHM
2020-02-14,60.67,62.87,60.67,62.16,481520,VHM
2020-02-17,62.44,62.44,61.38,61.52,164600,VHM
2020-02-18,61.45,61.73,60.74,61.03,323870,VHM
2020-02-19,60.74,61.38,60.46,61.03,484850,VHM
2020-02-20,61.38,61.95,60.95,61.66,271380,VHM
2020-02-21,61.38,61.66,61.03,61.1,184170,VHM
2020-02-24,59.11,60.39,59.11,59.61,619380,VHM
2020-02-25,58.4,59.46,57.48,58.97,410300,VHM
2020-02-26,58.9,58.9,56.98,57.41,651880,VHM
2020-02-27,56.7,57.48,56.06,57.34,1280250,VHM
2020-02-28,55.7,57.05,55.7,57.05,860760,VHM
