date,open,high,low,close,volume,symbol
2020-01-02,3.85,3.9,3.85,3.9,371400,VIB
2020-01-03,3.9,3.92,3.87,3.87,391030,VIB
2020-01-06,3.87,3.87,3.81,3.81,359794,VIB
2020-01-07,3.81,3.83,3.81,3.81,114862,VIB
2020-01-08,3.81,3.81,3.74,3.74,516075,VIB
2020-01-09,3.74,3.83,3.74,3.76,559354,VIB
2020-01-10,3.78,3.81,3.74,3.76,720409,VIB
2020-01-13,3.78,3.85,3.76,3.83,527921,VIB
2020-01-14,3.81,3.87,3.81,3.87,359137,VIB
2020-01-15,3.87,3.87,3.83,3.83,379187,VIB
2020-01-16,3.83,3.92,3.83,3.87,690910,VIB
2020-01-17,3.87,3.94,3.83,3.85,805973,VIB
2020-01-20,3.85,4.14,3.83,3.87,1253362,VIB
2020-01-21,3.9,3.96,3.9,3.94,1106015,VIB
2020-01-22,3.94,3.96,3.9,3.94,584350,VIB
2020-01-30,3.92,3.92,3.81,3.83,848096,VIB
2020-01-31,3.83,3.83,3.76,3.78,988717,VIB
2020-02-03,3.72,3.78,3.65,3.78,1299169,VIB
2020-02-04,3.78,3.81,3.72,3.81,712734,VIB
2020-02-05,3.81,3.87,3.81,3.83,742628,VIB
2020-02-06,3.85,3.92,3.81,3.92,760378,VIB
2020-02-07,3.9,3.9,3.85,3.87,360258,VIB
2020-02-10,3.87,3.87,3.76,3.76,743200,VIB
2020-02-11,3.81,3.83,3.78,3.83,491576,VIB
2020-02-12,3.81,3.92,3.81,3.87,653767,VIB
2020-02-13,3.87,4.1,3.85,4.03,3715862,VIB
2020-02-14,4.01,4.14,3.98,4.07,1963866,VIB
2020-02-17,4.1,4.12,4.03,4.05,973460,VIB
2020-02-18,4.05,4.07,4.05,3.96,1518563,VIB
2020-02-19,3.98,4.01,3.96,4.01,992359,VIB
2020-02-20,4.01,4.07,3.98,4.05,597245,VIB
2020-02-21,4.03,4.25,4.03,4.16,4777915,VIB
2020-02-24,4.16,4.16,3.92,3.96,2291673,VIB
2020-02-25,3.9,4.03,3.85,3.98,1761731,VIB
2020-02-26,3.94,3.98,3.83,3.94,1730855,VIB
2020-02-27,3.94,4.1,3.92,4.07,1355949,VIB
2020-02-28,4.03,4.05,3.96,4.01,1909126,VIB
2020-03-02,3.98,4.07,3.94,4.05,1282104,VIB
2020-03-03,4.05,4.14,4.05,4.05,1753520,VIB
2020-03-04,4.05,4.07,4.03,4.07,717445,VIB
2020-03-05,4.07,4.14,4.01,4.03,1430847,VIB
2020-03-06,4.07,4.07,3.96,4.03,878862,VIB
2020-03-09,3.96,3.96,3.39,3.56,5896152,VIB
2020-03-10,3.54,3.81,3.52,3.78,2161508,VIB
2020-03-11,3.81,3.81,3.52,3.67,2299550,VIB
2020-03-12,3.56,3.61,3.36,3.48,2366087,VIB
2020-03-13,3.32,3.52,3.19,3.41,2739933,VIB
2020-03-16,3.43,3.45,3.3,3.34,1053796,VIB
2020-03-17,3.32,3.36,2.86,3.32,1369993,VIB
2020-03-18,3.3,3.39,3.3,3.32,609580,VIB
2020-03-19,3.32,3.54,3.21,3.25,764288,VIB
2020-03-20,3.25,3.3,3.23,3.25,324349,VIB
2020-03-23,3.23,3.25,2.86,2.9,1989844,VIB
2020-03-24,2.94,3.01,2.88,3.01,807017,VIB
2020-03-25,3.05,3.23,3.03,3.21,1192400,VIB
2020-03-26,3.14,3.23,3.03,3.05,648007,VIB
2020-03-27,3.01,3.12,3.01,3.03,310649,VIB
2020-03-30,2.88,3.01,2.74,2.81,900039,VIB
2020-03-31,2.86,2.94,2.77,2.83,925612,VIB
2020-04-01,2.86,2.94,2.83,2.92,294770,VIB
2020-04-03,2.92,3.01,2.9,2.99,795050,VIB
2020-04-06,2.99,3.19,2.99,3.16,1020978,VIB
2020-04-07,3.19,3.25,3.1,3.16,650240,VIB
2020-04-08,3.16,3.16,3.08,3.12,592808,VIB
2020-04-09,3.14,3.19,3.12,3.19,1074312,VIB
2020-04-10,3.19,3.19,3.12,3.14,612012,VIB
2020-04-13,3.14,3.21,3.1,3.14,551333,VIB
2020-04-14,3.16,3.21,3.12,3.14,576043,VIB
2020-04-15,3.16,3.32,3.16,3.23,2079760,VIB
2020-04-16,3.25,3.28,3.19,3.25,488261,VIB
2020-04-17,3.25,3.59,3.25,3.25,1244355,VIB
2020-04-20,3.3,3.39,3.25,3.28,1312060,VIB
2020-04-21,3.32,3.36,3.14,3.19,1196775,VIB
2020-04-22,3.14,3.25,3.08,3.21,928810,VIB
2020-04-23,3.21,3.3,3.21,3.21,353550,VIB
2020-04-24,3.21,3.23,3.19,3.19,363171,VIB
2020-04-27,3.19,3.23,3.14,3.19,466516,VIB
2020-04-28,3.19,3.21,3.14,3.21,385960,VIB
2020-04-29,3.21,3.23,3.19,3.21,418833,VIB
2020-05-04,3.21,3.21,3.16,3.16,350874,VIB
2020-05-05,3.16,3.19,3.14,3.16,207333,VIB
2020-05-06,3.16,3.23,3.16,3.19,527580,VIB
2020-05-07,3.16,3.23,3.16,3.21,339828,VIB
2020-05-08,3.21,3.34,3.21,3.28,1165615,VIB
2020-05-11,3.28,3.39,3.25,3.39,1287559,VIB
2020-05-12,3.39,3.41,3.32,3.41,980524,VIB
2020-05-13,3.36,3.43,2.9,3.39,619390,VIB
2020-05-14,3.39,3.39,3.34,3.36,822910,VIB
2020-05-15,3.36,3.39,3.3,3.32,572365,VIB
2020-05-18,3.32,3.83,2.86,3.34,501442,VIB
2020-05-19,3.36,3.43,3.36,3.39,1086727,VIB
2020-05-20,3.39,3.39,3.34,3.34,783043,VIB
2020-05-21,3.36,3.83,2.88,3.41,887025,VIB
2020-05-22,3.41,3.54,3.39,3.45,1648500,VIB
2020-05-25,3.5,3.59,2.94,3.54,1546574,VIB
2020-05-26,3.54,4.03,3.19,3.63,949626,VIB
2020-05-27,3.63,3.67,3.56,3.59,2058493,VIB
2020-05-28,3.59,3.61,3.54,3.59,912036,VIB
2020-05-29,3.59,3.63,3.56,3.61,654976,VIB
2020-06-01,3.61,3.78,3.08,3.74,2093625,VIB
2020-06-02,3.74,3.81,3.7,3.76,992502,VIB
