date,open,high,low,close,volume,symbol
2020-01-02,69.44,70.16,69.15,69.98,352700,VNM
2020-01-03,70.16,70.63,70.16,70.22,625390,VNM
2020-01-06,70.04,70.16,69.32,69.68,495910,VNM
2020-01-07,69.74,70.51,69.74,70.33,459520,VNM
2020-01-08,70.33,70.51,69.74,70.51,837710,VNM
2020-01-09,70.63,70.93,70.27,70.39,624130,VNM
2020-01-10,70.39,70.75,70.27,70.57,596280,VNM
2020-01-13,70.63,70.63,69.68,69.68,412880,VNM
2020-01-14,69.68,70.1,69.5,69.92,335180,VNM
2020-01-15,69.92,69.98,69.56,69.92,681740,VNM
2020-01-16,69.92,70.33,69.56,70.16,545090,VNM
2020-01-17,70.16,70.39,69.92,70.39,375030,VNM
2020-01-20,70.63,70.75,70.27,70.63,493600,VNM
2020-01-21,70.63,72.35,70.39,71.82,853940,VNM
2020-01-22,71.82,72.35,71.82,72.0,794440,VNM
2020-01-30,70.63,71.1,68.97,69.21,1533720,VNM
2020-01-31,69.09,69.21,64.4,64.4,1915820,VNM
2020-02-03,60.24,65.58,59.95,64.28,2289150,VNM
2020-02-04,65.23,65.29,61.79,62.32,1869040,VNM
2020-02-05,63.15,63.92,61.31,63.27,1545750,VNM
2020-02-06,63.8,64.46,62.86,63.8,2137020,VNM
2020-02-07,63.92,65.58,63.86,65.41,1523380,VNM
2020-02-10,64.69,64.93,63.69,64.69,910510,VNM
2020-02-11,64.69,64.69,63.51,63.63,885960,VNM
2020-02-12,64.1,64.1,63.63,63.63,838170,VNM
2020-02-13,63.63,63.8,63.27,63.45,713560,VNM
2020-02-14,63.63,63.74,63.27,63.27,708080,VNM
2020-02-17,63.39,63.86,63.39,63.8,623350,VNM
2020-02-18,63.98,63.98,62.5,62.62,1078500,VNM
2020-02-19,62.32,63.33,62.32,63.15,794470,VNM
2020-02-20,63.51,63.8,63.09,63.15,624620,VNM
2020-02-21,63.8,64.93,63.8,64.4,1484500,VNM
2020-02-24,63.51,63.98,62.91,63.15,954600,VNM
2020-02-25,63.09,64.4,62.91,64.1,1200220,VNM
2020-02-26,63.33,63.33,62.32,62.32,1346630,VNM
2020-02-27,62.32,63.74,61.61,63.74,863890,VNM
2020-02-28,62.5,62.97,61.13,62.02,1437350,VNM
2020-03-02,62.02,62.62,61.61,62.02,909240,VNM
2020-03-03,62.62,63.03,62.08,62.5,741380,VNM
2020-03-04,62.5,62.91,62.02,62.2,612800,VNM
2020-03-05,62.32,62.86,62.02,62.02,438020,VNM
2020-03-06,62.02,62.2,61.49,61.85,664920,VNM
2020-03-09,59.35,60.84,57.57,57.57,2356790,VNM
