date,open,high,low,close,volume,symbol
2020-01-02,32.64,33.27,32.64,33.17,581190,VRE
2020-01-03,33.12,33.46,32.93,33.42,1272890,VRE
2020-01-06,33.32,33.32,32.35,32.5,682790,VRE
2020-01-07,32.5,32.79,32.45,32.79,356780,VRE
2020-01-08,32.26,32.35,31.48,31.58,919210,VRE
2020-01-09,32.21,32.84,32.16,32.84,1054800,VRE
2020-01-10,32.84,32.93,32.4,32.79,543040,VRE
2020-01-13,32.84,32.84,32.45,32.59,417280,VRE
2020-01-14,32.69,32.84,32.59,32.59,562730,VRE
2020-01-15,32.64,32.64,32.06,32.06,549700,VRE
2020-01-16,32.55,32.55,31.63,31.68,979630,VRE
2020-01-17,32.02,32.02,31.39,31.48,872560,VRE
2020-01-20,31.29,31.34,30.76,30.9,1070940,VRE
2020-01-21,30.9,31.58,30.9,31.48,908080,VRE
2020-01-22,31.39,31.68,31.19,31.48,932500,VRE
2020-01-30,30.9,31.0,29.65,29.89,2002220,VRE
2020-01-31,29.89,30.23,29.02,29.02,2322570,VRE
2020-02-03,27.04,29.26,26.99,29.17,1977600,VRE
2020-02-04,28.68,29.12,27.72,28.25,2239180,VRE
2020-02-05,29.17,29.17,27.81,27.96,2036300,VRE
2020-02-06,29.89,29.89,27.81,29.89,3660600,VRE
2020-02-07,29.99,31.15,29.74,30.9,2423940,VRE
2020-02-10,30.42,30.42,29.94,30.04,611640,VRE
2020-02-11,29.94,30.57,29.46,30.32,2573890,VRE
2020-02-12,30.76,30.76,30.18,30.18,982950,VRE
2020-02-13,29.94,30.37,29.94,30.37,862410,VRE
2020-02-14,30.37,31.1,30.23,30.66,1388080,VRE
2020-02-17,30.71,30.71,30.13,30.32,562430,VRE
2020-02-18,30.23,30.42,29.46,29.5,1019810,VRE
2020-02-19,29.46,29.5,28.78,29.12,1562980,VRE
2020-02-20,29.5,29.84,29.26,29.84,1626950,VRE
2020-02-21,29.65,29.84,29.65,29.65,697440,VRE
2020-02-24,28.1,29.36,28.1,28.34,1391850,VRE
2020-02-25,28.01,28.44,27.81,28.2,1014900,VRE
2020-02-26,28.01,28.49,27.76,28.01,1028780,VRE
2020-02-27,27.86,28.1,27.76,28.01,1254940,VRE
2020-02-28,27.52,27.81,27.09,27.52,1824830,VRE
2020-03-02,27.52,27.96,27.23,27.57,929150,VRE
2020-03-03,28.06,28.06,27.48,27.48,1767430,VRE
2020-03-04,27.33,27.52,27.14,27.48,966120,VRE
2020-03-05,27.67,28.01,27.62,27.62,859920,VRE
2020-03-06,27.72,27.72,27.23,27.52,805500,VRE
2020-03-09,25.83,26.56,25.64,25.64,2164550,VRE
2020-03-10,24.43,26.03,24.29,25.5,3031510,VRE
2020-03-11,25.5,25.5,23.76,25.11,4211430,VRE
2020-03-12,23.37,24.1,23.37,23.37,2976280,VRE
2020-03-13,21.78,23.47,21.78,23.37,4742820,VRE
2020-03-16,23.66,23.66,21.78,22.89,1752440,VRE
2020-03-17,21.73,21.92,21.3,21.34,2066890,VRE
2020-03-18,21.25,21.54,20.52,21.34,1935850,VRE
2020-03-19,20.28,21.25,19.99,21.15,2175340,VRE
2020-03-20,21.15,21.15,19.7,19.7,2758320,VRE
2020-03-23,18.54,18.78,18.35,18.35,401880,VRE
2020-03-24,17.09,17.38,17.09,17.09,6890560,VRE
2020-03-25,17.67,18.25,16.32,18.25,4747820,VRE
2020-03-26,17.87,19.51,17.38,19.32,4553180,VRE
2020-03-27,18.74,19.7,17.96,19.7,5480540,VRE
2020-03-30,18.35,18.59,18.35,18.35,2275750,VRE
2020-03-31,18.06,19.6,17.92,18.49,3565970,VRE
2020-04-01,18.35,19.02,17.48,18.59,930870,VRE
2020-04-03,18.74,19.02,18.25,18.83,2522290,VRE
2020-04-06,19.27,20.14,19.17,20.14,4515950,VRE
2020-04-07,20.76,21.54,20.38,21.54,3715760,VRE
2020-04-08,21.15,21.73,20.57,21.73,3361700,VRE
2020-04-09,21.54,23.23,21.54,22.89,4761190,VRE
2020-04-10,22.89,23.18,22.21,22.98,2027970,VRE
2020-04-13,22.89,24.58,22.89,24.58,2382640,VRE
2020-04-14,24.58,26.27,23.95,25.3,3054710,VRE
2020-04-15,25.4,25.79,24.77,25.21,2686900,VRE
2020-04-16,24.77,25.59,24.48,25.59,2924260,VRE
2020-04-17,25.59,26.27,25.3,25.59,4348970,VRE
2020-04-20,25.59,25.59,24.92,25.3,2326300,VRE
2020-04-21,24.92,25.01,23.56,23.56,2804830,VRE
2020-04-22,22.02,24.14,22.02,22.74,5280770,VRE
2020-04-23,23.56,23.81,22.79,23.28,3095130,VRE
2020-04-24,23.56,23.56,22.7,23.18,1639110,VRE
2020-04-27,23.37,23.37,22.65,22.7,3418720,VRE
2020-04-28,22.7,22.94,21.54,21.97,3988030,VRE
2020-04-29,22.31,22.55,21.83,22.31,2661700,VRE
2020-05-04,22.02,22.94,22.02,22.65,1757720,VRE
2020-05-05,22.7,23.03,22.7,22.74,2480820,VRE
2020-05-06,22.98,24.14,22.74,24.14,5201410,VRE
2020-05-07,24.24,24.34,23.81,23.95,2518450,VRE
2020-05-08,24.14,25.01,24.14,24.43,4038610,VRE
2020-05-11,24.58,24.77,23.95,24.58,3515430,VRE
2020-05-12,24.14,24.53,24.1,24.38,3654270,VRE
2020-05-13,24.14,24.24,23.66,23.66,4037060,VRE
2020-05-14,23.37,23.52,23.08,23.23,3952220,VRE
2020-05-15,23.56,23.9,23.28,23.28,2262600,VRE
2020-05-18,23.37,23.85,23.23,23.71,2597120,VRE
2020-05-19,24.14,24.92,23.76,24.05,8313560,VRE
2020-05-20,23.95,25.64,23.95,25.64,6793800,VRE
2020-05-21,25.69,26.32,25.11,25.4,5046470,VRE
2020-05-22,25.11,25.21,24.63,24.92,5938130,VRE
2020-05-25,24.82,25.74,24.43,25.3,3774990,VRE
2020-05-26,25.69,25.88,25.35,25.59,3969390,VRE
2020-05-27,25.69,25.74,24.63,24.63,7074630,VRE
2020-05-28,24.68,26.08,24.63,25.98,6481940,VRE
2020-05-29,25.98,27.23,25.64,26.56,7822570,VRE
2020-06-01,27.04,27.09,26.7,26.85,3992550,VRE
2020-06-02,26.61,27.04,26.36,26.66,2909480,VRE
2020-06-03,26.46,27.14,26.17,27.14,3342330,VRE
2020-06-04,27.33,27.86,27.33,27.43,2839030,VRE
2020-06-05,27.43,27.81,27.04,27.48,2162490,VRE
2020-06-08,27.81,27.91,27.28,27.62,2826530,VRE
2020-06-09,27.38,27.62,26.85,26.94,2864250,VRE
2020-06-10,26.66,27.04,26.27,26.99,2119900,VRE
2020-06-11,26.94,26.99,25.21,25.21,4725660,VRE
2020-06-12,24.43,25.01,24.14,25.01,2529890,VRE
2020-06-15,25.11,25.5,24.14,24.14,2056490,VRE
2020-06-16,24.63,25.83,24.43,25.83,3097330,VRE
