date,open,high,low,close,volume,symbol
2020-01-02,58.52,59.29,58.52,58.87,87010,BVH
2020-01-03,59.21,59.21,58.44,58.52,59290,BVH
2020-01-06,58.27,58.44,57.67,57.67,129160,BVH
2020-01-07,57.93,58.01,57.5,57.59,67160,BVH
2020-01-08,57.07,57.07,56.05,56.31,163230,BVH
2020-01-09,57.33,57.33,55.54,55.54,157250,BVH
2020-01-10,56.31,57.42,55.45,57.16,136260,BVH
2020-01-13,57.07,57.16,56.73,56.9,63230,BVH
2020-01-14,56.73,57.16,55.45,56.31,171640,BVH
2020-01-15,56.65,56.65,55.71,56.22,92440,BVH
2020-01-16,56.14,56.56,56.14,56.31,157100,BVH
2020-01-17,56.39,56.39,56.05,56.22,131930,BVH
2020-01-20,56.22,56.48,55.54,55.79,107680,BVH
2020-01-21,56.14,56.22,55.62,56.22,119020,BVH
2020-01-22,55.71,57.16,55.62,57.16,156250,BVH
2020-01-30,56.22,56.31,53.32,53.83,335430,BVH
2020-01-31,53.83,55.11,50.16,50.16,176570,BVH
2020-02-03,46.92,49.65,46.67,47.43,270730,BVH
2020-02-04,47.01,48.63,47.01,47.52,312880,BVH
2020-02-05,47.69,48.71,47.6,48.46,298760,BVH
2020-02-06,49.48,49.82,48.71,49.82,176570,BVH
2020-02-07,50.85,51.02,49.99,51.02,158980,BVH
2020-02-10,50.93,50.93,48.8,49.05,208410,BVH
2020-02-11,49.05,49.48,48.88,49.31,210080,BVH
2020-02-12,50.59,50.59,48.97,49.05,192330,BVH
2020-02-13,49.74,49.74,48.88,49.05,145610,BVH
2020-02-14,49.05,49.23,48.63,48.63,215320,BVH
2020-02-17,48.63,49.05,48.12,48.12,178000,BVH
2020-02-18,48.88,48.88,47.78,47.86,313670,BVH
2020-02-19,47.86,48.63,47.35,48.12,159970,BVH
2020-02-20,48.12,49.48,48.12,49.05,281140,BVH
2020-02-21,49.05,51.02,49.05,49.91,369290,BVH
2020-02-24,46.5,49.05,46.5,47.78,211810,BVH
2020-02-25,47.35,48.54,47.35,48.54,98010,BVH
2020-02-26,47.52,48.29,47.35,47.35,258550,BVH
2020-02-27,47.43,48.12,46.58,48.12,240770,BVH
2020-02-28,46.92,47.35,46.5,46.84,225310,BVH
2020-03-02,46.84,47.35,46.67,46.67,150220,BVH
2020-03-03,47.35,47.6,46.84,47.52,134260,BVH
2020-03-04,47.52,47.52,46.92,47.52,98150,BVH
2020-03-05,47.95,47.95,47.01,47.09,180900,BVH
2020-03-06,46.92,47.35,46.58,47.01,140150,BVH
2020-03-09,43.94,44.36,43.77,43.77,223930,BVH
2020-03-10,41.21,44.36,40.74,41.55,379820,BVH
2020-03-11,41.55,43.17,38.65,38.9,333320,BVH
2020-03-12,36.51,38.39,36.22,36.22,333240,BVH
