date,open,high,low,close,volume,symbol
2020-01-02,9.56,9.95,9.54,9.84,4347610,CTG
2020-01-03,9.93,10.0,9.73,9.75,3626640,CTG
2020-01-06,9.7,9.93,9.66,9.77,3173480,CTG
2020-01-07,9.89,10.0,9.82,9.93,4163600,CTG
2020-01-08,9.86,10.14,9.75,9.91,9864300,CTG
2020-01-09,10.0,10.34,10.0,10.27,8592300,CTG
2020-01-10,10.3,10.98,10.3,10.78,14701830,CTG
2020-01-13,10.66,10.98,10.62,10.62,5317470,CTG
2020-01-14,10.64,10.89,10.62,10.75,7040780,CTG
2020-01-15,10.75,10.85,10.64,10.8,4364850,CTG
2020-01-16,10.85,11.42,10.82,11.4,8002680,CTG
2020-01-17,11.53,11.62,11.26,11.42,6412750,CTG
2020-01-20,11.4,11.58,11.33,11.49,4737420,CTG
2020-01-21,11.53,11.81,11.49,11.58,6063350,CTG
2020-01-22,11.58,11.78,11.46,11.72,4747210,CTG
2020-01-30,11.42,11.6,10.98,11.14,11319200,CTG
2020-01-31,11.26,11.56,11.17,11.17,11815850,CTG
2020-02-03,10.75,11.53,10.64,11.51,13869450,CTG
2020-02-04,11.62,12.31,11.6,12.31,14852770,CTG
2020-02-05,12.54,12.72,12.15,12.15,11732260,CTG
2020-02-06,12.22,12.86,12.06,12.7,10566600,CTG
2020-02-07,12.59,12.65,12.2,12.31,8960350,CTG
2020-02-10,12.01,12.49,11.99,12.17,6287560,CTG
2020-02-11,12.31,12.7,12.29,12.7,6762320,CTG
2020-02-12,13.02,13.02,12.45,12.45,10390830,CTG
2020-02-13,12.52,12.63,12.13,12.47,9485770,CTG
2020-02-14,12.52,12.52,12.22,12.26,6108570,CTG
2020-02-17,12.31,12.38,12.08,12.15,5818090,CTG
2020-02-18,12.22,12.47,12.17,12.22,7231540,CTG
2020-02-19,12.26,12.45,12.26,12.36,5895360,CTG
2020-02-20,12.52,12.68,12.2,12.31,9011120,CTG
2020-02-21,12.26,12.31,11.74,11.83,12049570,CTG
2020-02-24,11.49,11.62,11.14,11.17,12317180,CTG
2020-02-25,11.17,11.94,11.14,11.94,9764100,CTG
2020-02-26,11.69,11.99,11.62,11.81,6229210,CTG
2020-02-27,11.78,11.99,11.72,11.99,5524580,CTG
2020-02-28,11.67,11.92,11.44,11.78,7892390,CTG
2020-03-02,11.88,11.92,11.62,11.67,4873970,CTG
2020-03-03,11.99,12.33,11.88,12.1,9514110,CTG
2020-03-04,12.04,12.1,11.9,12.1,4587660,CTG
2020-03-05,12.26,12.29,11.97,11.97,5997630,CTG
2020-03-06,11.81,11.92,11.65,11.81,5353340,CTG
2020-03-09,11.03,11.3,10.98,10.98,10773760,CTG
2020-03-10,10.98,11.46,10.59,11.21,11071330,CTG
2020-03-11,11.35,11.44,10.46,10.62,8522410,CTG
2020-03-12,10.07,10.25,9.89,9.98,11314020,CTG
2020-03-13,9.38,10.25,9.29,10.05,10540670,CTG
2020-03-16,10.05,10.09,9.38,9.38,7506240,CTG
2020-03-17,9.15,9.7,8.88,9.61,7946050,CTG
2020-03-18,9.75,9.86,9.59,9.59,6424470,CTG
2020-03-19,9.38,9.43,9.08,9.2,4724410,CTG
2020-03-20,9.34,9.38,8.99,9.06,6426820,CTG
2020-03-23,8.6,8.7,8.44,8.44,6448830,CTG
2020-03-24,8.44,8.56,8.08,8.37,6361270,CTG
2020-03-25,8.7,8.95,8.6,8.95,7041040,CTG
2020-03-26,8.72,8.97,8.6,8.6,5121770,CTG
2020-03-27,8.7,8.74,8.56,8.7,6261510,CTG
2020-03-30,8.17,8.24,8.1,8.1,7331160,CTG
2020-03-31,8.24,8.47,7.6,7.87,6102570,CTG
2020-04-01,7.78,8.4,7.78,8.37,5514550,CTG
2020-04-03,8.51,8.7,8.47,8.6,4625590,CTG
2020-04-06,8.83,9.2,8.7,9.2,10557010,CTG
2020-04-07,9.24,9.27,8.97,9.08,7256090,CTG
2020-04-08,8.83,9.15,8.74,9.02,4637260,CTG
2020-04-09,9.15,9.31,9.06,9.06,7265280,CTG
2020-04-10,9.06,9.2,8.83,8.9,5700980,CTG
2020-04-13,8.88,9.15,8.81,8.97,4183300,CTG
2020-04-14,8.95,9.04,8.6,8.79,7389910,CTG
2020-04-15,8.79,9.13,8.79,9.08,6758040,CTG
2020-04-16,8.97,9.11,8.88,9.06,3710320,CTG
2020-04-17,9.38,9.38,9.15,9.2,8578720,CTG
2020-04-20,9.29,9.36,9.08,9.08,6291720,CTG
2020-04-21,8.99,9.04,8.58,8.6,9299890,CTG
2020-04-22,8.42,9.02,8.42,8.81,6363800,CTG
2020-04-23,8.92,9.02,8.79,8.79,2950110,CTG
2020-04-24,8.79,8.83,8.7,8.79,2871100,CTG
2020-04-27,8.88,8.88,8.63,8.63,4305890,CTG
2020-04-28,8.63,8.83,8.56,8.72,3942840,CTG
2020-04-29,8.83,9.15,8.74,9.15,9337270,CTG
2020-05-04,9.04,9.36,8.95,9.18,7526760,CTG
2020-05-05,9.18,9.22,8.99,9.08,2976380,CTG
2020-05-06,9.13,9.29,8.95,9.24,6890670,CTG
2020-05-07,9.24,9.45,9.2,9.34,7523830,CTG
