date,open,high,low,close,volume,symbol
2020-01-02,5.45,5.51,5.38,5.51,2142970,HDB
2020-01-03,5.5,5.5,5.43,5.46,1305640,HDB
2020-01-06,5.45,5.45,5.31,5.35,1309500,HDB
2020-01-07,5.35,5.35,5.27,5.29,865630,HDB
2020-01-08,5.27,5.33,5.18,5.29,1954710,HDB
2020-01-09,5.29,5.47,5.28,5.45,2024450,HDB
2020-01-10,5.46,5.62,5.46,5.56,1917360,HDB
2020-01-13,5.56,5.58,5.48,5.52,866380,HDB
2020-01-14,5.49,5.58,5.47,5.54,813000,HDB
2020-01-15,5.54,5.56,5.48,5.5,712440,HDB
2020-01-16,5.5,5.68,5.49,5.67,2717120,HDB
2020-01-17,5.68,5.73,5.65,5.65,2061530,HDB
2020-01-20,5.65,5.65,5.56,5.6,939700,HDB
2020-01-21,5.6,5.76,5.58,5.73,1656380,HDB
2020-01-22,5.73,5.75,5.64,5.74,2241630,HDB
2020-01-30,5.68,5.68,5.54,5.54,1695770,HDB
2020-01-31,5.52,5.52,5.15,5.35,1891250,HDB
2020-02-03,5.28,5.44,5.06,5.35,1825080,HDB
2020-02-04,5.36,5.49,5.32,5.46,1620490,HDB
2020-02-05,5.46,5.64,5.4,5.62,1330510,HDB
2020-02-06,5.63,5.94,5.62,5.92,3301040,HDB
2020-02-07,5.92,5.96,5.86,5.93,1757480,HDB
2020-02-10,5.91,5.92,5.77,5.84,1230340,HDB
2020-02-11,5.82,5.86,5.71,5.74,2634890,HDB
2020-02-12,5.75,5.92,5.75,5.78,1790130,HDB
2020-02-13,5.79,5.84,5.76,5.78,1237040,HDB
2020-02-14,5.79,5.85,5.66,5.66,2113640,HDB
2020-02-17,5.66,5.69,5.65,5.69,2070830,HDB
2020-02-18,5.68,5.74,5.67,5.67,1079920,HDB
2020-02-19,5.67,5.67,5.56,5.64,1704650,HDB
2020-02-20,5.65,5.67,5.6,5.62,1144200,HDB
2020-02-21,5.62,5.68,5.58,5.62,1193560,HDB
2020-02-24,5.54,5.56,5.4,5.4,1366630,HDB
2020-02-25,5.35,5.56,5.34,5.54,1834510,HDB
2020-02-26,5.49,5.6,5.42,5.49,1200270,HDB
2020-02-27,5.5,5.56,5.48,5.54,1243660,HDB
2020-02-28,5.46,5.51,5.39,5.51,1033040,HDB
2020-03-02,5.49,5.54,5.43,5.49,1320040,HDB
2020-03-03,5.54,5.6,5.47,5.49,2539510,HDB
2020-03-04,5.49,5.6,5.49,5.58,1566000,HDB
2020-03-05,5.6,5.67,5.5,5.54,1184690,HDB
2020-03-06,5.52,5.54,5.45,5.54,720180,HDB
2020-03-09,5.31,5.32,5.16,5.16,1611800,HDB
2020-03-10,4.96,5.28,4.95,5.11,2498670,HDB
