date,open,high,low,close,volume,symbol
2020-01-02,6.98,6.98,6.88,6.98,18320,LPB
2020-01-03,6.98,6.98,6.86,6.98,2450,LPB
2020-01-06,6.74,7.05,6.74,6.88,22760,LPB
2020-01-07,7.07,7.07,6.88,6.88,18320,LPB
2020-01-08,6.74,6.88,6.74,6.88,2640,LPB
2020-01-09,6.98,6.98,6.88,6.95,3720,LPB
2020-01-10,6.88,6.95,6.76,6.93,8570,LPB
2020-01-13,6.78,7.07,6.78,6.98,40860,LPB
2020-01-14,6.98,6.98,6.86,6.98,65730,LPB
2020-01-15,6.86,7.18,6.86,6.98,1050,LPB
2020-01-16,6.75,6.96,6.75,6.86,24120,LPB
2020-01-17,6.86,7.08,6.86,6.93,30490,LPB
2020-01-20,6.98,6.98,6.87,6.87,10870,LPB
2020-01-21,6.86,6.98,6.86,6.95,53940,LPB
2020-01-22,7.08,7.08,6.88,6.88,44180,LPB
2020-01-30,7.22,7.22,6.49,6.49,101240,LPB
2020-01-31,6.74,6.74,6.4,6.45,54030,LPB
2020-02-03,6.04,6.45,6.01,6.45,96440,LPB
2020-02-04,6.25,6.49,6.25,6.45,6550,LPB
2020-02-05,6.28,6.57,6.13,6.41,59100,LPB
2020-02-06,6.23,6.49,6.23,6.45,23930,LPB
2020-02-07,6.4,6.68,6.01,6.37,60730,LPB
2020-02-10,6.49,6.49,6.29,6.35,9850,LPB
2020-02-11,6.35,6.45,6.25,6.37,30890,LPB
2020-02-12,6.37,6.59,6.36,6.58,55830,LPB
2020-02-13,6.49,6.65,6.49,6.65,34100,LPB
2020-02-14,6.71,6.95,6.69,6.77,30240,LPB
2020-02-17,6.72,6.86,6.64,6.74,17570,LPB
2020-02-18,6.75,6.81,6.62,6.81,14320,LPB
2020-02-19,6.81,6.81,6.58,6.76,120,LPB
2020-02-20,6.63,6.74,6.63,6.74,4640,LPB
2020-02-21,6.74,6.82,6.65,6.74,128730,LPB
2020-02-24,6.54,6.68,6.4,6.54,8780,LPB
2020-02-25,6.49,6.62,6.41,6.62,13560,LPB
2020-02-26,6.62,6.62,6.16,6.37,30500,LPB
2020-02-27,6.37,6.47,6.25,6.47,78230,LPB
2020-02-28,6.28,6.28,6.25,6.25,7540,LPB
2020-03-02,6.25,6.49,6.25,6.25,53480,LPB
2020-03-03,6.37,6.37,6.25,6.25,29910,LPB
2020-03-04,6.35,6.35,6.25,6.25,6280,LPB
2020-03-05,6.36,6.45,6.25,6.35,69690,LPB
2020-03-06,6.35,6.4,6.29,6.4,11030,LPB
2020-03-09,6.01,6.23,5.95,6.13,95830,LPB
2020-03-10,5.8,6.23,5.8,6.13,171530,LPB
2020-03-11,5.83,5.89,5.71,5.75,101910,LPB
2020-03-12,5.35,5.56,5.35,5.35,20000,LPB
2020-03-13,4.98,5.29,4.98,4.98,14480,LPB
2020-03-16,4.73,4.73,4.64,4.64,70910,LPB
2020-03-17,4.64,4.76,4.32,4.64,112680,LPB
2020-03-18,4.57,4.64,4.49,4.55,28810,LPB
2020-03-19,4.26,4.5,4.26,4.5,30150,LPB
2020-03-20,4.31,4.49,4.31,4.37,64460,LPB
2020-03-23,4.33,4.33,4.07,4.07,137700,LPB
2020-03-24,4.07,4.07,3.8,3.85,82950,LPB
2020-03-25,3.85,3.92,3.85,3.86,101960,LPB
2020-03-26,3.86,3.86,3.78,3.82,111750,LPB
2020-03-27,3.85,3.85,3.7,3.82,110100,LPB
2020-03-30,3.73,3.74,3.56,3.56,177850,LPB
2020-03-31,3.56,3.61,3.42,3.42,77020,LPB
2020-04-01,3.42,3.58,3.42,3.49,145180,LPB
2020-04-03,3.55,3.7,3.55,3.61,269230,LPB
2020-04-06,3.73,3.81,3.7,3.81,259240,LPB
2020-04-07,3.81,3.81,3.61,3.78,230520,LPB
2020-04-08,3.73,3.75,3.63,3.7,199900,LPB
2020-04-09,3.7,3.96,3.7,3.96,514950,LPB
2020-04-10,4.23,4.23,4.16,4.23,1148030,LPB
2020-04-13,4.34,4.5,4.28,4.33,335150,LPB
2020-04-14,4.33,4.33,4.1,4.21,327760,LPB
2020-04-15,4.28,4.5,4.28,4.4,1117240,LPB
2020-04-16,4.4,4.62,4.35,4.5,327780,LPB
2020-04-17,4.53,4.76,4.5,4.76,465210,LPB
2020-04-20,4.76,4.79,4.47,4.59,902790,LPB
2020-04-21,4.45,4.52,4.28,4.28,690330,LPB
2020-04-22,4.09,4.47,4.09,4.4,460820,LPB
2020-04-23,4.52,4.59,4.4,4.52,603730,LPB
2020-04-24,4.45,4.46,4.4,4.43,549750,LPB
2020-04-27,4.43,4.45,4.21,4.25,349740,LPB
2020-04-28,4.23,4.26,4.17,4.26,314120,LPB
2020-04-29,4.25,4.26,4.19,4.23,303380,LPB
2020-05-04,4.21,4.47,4.19,4.27,413270,LPB
2020-05-05,4.38,4.45,4.28,4.45,281980,LPB
2020-05-06,4.45,4.47,4.4,4.43,143670,LPB
2020-05-07,4.43,4.57,4.41,4.57,393280,LPB
2020-05-08,4.58,4.88,4.58,4.73,1299710,LPB
2020-05-11,5.02,5.05,4.84,5.05,725760,LPB
2020-05-12,5.4,5.4,5.27,5.4,1566100,LPB
2020-05-13,5.21,5.39,5.05,5.24,952830,LPB
2020-05-14,5.12,5.6,5.1,5.46,962520,LPB
2020-05-15,5.46,5.75,5.45,5.54,791520,LPB
2020-05-18,5.53,5.85,5.48,5.77,600770,LPB
2020-05-19,5.92,5.99,5.65,5.89,677230,LPB
2020-05-20,5.68,5.85,5.68,5.79,374340,LPB
2020-05-21,5.75,5.83,5.48,5.6,1134540,LPB
2020-05-22,5.63,5.74,5.48,5.58,798190,LPB
2020-05-25,5.58,5.7,5.51,5.63,744260,LPB
2020-05-26,5.63,5.89,5.63,5.77,920040,LPB
2020-05-27,5.85,5.88,5.53,5.53,747450,LPB
2020-05-28,5.6,5.65,5.5,5.62,846770,LPB
2020-05-29,5.57,5.63,5.45,5.48,1256510,LPB
2020-06-01,5.53,5.68,5.51,5.66,272620,LPB
2020-06-02,5.73,5.91,5.71,5.73,1134730,LPB
2020-06-03,5.66,5.81,5.63,5.69,387580,LPB
2020-06-04,5.71,6.09,5.71,6.06,2503400,LPB
2020-06-05,6.11,6.11,5.97,6.06,621890,LPB
2020-06-08,6.21,6.28,6.06,6.16,895100,LPB
2020-06-09,6.13,6.16,5.94,5.98,1394860,LPB
2020-06-10,5.94,6.11,5.86,6.07,1060000,LPB
2020-06-11,6.09,6.15,5.65,5.65,1309250,LPB
2020-06-12,5.28,5.56,5.27,5.56,1141200,LPB
2020-06-15,5.56,5.56,5.17,5.17,1023220,LPB
2020-06-16,5.34,5.45,5.27,5.35,865980,LPB
2020-06-17,5.36,5.44,5.22,5.34,574740,LPB
2020-06-18,5.34,5.35,5.22,5.26,397870,LPB
2020-06-19,5.27,5.5,5.27,5.48,801950,LPB
2020-06-22,5.51,5.64,5.48,5.51,459520,LPB
2020-06-23,5.6,5.83,5.53,5.74,1347280,LPB
2020-06-24,5.74,5.87,5.41,5.53,722350,LPB
2020-06-25,5.41,5.58,5.38,5.5,509950,LPB
2020-06-26,5.5,5.63,5.27,5.4,768440,LPB
2020-06-29,5.28,5.4,5.04,5.05,739540,LPB
2020-06-30,5.22,5.24,4.9,4.93,863550,LPB
2020-07-01,5.05,5.27,4.93,5.27,373730,LPB
2020-07-02,5.4,5.48,5.32,5.34,275590,LPB
2020-07-03,5.41,5.41,5.3,5.38,425360,LPB
2020-07-06,5.51,5.51,5.39,5.5,328790,LPB
2020-07-07,5.63,5.68,5.51,5.51,911110,LPB
2020-07-08,5.51,5.71,5.46,5.7,681070,LPB
2020-07-09,5.75,5.89,5.74,5.81,911920,LPB
2020-07-10,5.81,6.11,5.81,5.97,1770990,LPB
2020-07-13,6.01,6.01,5.92,5.95,647150,LPB
2020-07-14,5.95,6.1,5.85,6.03,780520,LPB
2020-07-15,6.11,6.12,5.97,5.99,661280,LPB
2020-07-16,6.12,6.12,5.93,5.98,497370,LPB
2020-07-17,5.99,5.99,5.89,5.93,318800,LPB
2020-07-20,5.94,6.04,5.89,5.98,599990,LPB
2020-07-21,6.02,6.02,5.81,5.94,481600,LPB
