date,open,high,low,close,volume,symbol
2020-01-02,5.84,5.94,5.81,5.93,2849190,MBB
2020-01-03,6.0,6.01,5.93,5.94,3476230,MBB
2020-01-06,5.91,5.93,5.86,5.86,2609270,MBB
2020-01-07,5.87,5.91,5.83,5.87,2684180,MBB
2020-01-08,5.81,5.87,5.79,5.79,4163950,MBB
2020-01-09,5.86,5.91,5.8,5.88,3298470,MBB
2020-01-10,5.91,6.05,5.91,5.98,8593950,MBB
2020-01-13,6.0,6.04,5.94,5.95,2921820,MBB
2020-01-14,5.95,6.05,5.94,6.01,4557920,MBB
2020-01-15,6.01,6.04,6.0,6.0,3625930,MBB
2020-01-16,6.02,6.19,6.01,6.15,8169550,MBB
2020-01-17,6.16,6.22,6.12,6.15,4776330,MBB
2020-01-20,6.15,6.18,6.11,6.15,4308990,MBB
2020-01-21,6.18,6.32,6.16,6.3,5239140,MBB
2020-01-22,6.3,6.32,6.25,6.26,4991520,MBB
2020-01-30,6.15,6.18,5.93,5.94,8995010,MBB
2020-01-31,5.88,6.02,5.81,5.81,8065490,MBB
2020-02-03,5.63,5.81,5.45,5.69,14421110,MBB
2020-02-04,5.77,6.02,5.63,5.91,9461800,MBB
2020-02-05,5.98,6.04,5.88,5.91,7177000,MBB
2020-02-06,5.91,6.15,5.84,6.09,12119010,MBB
2020-02-07,6.08,6.09,5.98,5.98,8050600,MBB
2020-02-10,5.9,5.95,5.86,5.87,6111600,MBB
2020-02-11,5.9,5.95,5.88,5.93,4331600,MBB
2020-02-12,6.0,6.12,5.95,6.05,10980490,MBB
2020-02-13,6.02,6.08,5.97,5.98,6581630,MBB
2020-02-14,6.04,6.12,6.02,6.08,9083550,MBB
2020-02-17,6.15,6.21,6.09,6.14,9693630,MBB
2020-02-18,6.16,6.18,6.07,6.08,5400900,MBB
2020-02-19,6.08,6.09,6.01,6.04,4586120,MBB
2020-02-20,6.09,6.12,6.04,6.05,6104470,MBB
2020-02-21,6.07,6.07,5.91,5.93,8795360,MBB
2020-02-24,5.79,5.81,5.62,5.62,12138250,MBB
2020-02-25,5.59,5.81,5.55,5.81,11926410,MBB
2020-02-26,5.69,5.84,5.69,5.73,5079630,MBB
2020-02-27,5.74,5.84,5.72,5.84,4046120,MBB
2020-02-28,5.73,5.8,5.69,5.7,7020070,MBB
2020-03-02,5.73,5.81,5.72,5.79,4996110,MBB
2020-03-03,5.88,5.91,5.81,5.84,5788700,MBB
2020-03-04,5.81,5.83,5.76,5.8,3856070,MBB
2020-03-05,5.84,5.86,5.77,5.77,4512210,MBB
2020-03-06,5.73,5.79,5.7,5.77,3822460,MBB
2020-03-09,5.47,5.56,5.38,5.38,12282460,MBB
2020-03-10,5.28,5.47,5.24,5.35,7083800,MBB
2020-03-11,5.44,5.45,5.0,5.09,7990830,MBB
2020-03-12,4.86,4.92,4.74,4.74,15483860,MBB
2020-03-13,4.43,5.0,4.42,4.78,11673000,MBB
2020-03-16,4.79,4.84,4.58,4.6,4256130,MBB
