date,open,high,low,close,volume,symbol
2020-01-02,46.1,46.5,45.61,46.18,518870,MSN
2020-01-03,46.34,46.75,46.02,46.58,777690,MSN
2020-01-06,46.58,46.58,45.85,45.85,582020,MSN
2020-01-07,46.02,46.42,45.94,46.02,319680,MSN
2020-01-08,45.53,45.77,45.04,45.37,737690,MSN
2020-01-09,45.85,46.34,45.77,46.18,505680,MSN
2020-01-10,46.18,46.75,45.77,45.77,524930,MSN
2020-01-13,45.85,46.26,45.69,46.18,413810,MSN
2020-01-14,46.18,46.42,45.85,45.85,349410,MSN
2020-01-15,46.18,46.18,45.37,45.77,373290,MSN
2020-01-16,45.77,46.1,45.53,45.53,290210,MSN
2020-01-17,45.45,45.69,44.56,44.56,496940,MSN
2020-01-20,44.56,44.64,42.94,43.99,541490,MSN
2020-01-21,43.99,44.48,43.83,44.15,369330,MSN
2020-01-22,43.91,44.23,43.18,43.26,540210,MSN
2020-01-30,42.94,42.94,40.51,40.59,1591110,MSN
2020-01-31,40.51,41.88,40.51,40.59,791350,MSN
2020-02-03,37.83,40.51,37.75,40.51,1290570,MSN
2020-02-04,40.59,41.32,40.1,40.51,744900,MSN
2020-02-05,40.91,40.91,39.86,40.51,750710,MSN
2020-02-06,40.47,40.47,38.48,40.43,2389970,MSN
2020-02-07,40.35,40.43,39.54,40.43,932290,MSN
2020-02-10,40.43,40.43,39.54,40.43,600280,MSN
2020-02-11,39.86,41.88,39.86,40.43,2081860,MSN
2020-02-12,40.51,41.07,40.51,40.91,804720,MSN
2020-02-13,41.07,41.24,40.59,40.67,547970,MSN
2020-02-14,40.67,40.67,40.06,40.35,1120310,MSN
2020-02-17,40.35,40.35,39.66,40.26,1492320,MSN
2020-02-18,39.86,40.26,39.86,40.26,591220,MSN
2020-02-19,40.18,41.88,40.18,40.83,1818680,MSN
2020-02-20,41.24,41.64,40.83,41.4,1365480,MSN
2020-02-21,41.72,43.75,41.72,42.94,2061050,MSN
2020-02-24,41.8,42.53,41.32,41.4,1429040,MSN
2020-02-25,40.91,41.56,40.35,40.99,896710,MSN
2020-02-26,40.35,40.75,39.7,40.3,1252450,MSN
2020-02-27,39.86,40.35,39.54,40.26,1642080,MSN
2020-02-28,40.26,40.26,38.64,39.7,2255610,MSN
2020-03-02,39.17,39.7,38.77,39.7,1588150,MSN
2020-03-03,39.86,40.35,39.29,39.7,1225730,MSN
2020-03-04,39.62,39.98,39.41,39.7,909830,MSN
2020-03-05,40.06,42.13,39.82,41.24,1780900,MSN
2020-03-06,41.16,44.07,40.59,44.07,2794380,MSN
2020-03-09,42.94,46.02,41.32,42.13,4205130,MSN
2020-03-10,42.86,43.59,42.13,42.45,2386840,MSN
2020-03-11,43.18,43.18,39.86,40.47,2637580,MSN
2020-03-12,38.24,40.47,37.67,40.47,4072710,MSN
2020-03-13,37.67,40.47,37.67,40.39,3783330,MSN
2020-03-16,39.7,40.35,38.48,40.1,3216820,MSN
2020-03-17,38.89,40.1,38.64,40.1,3877150,MSN
2020-03-18,40.1,40.26,39.54,40.02,2170340,MSN
2020-03-19,39.29,39.86,38.93,39.86,3350310,MSN
2020-03-20,39.7,39.86,38.72,39.86,4120820,MSN
2020-03-23,38.97,39.86,37.59,39.86,5025020,MSN
2020-03-24,39.29,39.78,39.13,39.78,3558350,MSN
2020-03-25,39.7,40.26,39.29,39.78,2857290,MSN
2020-03-26,39.7,39.86,39.33,39.7,2763490,MSN
2020-03-27,39.45,41.32,39.29,39.94,2587920,MSN
2020-03-30,39.29,39.78,39.21,39.78,1378940,MSN
2020-03-31,39.78,40.43,39.05,39.7,3667100,MSN
2020-04-01,39.54,40.51,39.54,39.86,1725880,MSN
2020-04-03,40.18,42.37,40.1,42.37,1841480,MSN
2020-04-06,43.18,45.29,43.02,45.29,2556830,MSN
2020-04-07,46.02,47.31,44.64,46.58,2099700,MSN
2020-04-08,45.45,47.72,44.96,47.72,1338040,MSN
2020-04-09,47.8,48.37,47.07,48.12,2047890,MSN
2020-04-10,47.8,50.63,47.23,48.77,1914340,MSN
2020-04-13,48.77,49.74,47.07,47.07,2106950,MSN
2020-04-14,46.99,49.42,46.34,49.42,1449880,MSN
2020-04-15,49.42,50.47,49.18,49.34,1106350,MSN
2020-04-16,48.28,49.58,48.28,49.26,981480,MSN
2020-04-17,49.42,49.74,49.01,49.09,1417150,MSN
2020-04-20,49.09,49.42,48.12,48.12,1843690,MSN
2020-04-21,47.07,47.64,45.45,45.85,1855040,MSN
2020-04-22,44.96,47.47,44.96,47.15,1062970,MSN
2020-04-23,48.2,48.45,47.15,47.15,842920,MSN
2020-04-24,46.83,48.2,46.34,48.2,1218690,MSN
2020-04-27,48.61,49.01,47.39,47.39,1122520,MSN
2020-04-28,47.39,48.85,46.99,48.37,1095230,MSN
2020-04-29,47.64,48.53,47.64,47.64,830530,MSN
2020-05-04,46.34,47.56,46.26,46.42,1148810,MSN
2020-05-05,46.34,46.58,45.69,45.69,1098980,MSN
2020-05-06,46.18,46.99,45.13,46.99,1019980,MSN
2020-05-07,47.64,47.8,46.99,47.64,780600,MSN
2020-05-08,47.8,50.55,47.72,49.42,3319850,MSN
2020-05-11,51.12,51.12,49.09,51.12,1838950,MSN
2020-05-12,51.04,51.2,50.07,50.23,1028270,MSN
2020-05-13,49.66,50.63,49.01,50.15,1598740,MSN
2020-05-14,49.82,52.82,49.42,51.77,2573510,MSN
2020-05-15,52.25,52.58,50.31,50.31,1305890,MSN
2020-05-18,50.31,50.88,49.74,50.63,840070,MSN
2020-05-19,51.28,52.17,50.63,51.04,1923440,MSN
