date,open,high,low,close,volume,symbol
2020-01-02,35.96,36.9,35.86,36.9,716290,MWG
2020-01-03,36.9,37.12,36.33,36.37,791020,MWG
2020-01-06,36.21,36.4,35.96,36.18,389250,MWG
2020-01-07,36.18,36.46,35.73,36.46,648230,MWG
2020-01-08,35.96,36.27,35.58,35.58,742390,MWG
2020-01-09,35.92,36.27,35.77,36.11,318070,MWG
2020-01-10,36.14,36.46,36.05,36.3,412180,MWG
2020-01-13,36.11,36.37,35.99,36.11,288240,MWG
2020-01-14,36.21,36.21,35.89,35.92,320810,MWG
2020-01-15,35.92,36.02,35.86,35.96,293160,MWG
2020-01-16,35.96,36.59,35.92,36.4,521080,MWG
2020-01-17,36.4,36.65,36.4,36.62,435030,MWG
2020-01-20,36.43,37.41,36.43,37.41,1463940,MWG
2020-01-21,37.41,38.01,37.34,37.85,692200,MWG
2020-01-22,37.72,37.88,37.37,37.6,460240,MWG
2020-01-30,36.59,36.93,35.64,35.96,1315710,MWG
2020-01-31,35.64,36.14,34.85,34.95,1434750,MWG
2020-02-03,34.13,34.66,32.8,34.32,1949930,MWG
2020-02-04,34.38,34.85,33.56,34.03,905300,MWG
2020-02-05,34.06,34.6,34.06,34.06,805800,MWG
2020-02-06,34.06,34.79,34.06,34.54,785620,MWG
2020-02-07,34.47,34.47,34.0,34.28,628350,MWG
2020-02-10,33.59,33.91,33.37,33.37,702790,MWG
2020-02-11,33.43,33.68,33.43,33.59,396130,MWG
2020-02-12,33.65,34.5,33.65,34.38,569230,MWG
2020-02-13,34.03,34.38,34.03,34.06,412040,MWG
2020-02-14,33.75,33.97,33.4,33.78,415290,MWG
2020-02-17,33.81,33.91,33.5,33.91,384490,MWG
2020-02-18,33.91,34.41,33.75,34.35,568750,MWG
2020-02-19,34.5,34.85,34.35,34.85,672440,MWG
2020-02-20,35.01,35.14,34.76,34.88,451760,MWG
2020-02-21,34.88,35.32,34.63,34.88,901890,MWG
2020-02-24,34.06,34.35,33.34,33.5,1556120,MWG
2020-02-25,33.18,33.75,33.18,33.75,692650,MWG
2020-02-26,33.43,34.03,33.27,33.5,1083030,MWG
2020-02-27,33.5,34.19,33.5,34.19,2144240,MWG
2020-02-28,33.43,33.81,32.96,33.59,1295250,MWG
2020-03-02,33.59,33.81,33.4,33.59,474160,MWG
2020-03-03,34.0,34.0,33.53,33.56,679500,MWG
2020-03-04,33.4,33.43,32.99,33.43,680740,MWG
2020-03-05,33.43,33.62,32.96,33.27,673150,MWG
2020-03-06,32.93,33.05,31.98,32.52,827890,MWG
2020-03-09,30.25,31.07,30.25,30.25,1051190,MWG
2020-03-10,28.67,29.96,28.45,29.62,1429660,MWG
2020-03-11,29.81,29.81,27.57,27.57,1584730,MWG
2020-03-12,25.64,25.64,25.64,25.64,527930,MWG
2020-03-13,23.88,27.12,23.88,24.92,3610700,MWG
2020-03-16,24.29,24.98,23.34,23.97,1526810,MWG
