date,open,high,low,close,volume,symbol
2020-01-02,2.1,2.17,2.1,2.17,5266138,SHB
2020-01-03,2.17,2.17,2.1,2.1,2756634,SHB
2020-01-06,2.1,2.14,2.07,2.07,2225405,SHB
2020-01-07,2.07,2.14,2.07,2.07,1900049,SHB
2020-01-08,2.07,2.14,2.04,2.07,4952178,SHB
2020-01-09,2.1,2.17,2.07,2.1,4564607,SHB
2020-01-10,2.14,2.3,2.14,2.3,12074293,SHB
2020-01-13,2.3,2.36,2.27,2.33,6713670,SHB
2020-01-14,2.33,2.36,2.3,2.33,4214729,SHB
2020-01-15,2.33,2.4,2.3,2.4,5862093,SHB
2020-01-16,2.4,2.49,2.32,2.43,5813973,SHB
2020-01-17,2.43,2.49,2.36,2.36,5603239,SHB
2020-01-20,2.36,2.4,2.32,2.33,5686173,SHB
2020-01-21,2.3,2.46,2.3,2.4,3921607,SHB
2020-01-22,2.4,2.49,2.4,2.49,5596112,SHB
2020-01-30,2.46,2.56,2.4,2.43,9105370,SHB
2020-01-31,2.43,2.56,2.4,2.43,18935757,SHB
2020-02-03,2.36,2.56,2.36,2.56,27397994,SHB
2020-02-04,2.64,2.68,2.6,2.68,7888715,SHB
2020-02-05,2.68,2.91,2.53,2.91,13147005,SHB
2020-02-06,2.91,3.07,2.91,2.99,9104379,SHB
2020-02-07,2.99,3.03,2.79,2.79,10890679,SHB
2020-02-10,2.79,2.83,2.68,2.68,10748016,SHB
2020-02-11,2.72,2.83,2.68,2.83,9393306,SHB
2020-02-12,2.83,2.91,2.83,2.87,8981890,SHB
2020-02-13,2.87,2.87,2.75,2.83,11588530,SHB
2020-02-14,2.83,2.91,2.82,2.87,5467484,SHB
2020-02-17,2.87,2.95,2.83,2.91,6810878,SHB
2020-02-18,2.87,2.99,2.83,2.87,4349999,SHB
2020-02-19,2.87,2.87,2.75,2.75,6807758,SHB
2020-02-20,2.75,2.83,2.72,2.72,9524499,SHB
2020-02-21,2.75,2.79,2.68,2.72,4420990,SHB
2020-02-24,2.72,2.83,2.64,2.79,20882603,SHB
2020-02-25,2.75,2.91,2.72,2.87,14034831,SHB
2020-02-26,2.87,3.15,2.83,3.15,30512712,SHB
2020-02-27,3.15,3.46,3.15,3.46,18183092,SHB
2020-02-28,3.46,3.78,3.38,3.78,34257491,SHB
2020-03-02,3.74,4.13,3.58,4.13,54625808,SHB
2020-03-03,4.13,4.52,4.05,4.45,42647821,SHB
2020-03-04,4.37,4.72,4.25,4.72,50027154,SHB
2020-03-05,4.68,5.19,4.64,5.08,65589848,SHB
2020-03-06,5.08,5.12,4.72,4.88,22246933,SHB
2020-03-09,4.45,4.76,4.41,4.41,4400928,SHB
2020-03-10,3.97,4.41,3.97,3.97,14000432,SHB
2020-03-11,3.78,4.37,3.74,4.37,28794377,SHB
2020-03-12,4.37,4.52,4.25,4.41,16970413,SHB
2020-03-13,4.21,4.45,3.97,4.33,28882992,SHB
2020-03-16,4.29,4.76,4.13,4.33,8688136,SHB
2020-03-17,4.21,4.45,4.09,4.45,12201261,SHB
2020-03-18,4.33,4.72,4.33,4.68,7407963,SHB
2020-03-19,4.68,4.68,4.52,4.64,4986718,SHB
2020-03-20,4.6,4.72,4.49,4.72,6011812,SHB
2020-03-23,4.56,4.72,4.56,4.64,13749681,SHB
2020-03-24,4.6,4.72,4.56,4.68,8322806,SHB
2020-03-25,4.68,5.0,4.68,5.0,4967554,SHB
2020-03-26,5.0,5.04,4.68,4.92,4013630,SHB
