date,open,high,low,close,volume,symbol
2020-01-02,5.98,6.33,5.93,6.02,130120,TPB
2020-01-03,6.02,6.16,6.02,6.07,99170,TPB
2020-01-06,6.05,6.05,5.93,5.98,112640,TPB
2020-01-07,5.98,6.0,5.95,5.99,65060,TPB
2020-01-08,5.99,5.99,5.91,5.91,102880,TPB
2020-01-09,5.91,6.02,5.91,5.96,189800,TPB
2020-01-10,5.96,6.09,5.96,6.07,133980,TPB
2020-01-13,6.07,6.12,6.05,6.09,98460,TPB
2020-01-14,6.09,6.13,6.09,6.13,226240,TPB
2020-01-15,6.07,6.15,5.96,6.15,46350,TPB
2020-01-16,6.15,6.24,6.15,6.19,383350,TPB
2020-01-17,6.26,6.26,6.09,6.09,37830,TPB
2020-01-20,6.09,6.15,5.67,6.07,78000,TPB
2020-01-21,5.91,6.1,5.91,6.07,122920,TPB
2020-01-22,5.99,6.09,5.99,6.07,45070,TPB
2020-01-30,6.0,6.05,5.96,6.05,103000,TPB
2020-01-31,5.96,6.05,5.65,5.91,89490,TPB
2020-02-03,5.54,5.86,5.51,5.86,173210,TPB
2020-02-04,5.93,5.95,5.79,5.93,14600,TPB
2020-02-05,5.89,5.96,5.89,5.96,28510,TPB
2020-02-06,5.95,6.07,5.91,6.05,77450,TPB
2020-02-07,5.95,6.03,5.88,5.88,78430,TPB
2020-02-10,5.96,5.96,5.85,5.91,71850,TPB
2020-02-11,5.91,5.95,5.88,5.93,43150,TPB
2020-02-12,5.93,5.99,5.93,5.95,90120,TPB
2020-02-13,5.95,5.99,5.92,5.95,113750,TPB
2020-02-14,5.95,6.19,5.95,6.16,294880,TPB
2020-02-17,6.19,6.2,6.07,6.16,207270,TPB
2020-02-18,6.16,6.17,6.07,6.16,111000,TPB
2020-02-19,6.13,6.13,6.02,6.02,124780,TPB
2020-02-20,6.05,6.06,6.03,6.05,145520,TPB
2020-02-21,6.03,6.06,5.99,6.02,90300,TPB
2020-02-24,5.79,5.93,5.72,5.72,161490,TPB
2020-02-25,5.57,5.92,5.57,5.92,27270,TPB
2020-02-26,5.91,5.91,5.79,5.86,41910,TPB
2020-02-27,5.86,6.13,5.79,6.06,271110,TPB
2020-02-28,6.02,6.06,5.93,6.05,156510,TPB
2020-03-02,6.06,6.07,5.96,6.03,99240,TPB
2020-03-03,6.07,6.15,6.03,6.05,254330,TPB
2020-03-04,6.15,6.26,6.03,6.19,671700,TPB
2020-03-05,6.3,6.3,6.19,6.22,310620,TPB
2020-03-06,6.19,6.22,6.12,6.22,233160,TPB
2020-03-09,5.79,5.93,5.79,5.79,438780,TPB
2020-03-10,5.47,5.93,5.47,5.93,242330,TPB
2020-03-11,5.93,5.93,5.57,5.93,154120,TPB
2020-03-12,5.74,5.76,5.52,5.74,610480,TPB
2020-03-13,5.34,5.76,5.34,5.55,281610,TPB
2020-03-16,5.55,5.78,5.55,5.78,563900,TPB
2020-03-17,5.74,5.93,5.55,5.93,269620,TPB
2020-03-18,5.93,6.02,5.89,6.02,558100,TPB
2020-03-19,6.0,6.02,5.88,6.02,503440,TPB
2020-03-20,5.89,6.19,5.89,6.19,1064230,TPB
2020-03-23,6.19,6.19,5.79,6.02,763990,TPB
2020-03-24,6.07,6.2,5.93,6.2,1415010,TPB
2020-03-25,6.09,6.2,6.09,6.19,249770,TPB
2020-03-26,6.19,6.19,5.79,5.79,117490,TPB
2020-03-27,5.59,5.79,5.58,5.58,98820,TPB
2020-03-30,5.23,5.51,5.2,5.2,166320,TPB
2020-03-31,5.2,5.2,4.85,4.85,122410,TPB
2020-04-01,4.51,4.94,4.51,4.58,286720,TPB
2020-04-03,4.58,4.78,4.58,4.73,101430,TPB
2020-04-06,4.8,4.94,4.73,4.93,395510,TPB
2020-04-07,4.94,4.94,4.78,4.94,200320,TPB
2020-04-08,4.66,4.9,4.66,4.83,52310,TPB
2020-04-09,4.93,4.97,4.86,4.92,167930,TPB
2020-04-10,4.92,4.92,4.8,4.86,86670,TPB
2020-04-13,4.9,4.94,4.86,4.92,204450,TPB
2020-04-14,4.94,4.96,4.86,4.9,119710,TPB
2020-04-15,4.9,5.17,4.9,5.17,197400,TPB
2020-04-16,5.17,5.17,5.03,5.13,73710,TPB
2020-04-17,5.11,5.26,5.11,5.23,135520,TPB
2020-04-20,5.23,5.28,5.17,5.17,126480,TPB
2020-04-21,5.16,5.16,4.83,4.86,156100,TPB
2020-04-22,4.8,5.0,4.8,5.0,33200,TPB
2020-04-23,5.14,5.14,4.94,5.0,31680,TPB
2020-04-24,5.1,5.1,5.0,5.0,34280,TPB
2020-04-27,5.0,5.03,4.92,4.94,29160,TPB
2020-04-28,5.0,5.0,4.86,4.94,34610,TPB
2020-04-29,4.94,4.99,4.86,4.92,88040,TPB
2020-05-04,4.86,4.96,4.86,4.92,74680,TPB
2020-05-05,4.97,4.97,4.92,4.97,33750,TPB
2020-05-06,5.0,5.09,4.97,5.07,101950,TPB
2020-05-07,5.14,5.14,5.07,5.11,85730,TPB
2020-05-08,5.14,5.23,5.1,5.11,168160,TPB
2020-05-11,5.11,5.37,5.11,5.3,137630,TPB
2020-05-12,5.31,5.67,5.24,5.67,353420,TPB
2020-05-13,5.68,6.06,5.61,6.06,346820,TPB
2020-05-14,6.36,6.36,6.06,6.17,652330,TPB
2020-05-15,5.96,6.17,5.88,6.17,338510,TPB
2020-05-18,5.93,6.16,5.91,6.07,102210,TPB
2020-05-19,6.19,6.24,6.07,6.22,310870,TPB
2020-05-20,6.22,6.22,6.1,6.2,136380,TPB
2020-05-21,6.19,6.22,6.1,6.16,161530,TPB
2020-05-22,6.2,6.22,5.93,5.93,166670,TPB
2020-05-25,5.93,6.02,5.88,5.93,77950,TPB
2020-05-26,5.93,5.96,5.85,5.96,238050,TPB
2020-05-27,6.05,6.07,5.91,5.91,74930,TPB
2020-05-28,5.93,6.06,5.82,5.83,88230,TPB
2020-05-29,5.82,5.88,5.79,5.83,123320,TPB
2020-06-01,5.88,6.05,5.88,6.02,150440,TPB
2020-06-02,6.02,6.07,5.93,5.93,125520,TPB
2020-06-03,5.93,6.24,5.93,6.2,546590,TPB
2020-06-04,6.22,6.24,6.19,6.22,313230,TPB
2020-06-05,6.19,6.24,6.16,6.2,323580,TPB
2020-06-08,6.13,6.22,6.13,6.16,132990,TPB
2020-06-09,6.16,6.16,6.07,6.12,42790,TPB
2020-06-10,6.12,6.22,6.12,6.22,126730,TPB
2020-06-11,6.22,6.26,5.82,5.82,126510,TPB
2020-06-12,5.45,5.93,5.45,5.93,149330,TPB
2020-06-15,5.93,5.93,5.74,5.74,82650,TPB
2020-06-16,5.74,5.93,5.74,5.93,67860,TPB
2020-06-17,5.93,5.93,5.81,5.81,19700,TPB
2020-06-18,5.76,5.85,5.76,5.83,20140,TPB
