date,open,high,low,close,volume,symbol
2020-01-02,62.26,63.0,62.26,62.56,238600,VHM
2020-01-03,62.56,62.93,62.34,62.78,394470,VHM
2020-01-06,62.34,62.63,61.01,61.45,1025270,VHM
2020-01-07,61.16,62.49,61.16,61.75,590360,VHM
2020-01-08,61.16,61.53,59.69,60.79,553690,VHM
2020-01-09,61.45,61.68,61.09,61.38,421250,VHM
2020-01-10,61.38,62.56,60.94,62.26,699780,VHM
2020-01-13,62.49,63.96,62.26,63.59,882160,VHM
2020-01-14,63.52,63.96,63.44,63.59,361600,VHM
2020-01-15,63.74,63.74,63.22,63.59,420650,VHM
2020-01-16,63.66,63.66,63.3,63.44,441860,VHM
2020-01-17,63.52,64.77,63.37,63.37,552190,VHM
2020-01-20,63.37,63.66,63.15,63.37,711830,VHM
2020-01-21,63.37,64.48,63.37,64.48,653680,VHM
2020-01-22,64.4,65.95,64.33,65.88,673070,VHM
2020-01-30,64.25,64.7,63.22,64.4,1414000,VHM
2020-01-31,64.48,65.21,64.18,64.48,1284370,VHM
2020-02-03,61.31,63.3,60.42,62.78,755310,VHM
2020-02-04,62.78,63.74,62.63,63.15,829790,VHM
2020-02-05,63.96,63.96,62.93,63.37,2410370,VHM
2020-02-06,63.59,64.11,63.37,63.96,484420,VHM
2020-02-07,64.03,64.7,63.96,64.11,587610,VHM
2020-02-10,63.44,63.89,63.22,63.52,373600,VHM
2020-02-11,63.37,63.66,63.0,63.52,602090,VHM
2020-02-12,63.89,63.89,63.52,63.74,395320,VHM
2020-02-13,63.52,63.66,63.0,63.37,421050,VHM
2020-02-14,63.0,65.29,63.0,64.55,481520,VHM
2020-02-17,64.84,64.84,63.74,63.89,164600,VHM
2020-02-18,63.81,64.11,63.08,63.37,323870,VHM
2020-02-19,63.08,63.74,62.78,63.37,484850,VHM
2020-02-20,63.74,64.33,63.3,64.03,271380,VHM
2020-02-21,63.74,64.03,63.37,63.44,184170,VHM
2020-02-24,61.38,62.71,61.38,61.9,619380,VHM
2020-02-25,60.64,61.75,59.69,61.23,410300,VHM
2020-02-26,61.16,61.16,59.17,59.61,651880,VHM
2020-02-27,58.88,59.69,58.21,59.54,1280250,VHM
2020-02-28,57.84,59.24,57.84,59.24,860760,VHM
2020-03-02,58.29,59.39,58.21,59.32,447980,VHM
2020-03-03,59.32,59.76,59.1,59.32,742520,VHM
2020-03-04,58.29,59.32,58.14,59.32,901070,VHM
2020-03-05,59.02,60.05,59.02,59.69,361110,VHM
2020-03-06,58.95,59.61,58.21,59.61,339740,VHM
2020-03-09,57.92,57.92,55.49,55.49,973190,VHM
2020-03-10,52.32,56.37,52.32,56.37,1050110,VHM
2020-03-11,56.37,56.59,52.46,56.37,932900,VHM
2020-03-12,55.63,55.63,52.46,53.05,1161120,VHM
2020-03-13,49.37,53.05,49.37,53.05,1337180,VHM
2020-03-16,52.32,52.91,49.74,52.91,968810,VHM
2020-03-17,49.74,52.61,49.74,51.51,1095460,VHM
2020-03-18,51.36,51.8,49.74,51.21,1707750,VHM
2020-03-19,49.59,51.06,47.9,50.48,1482170,VHM
2020-03-20,50.48,50.48,47.01,47.01,1351550,VHM
2020-03-23,44.21,45.69,43.77,43.77,198200,VHM
2020-03-24,40.82,43.03,40.75,40.75,2036510,VHM
2020-03-25,42.0,43.55,39.79,43.55,1832290,VHM
2020-03-26,43.55,46.42,42.15,44.95,2020820,VHM
2020-03-27,44.21,45.24,43.11,44.21,710770,VHM
2020-03-30,41.12,42.0,41.12,41.12,929820,VHM
2020-03-31,41.12,42.66,38.32,40.53,661010,VHM
2020-04-01,39.2,42.22,39.2,40.38,553900,VHM
2020-04-03,41.41,42.52,40.67,42.52,940470,VHM
2020-04-06,44.21,45.46,43.18,45.46,534020,VHM
2020-04-07,48.26,48.63,45.76,48.63,902670,VHM
2020-04-08,47.53,51.58,47.16,51.58,950920,VHM
2020-04-09,51.58,52.24,50.7,50.84,854470,VHM
2020-04-10,50.48,50.99,49.37,49.44,513310,VHM
2020-04-13,50.11,51.21,49.44,49.59,449470,VHM
2020-04-14,50.11,50.77,49.0,50.11,642490,VHM
2020-04-15,50.4,50.84,49.74,49.96,533620,VHM
2020-04-16,49.81,50.25,49.22,49.74,670940,VHM
2020-04-17,49.74,50.99,49.74,50.48,734070,VHM
2020-04-20,51.14,51.14,50.11,50.48,512370,VHM
2020-04-21,50.11,50.33,48.71,50.11,1213590,VHM
2020-04-22,48.04,50.11,48.04,48.19,1303590,VHM
2020-04-23,49.37,49.66,48.34,49.07,1093030,VHM
2020-04-24,49.07,49.22,47.38,47.9,2147870,VHM
2020-04-27,48.26,49.3,47.16,47.53,1235530,VHM
2020-04-28,49.37,50.48,47.53,47.6,3631100,VHM
2020-04-29,47.6,47.9,46.64,46.86,2701200,VHM
2020-05-04,46.86,47.82,46.86,47.82,1577040,VHM
2020-05-05,47.67,48.26,46.72,46.86,2397120,VHM
2020-05-06,46.86,49.74,46.72,49.37,4286630,VHM
2020-05-07,49.74,50.11,48.78,49.81,1474450,VHM
2020-05-08,50.11,53.28,49.96,52.24,3635800,VHM
2020-05-11,52.32,54.45,52.17,54.16,2792640,VHM
2020-05-12,54.01,54.45,53.05,54.16,1769100,VHM
2020-05-13,53.5,53.79,52.24,52.61,3373310,VHM
2020-05-14,52.24,52.61,51.88,52.02,2268270,VHM
2020-05-15,52.32,53.05,51.95,52.76,1556450,VHM
2020-05-18,52.54,53.5,52.24,52.98,1656080,VHM
2020-05-19,53.79,55.04,53.28,53.94,3688710,VHM
2020-05-20,53.72,56.81,53.64,56.81,4298310,VHM
2020-05-21,57.11,57.84,56.59,57.48,2266430,VHM
2020-05-22,56.74,57.03,55.71,56.37,2154460,VHM
2020-05-25,56.3,57.84,55.12,56.59,4664450,VHM
2020-05-26,57.11,57.4,56.3,56.3,2996560,VHM
2020-05-27,56.37,57.18,54.97,55.04,3769070,VHM
2020-05-28,55.19,56.0,54.82,55.26,4347270,VHM
2020-05-29,55.71,56.81,55.63,56.44,3942120,VHM
2020-06-01,57.03,58.58,56.96,58.29,3254070,VHM
2020-06-02,58.29,58.36,57.25,57.33,2635920,VHM
2020-06-03,57.48,57.7,57.03,57.4,2655470,VHM
2020-06-04,57.48,57.99,56.74,57.11,3127800,VHM
2020-06-05,56.81,57.4,56.44,56.96,2191420,VHM
2020-06-08,57.48,57.99,57.11,57.33,2663380,VHM
2020-06-09,57.48,57.99,57.03,57.18,2837400,VHM
2020-06-10,57.18,57.33,56.66,57.11,3218980,VHM
2020-06-11,57.11,57.92,56.37,56.37,5714800,VHM
2020-06-12,54.16,55.71,54.16,55.26,3152190,VHM
2020-06-15,55.71,55.78,51.58,51.58,3356780,VHM
2020-06-16,53.64,55.19,53.13,55.19,3077090,VHM
2020-06-17,56.22,57.18,55.26,56.0,2173040,VHM
2020-06-18,55.71,56.52,55.56,56.37,1636400,VHM
2020-06-19,56.08,56.89,56.08,56.37,1688070,VHM
2020-06-22,57.7,57.77,56.66,57.7,2797780,VHM
2020-06-23,57.99,57.99,56.08,57.25,2146280,VHM
2020-06-24,57.18,57.92,55.63,55.78,2004540,VHM
2020-06-25,55.12,55.93,54.75,55.63,1241690,VHM
2020-06-26,56.0,56.44,55.26,55.71,753970,VHM
2020-06-29,55.26,55.26,53.94,54.53,1068990,VHM
2020-06-30,55.26,56.74,54.75,55.63,2302620,VHM
2020-07-01,55.49,56.74,55.49,56.66,936450,VHM
2020-07-02,56.74,57.03,56.3,56.66,893400,VHM
2020-07-03,56.74,57.33,56.66,57.33,1382270,VHM
2020-07-06,57.7,60.05,57.03,59.54,4330280,VHM
2020-07-07,59.69,60.35,59.32,59.54,1414070,VHM
2020-07-08,59.17,59.69,58.8,59.24,800360,VHM
2020-07-09,59.54,60.2,59.17,59.54,1220730,VHM
