date,open,high,low,close,volume,symbol
2020-01-02,3.86,3.92,3.86,3.9,371400,VIB
2020-01-03,3.9,3.92,3.86,3.88,391030,VIB
2020-01-06,3.88,3.88,3.81,3.81,359794,VIB
2020-01-07,3.81,3.86,3.81,3.81,114862,VIB
2020-01-08,3.81,3.81,3.75,3.75,516075,VIB
2020-01-09,3.75,3.84,3.75,3.77,559354,VIB
2020-01-10,3.79,3.81,3.75,3.77,720409,VIB
2020-01-13,3.79,3.86,3.77,3.84,527921,VIB
2020-01-14,3.81,3.88,3.81,3.88,359137,VIB
2020-01-15,3.88,3.88,3.84,3.84,379187,VIB
2020-01-16,3.84,3.92,3.84,3.88,690910,VIB
2020-01-17,3.88,3.95,3.84,3.86,805973,VIB
2020-01-20,3.86,3.95,3.84,3.88,1253362,VIB
2020-01-21,3.9,3.97,3.9,3.95,1106015,VIB
2020-01-22,3.95,3.97,3.9,3.95,584350,VIB
2020-01-30,3.92,3.92,3.81,3.84,848096,VIB
2020-01-31,3.84,3.84,3.77,3.79,988717,VIB
2020-02-03,3.73,3.79,3.66,3.79,1299169,VIB
2020-02-04,3.79,3.81,3.73,3.81,712734,VIB
2020-02-05,3.81,3.88,3.81,3.84,742628,VIB
2020-02-06,3.86,3.92,3.81,3.92,760378,VIB
2020-02-07,3.9,3.9,3.86,3.88,360258,VIB
2020-02-10,3.88,3.88,3.77,3.77,743200,VIB
2020-02-11,3.81,3.84,3.79,3.84,491576,VIB
2020-02-12,3.81,3.92,3.81,3.88,653767,VIB
2020-02-13,3.88,4.1,3.86,4.04,3715862,VIB
2020-02-14,4.01,4.15,3.99,4.08,1963866,VIB
2020-02-17,4.1,4.12,4.04,4.06,973460,VIB
2020-02-18,4.06,4.08,3.97,3.97,1518563,VIB
2020-02-19,3.99,4.01,3.97,4.01,992359,VIB
2020-02-20,4.01,4.08,3.99,4.06,597245,VIB
2020-02-21,4.04,4.26,4.04,4.17,4777915,VIB
2020-02-24,4.17,4.17,3.92,3.97,2291673,VIB
2020-02-25,3.9,4.04,3.86,3.99,1761731,VIB
2020-02-26,3.95,3.99,3.84,3.95,1730855,VIB
2020-02-27,3.95,4.1,3.92,4.08,1355949,VIB
2020-02-28,4.04,4.06,3.97,4.01,1909126,VIB
2020-03-02,3.99,4.08,3.95,4.06,1282104,VIB
2020-03-03,4.06,4.15,4.06,4.06,1753520,VIB
2020-03-04,4.06,4.08,4.04,4.08,717445,VIB
2020-03-05,4.08,4.15,4.01,4.04,1430847,VIB
2020-03-06,4.08,4.08,3.97,4.04,878862,VIB
2020-03-09,3.97,3.97,3.39,3.57,5896152,VIB
2020-03-10,3.55,3.81,3.53,3.79,2161508,VIB
2020-03-11,3.81,3.81,3.53,3.68,2299550,VIB
2020-03-12,3.57,3.61,3.37,3.48,2366087,VIB
2020-03-13,3.33,3.53,3.19,3.41,2739933,VIB
2020-03-16,3.44,3.46,3.3,3.35,1053796,VIB
2020-03-17,3.33,3.37,3.19,3.33,1369993,VIB
2020-03-18,3.3,3.39,3.3,3.33,609580,VIB
2020-03-19,3.33,3.35,3.22,3.26,764288,VIB
2020-03-20,3.26,3.3,3.24,3.26,324349,VIB
2020-03-23,3.24,3.26,2.86,2.9,1989844,VIB
2020-03-24,2.95,3.02,2.9,3.02,807017,VIB
2020-03-25,3.06,3.24,3.04,3.22,1192400,VIB
2020-03-26,3.15,3.24,3.04,3.06,648007,VIB
