date,open,high,low,close,volume,symbol
2020-01-02,51.07,51.11,50.67,51.11,440280,VIC
2020-01-03,51.11,51.25,50.8,51.25,248940,VIC
2020-01-06,51.11,51.11,50.85,50.89,301910,VIC
2020-01-07,50.89,51.11,50.8,50.98,183910,VIC
2020-01-08,50.89,50.98,50.49,50.8,468910,VIC
2020-01-09,50.8,51.16,50.76,50.98,273870,VIC
2020-01-10,51.11,51.11,50.98,51.02,159120,VIC
2020-01-13,50.98,51.16,50.89,51.07,146680,VIC
2020-01-14,51.16,51.16,50.8,51.11,101150,VIC
2020-01-15,51.11,51.11,50.8,51.11,205600,VIC
2020-01-16,51.11,51.16,50.8,51.11,186740,VIC
2020-01-17,51.07,51.16,50.85,51.07,169100,VIC
2020-01-20,51.07,51.07,50.8,51.07,370670,VIC
2020-01-21,50.8,51.11,50.8,51.07,181510,VIC
2020-01-22,51.07,51.07,50.76,51.07,371780,VIC
2020-01-30,50.71,51.07,49.82,51.07,682720,VIC
2020-01-31,51.07,51.07,50.49,51.02,831740,VIC
2020-02-03,50.58,51.02,49.91,51.02,760420,VIC
2020-02-04,50.49,51.02,49.69,51.02,1485500,VIC
2020-02-05,51.02,51.02,50.22,50.89,468420,VIC
2020-02-06,50.89,50.98,50.13,50.85,676290,VIC
2020-02-07,50.67,50.85,49.78,50.85,1295520,VIC
2020-02-10,50.22,50.71,50.22,50.53,192700,VIC
2020-02-11,50.45,50.76,50.22,50.4,290630,VIC
2020-02-12,50.4,50.4,49.78,49.78,452790,VIC
2020-02-13,49.56,50.09,49.51,49.96,285340,VIC
2020-02-14,49.91,50.05,48.89,48.89,252390,VIC
2020-02-17,48.89,48.89,46.67,48.0,742220,VIC
2020-02-18,47.56,47.56,46.22,46.45,791870,VIC
2020-02-19,46.0,47.56,46.0,46.67,832580,VIC
2020-02-20,46.67,48.89,46.67,48.89,353570,VIC
2020-02-21,48.27,48.89,47.91,48.85,309060,VIC
2020-02-24,47.6,48.0,46.89,47.69,1428650,VIC
2020-02-25,47.42,47.69,47.07,47.56,543820,VIC
2020-02-26,46.22,47.38,46.22,47.07,625410,VIC
2020-02-27,47.02,47.11,46.27,46.93,740420,VIC
2020-02-28,46.67,46.85,45.78,46.85,870840,VIC
2020-03-02,46.22,46.85,45.65,46.85,742130,VIC
2020-03-03,46.71,46.93,46.45,46.89,557950,VIC
2020-03-04,46.49,46.89,46.0,46.89,443810,VIC
2020-03-05,46.71,47.07,46.13,46.93,352300,VIC
2020-03-06,46.67,46.67,45.82,46.67,750830,VIC
2020-03-09,45.11,45.33,43.42,43.42,966890,VIC
2020-03-10,41.33,44.09,40.53,43.42,825490,VIC
2020-03-11,43.56,43.56,40.49,43.11,1049580,VIC
2020-03-12,40.44,41.02,40.13,40.8,1896270,VIC
2020-03-13,38.22,41.11,37.96,41.11,1226880,VIC
2020-03-16,40.89,41.11,38.49,41.11,971340,VIC
2020-03-17,39.78,41.02,38.93,39.33,681330,VIC
2020-03-18,39.07,40.0,38.44,39.56,785390,VIC
2020-03-19,38.62,39.42,36.93,39.42,1103680,VIC
2020-03-20,39.42,39.42,36.67,36.67,1083480,VIC
2020-03-23,34.67,34.8,34.13,34.13,678160,VIC
2020-03-24,31.91,33.33,31.78,31.78,1474050,VIC
2020-03-25,31.78,34.0,30.22,34.0,1401570,VIC
