date,open,high,low,close,volume,symbol
2020-01-02,146.3,148.0,146.3,148.0,419710,VJC
2020-01-03,148.0,148.8,147.5,148.0,350790,VJC
2020-01-06,147.8,147.8,145.6,146.0,334350,VJC
2020-01-07,145.8,146.0,145.5,145.9,360760,VJC
2020-01-08,145.7,145.8,144.0,144.8,417200,VJC
2020-01-09,144.8,146.2,144.7,146.2,451440,VJC
2020-01-10,146.2,146.3,145.3,146.2,483900,VJC
2020-01-13,146.2,146.5,145.9,146.5,466570,VJC
2020-01-14,146.5,146.5,145.8,146.0,486130,VJC
2020-01-15,145.9,146.0,145.3,146.0,422930,VJC
2020-01-16,146.0,146.3,145.8,146.0,404540,VJC
2020-01-17,146.0,148.4,146.0,148.2,506950,VJC
2020-01-20,148.2,148.2,147.0,147.0,341310,VJC
2020-01-21,147.0,147.2,146.5,147.0,369200,VJC
2020-01-22,147.0,147.0,146.5,146.5,365030,VJC
2020-01-30,145.0,145.0,140.0,140.0,565700,VJC
2020-01-31,139.7,139.7,130.2,130.2,489090,VJC
2020-02-03,121.1,125.5,121.1,125.5,1089690,VJC
2020-02-04,125.5,129.8,125.4,129.0,271820,VJC
2020-02-05,129.0,129.3,126.8,127.0,477530,VJC
2020-02-06,126.8,127.9,126.3,127.5,422850,VJC
2020-02-07,127.6,131.9,127.4,131.2,502280,VJC
2020-02-10,131.0,131.0,128.8,129.0,269590,VJC
2020-02-11,129.0,129.1,128.3,129.0,345280,VJC
2020-02-12,129.1,129.2,128.4,129.2,372700,VJC
2020-02-13,128.9,129.2,128.4,129.2,362740,VJC
2020-02-14,129.2,129.2,128.4,128.6,280880,VJC
2020-02-17,128.5,128.9,128.5,128.7,324750,VJC
2020-02-18,128.8,128.8,128.4,128.7,347240,VJC
2020-02-19,128.7,128.7,128.3,128.4,348800,VJC
2020-02-20,128.4,128.7,128.0,128.5,257700,VJC
2020-02-21,128.5,128.8,128.4,128.6,371740,VJC
2020-02-24,128.4,128.5,127.3,128.0,306570,VJC
2020-02-25,127.8,127.8,125.2,127.0,247200,VJC
2020-02-26,125.5,125.6,124.8,125.0,388100,VJC
2020-02-27,125.0,125.0,122.7,122.8,243980,VJC
2020-02-28,122.0,122.7,121.8,121.9,305420,VJC
2020-03-02,121.0,121.0,119.4,120.8,339750,VJC
2020-03-03,120.5,121.9,120.3,120.8,335300,VJC
2020-03-04,120.8,128.7,119.9,121.3,401940,VJC
2020-03-05,121.5,123.9,121.4,123.0,413440,VJC
2020-03-06,122.9,122.9,119.9,120.5,299570,VJC
2020-03-09,119.0,119.0,112.1,113.5,340670,VJC
2020-03-10,109.0,114.5,107.8,114.5,346960,VJC
2020-03-11,114.5,114.5,106.5,106.5,683340,VJC
2020-03-12,105.5,106.0,99.1,101.0,791610,VJC
2020-03-13,99.5,101.0,94.0,101.0,488260,VJC
2020-03-16,99.3,100.0,96.0,100.0,397240,VJC
2020-03-17,98.0,101.7,97.7,101.7,439950,VJC
2020-03-18,101.7,102.0,98.0,101.4,383680,VJC
2020-03-19,99.2,100.0,95.1,98.0,540170,VJC
2020-03-20,98.0,103.0,97.4,103.0,467800,VJC
2020-03-23,100.0,100.0,95.8,95.8,400260,VJC
2020-03-24,94.8,98.0,94.6,96.5,331440,VJC
2020-03-25,98.0,99.5,96.6,97.1,310640,VJC
2020-03-26,97.1,97.1,94.6,97.0,208360,VJC
2020-03-27,96.5,96.9,94.2,96.9,222210,VJC
2020-03-30,94.0,96.5,93.2,96.5,131550,VJC
2020-03-31,96.5,98.9,96.0,97.2,153980,VJC
2020-04-01,97.2,99.2,97.0,99.2,250950,VJC
2020-04-03,99.2,101.4,99.0,99.9,377340,VJC
2020-04-06,99.9,100.2,99.0,99.9,466290,VJC
2020-04-07,100.0,100.0,97.2,99.0,264000,VJC
2020-04-08,98.5,99.0,97.5,99.0,272420,VJC
2020-04-09,99.0,103.0,98.6,102.0,359760,VJC
2020-04-10,102.0,109.1,102.0,109.1,268880,VJC
2020-04-13,113.0,116.7,112.0,115.7,241950,VJC
2020-04-14,114.5,114.5,109.5,112.8,300930,VJC
2020-04-15,111.8,112.2,106.0,110.8,244450,VJC
2020-04-16,111.0,116.0,110.6,116.0,304040,VJC
2020-04-17,116.0,118.0,116.0,117.4,391890,VJC
2020-04-20,117.6,117.6,116.5,117.2,380240,VJC
2020-04-21,116.5,116.5,113.0,115.0,270040,VJC
2020-04-22,114.7,115.5,113.8,115.1,422410,VJC
2020-04-23,115.5,117.3,115.5,116.4,417880,VJC
2020-04-24,116.5,116.5,114.7,115.2,220300,VJC
2020-04-27,115.2,115.2,113.0,113.5,279920,VJC
2020-04-28,113.0,113.5,112.2,112.9,211570,VJC
2020-04-29,112.9,116.5,112.1,115.5,500000,VJC
2020-05-04,115.5,116.0,113.9,114.3,265270,VJC
2020-05-05,114.2,114.3,111.2,111.5,257530,VJC
2020-05-06,111.8,112.5,111.7,112.1,411930,VJC
2020-05-07,112.2,115.2,112.2,115.2,413820,VJC
2020-05-08,115.2,123.2,115.1,120.0,922100,VJC
2020-05-11,119.3,119.3,117.6,118.6,404180,VJC
2020-05-12,118.6,118.6,116.6,117.4,448580,VJC
2020-05-13,117.0,117.0,109.2,114.9,709770,VJC
2020-05-14,114.8,114.8,112.8,114.0,529830,VJC
2020-05-15,114.0,114.5,113.8,114.0,396390,VJC
2020-05-18,114.0,114.2,113.1,114.0,403230,VJC
2020-05-19,115.0,116.0,114.5,114.9,565860,VJC
2020-05-20,114.5,114.5,113.5,113.7,290200,VJC
2020-05-21,113.7,115.0,113.6,115.0,452160,VJC
2020-05-22,114.8,114.8,113.0,114.0,397860,VJC
2020-05-25,114.0,114.0,113.1,113.1,331260,VJC
2020-05-26,113.0,113.3,112.4,113.0,464120,VJC
2020-05-27,113.0,115.2,113.0,113.0,496870,VJC
2020-05-28,113.0,114.2,113.0,113.3,436060,VJC
2020-05-29,113.3,113.3,112.9,113.0,449840,VJC
2020-06-01,113.0,114.0,112.9,113.3,406510,VJC
2020-06-02,113.3,115.5,113.2,114.7,593950,VJC
2020-06-03,114.7,114.7,113.7,113.8,311360,VJC
2020-06-04,113.9,114.3,113.8,114.3,687650,VJC
2020-06-05,114.1,114.3,113.6,114.3,368780,VJC
2020-06-08,114.3,115.6,114.3,115.0,688020,VJC
2020-06-09,116.8,118.8,116.0,117.8,727700,VJC
2020-06-10,117.9,118.4,117.4,117.8,544330,VJC
2020-06-11,117.8,117.9,113.5,113.5,697580,VJC
2020-06-12,112.0,113.4,109.3,113.4,657920,VJC
2020-06-15,112.2,112.2,109.0,109.0,629650,VJC
2020-06-16,110.0,110.4,107.1,107.7,612480,VJC
2020-06-17,107.7,109.8,107.5,109.8,479940,VJC
2020-06-18,109.5,111.3,109.0,111.0,345560,VJC
2020-06-19,111.0,111.9,109.5,110.0,418810,VJC
2020-06-22,109.0,110.0,108.2,109.0,276620,VJC
2020-06-23,108.5,111.0,108.2,109.4,277520,VJC
2020-06-24,109.4,109.4,108.0,108.5,267910,VJC
2020-06-25,108.0,108.5,107.2,108.5,258530,VJC
2020-06-26,108.2,108.7,107.5,108.5,248260,VJC
2020-06-29,109.0,109.5,106.5,106.8,328140,VJC
2020-06-30,107.9,108.0,106.4,108.0,289590,VJC
