date,open,high,low,close,volume,symbol
2020-01-02,71.41,72.14,71.1,71.96,352700,VNM
2020-01-03,72.14,72.63,72.14,72.2,625390,VNM
2020-01-06,72.14,72.14,71.28,71.65,495910,VNM
2020-01-07,71.71,72.51,71.71,72.32,459520,VNM
2020-01-08,72.32,72.51,71.71,72.51,837710,VNM
2020-01-09,72.63,72.93,72.26,72.38,624130,VNM
2020-01-10,72.38,72.75,72.26,72.57,596280,VNM
2020-01-13,72.63,72.63,71.65,71.65,412880,VNM
2020-01-14,71.65,72.08,71.47,71.9,335180,VNM
2020-01-15,71.9,71.96,71.53,71.9,681740,VNM
2020-01-16,71.9,72.32,71.53,72.14,545090,VNM
2020-01-17,72.14,72.38,71.9,72.38,375030,VNM
2020-01-20,72.63,72.75,72.26,72.63,493600,VNM
2020-01-21,72.63,74.4,72.38,73.85,853940,VNM
2020-01-22,74.4,74.4,73.85,74.03,794440,VNM
2020-01-30,72.63,73.12,70.92,71.16,1533720,VNM
2020-01-31,71.04,71.16,66.22,66.22,1915820,VNM
2020-02-03,61.95,67.44,61.64,66.1,2289150,VNM
2020-02-04,67.07,67.13,63.53,64.08,1869040,VNM
2020-02-05,64.94,65.73,63.05,65.06,1545750,VNM
2020-02-06,64.69,66.28,64.63,65.61,2137020,VNM
2020-02-07,65.73,67.44,65.67,67.26,1523380,VNM
2020-02-10,66.52,66.77,65.49,66.52,910510,VNM
2020-02-11,66.52,66.52,65.3,65.43,885960,VNM
2020-02-12,65.91,65.91,65.43,65.43,838170,VNM
2020-02-13,65.43,65.61,65.06,65.24,713560,VNM
2020-02-14,65.43,65.55,65.06,65.06,708080,VNM
2020-02-17,65.18,65.67,65.18,65.61,623350,VNM
2020-02-18,65.79,65.79,64.27,64.39,1078500,VNM
2020-02-19,64.08,65.12,64.08,64.94,747510,VNM
2020-02-20,65.3,65.61,64.88,64.94,624620,VNM
2020-02-21,65.61,66.77,65.61,66.22,1484500,VNM
2020-02-24,65.3,65.79,64.69,64.94,954600,VNM
2020-02-25,64.88,66.22,64.69,65.91,1200220,VNM
2020-02-26,65.12,65.12,64.08,64.08,1346630,VNM
2020-02-27,64.08,65.55,63.35,65.55,863890,VNM
2020-02-28,64.27,64.75,62.86,63.78,1437350,VNM
