date,open,high,low,close,volume,symbol
2020-01-02,33.8,34.45,33.8,34.35,581190,VRE
2020-01-03,34.3,34.65,34.1,34.6,1272890,VRE
2020-01-06,34.5,34.5,33.5,33.65,682790,VRE
2020-01-07,33.65,33.95,33.6,33.95,356780,VRE
2020-01-08,33.4,33.5,32.6,32.7,919210,VRE
2020-01-09,33.4,34.0,33.3,34.0,1054800,VRE
2020-01-10,34.0,34.1,33.55,33.95,543040,VRE
2020-01-13,34.0,34.0,33.6,33.75,417280,VRE
2020-01-14,33.85,34.0,33.75,33.75,562730,VRE
2020-01-15,33.8,33.8,33.2,33.2,549700,VRE
2020-01-16,33.7,33.7,32.75,32.8,979630,VRE
2020-01-17,33.15,33.15,32.5,32.6,872560,VRE
2020-01-20,32.4,32.45,31.85,32.0,1070940,VRE
2020-01-21,32.0,32.7,32.0,32.6,908080,VRE
2020-01-22,32.5,32.8,32.3,32.6,932500,VRE
2020-01-30,32.0,32.1,30.7,30.95,2002220,VRE
2020-01-31,30.95,31.3,30.05,30.05,2322570,VRE
2020-02-03,28.0,30.3,27.95,30.2,1977600,VRE
2020-02-04,29.7,30.15,28.7,29.25,2239180,VRE
2020-02-05,30.1,30.2,28.8,28.95,2036300,VRE
2020-02-06,28.8,30.95,28.8,30.95,3660600,VRE
2020-02-07,31.05,32.25,30.8,32.0,2423940,VRE
2020-02-10,31.5,31.5,31.0,31.1,611640,VRE
2020-02-11,31.2,31.65,30.5,31.4,2573890,VRE
2020-02-12,31.85,31.85,31.25,31.25,982950,VRE
2020-02-13,31.0,31.45,31.0,31.45,862410,VRE
2020-02-14,31.45,32.2,31.3,31.75,1388080,VRE
2020-02-17,31.8,31.8,31.2,31.4,562430,VRE
2020-02-18,31.3,31.5,30.5,30.55,1019810,VRE
2020-02-19,30.5,30.55,29.8,30.15,1404440,VRE
2020-02-20,30.55,30.9,30.3,30.9,1626950,VRE
2020-02-21,30.7,30.9,30.7,30.7,697440,VRE
2020-02-24,29.1,30.4,29.1,29.35,1391850,VRE
2020-02-25,29.0,29.45,28.8,29.2,1014900,VRE
2020-02-26,29.0,29.5,28.75,29.0,1028780,VRE
2020-02-27,28.85,29.1,28.75,29.0,1254940,VRE
2020-02-28,28.5,28.8,28.05,28.5,1824830,VRE
2020-03-02,28.5,28.95,28.2,28.55,929150,VRE
2020-03-03,29.05,29.05,28.45,28.45,1767430,VRE
2020-03-04,28.3,28.5,28.1,28.45,966120,VRE
2020-03-05,28.65,29.0,28.6,28.6,859920,VRE
2020-03-06,28.7,28.7,28.2,28.5,805500,VRE
2020-03-09,26.75,27.5,26.55,26.55,2164550,VRE
2020-03-10,25.3,26.95,25.15,26.4,3031510,VRE
2020-03-11,26.4,26.4,24.6,26.0,4211430,VRE
2020-03-12,24.2,24.95,24.2,24.2,2976280,VRE
2020-03-13,22.55,24.3,22.55,24.2,4742820,VRE
2020-03-16,24.5,24.5,22.55,23.7,1752440,VRE
2020-03-17,22.5,22.7,22.05,22.1,2066890,VRE
2020-03-18,22.0,22.3,21.25,22.1,1935850,VRE
2020-03-19,21.0,22.0,20.7,21.9,2175340,VRE
2020-03-20,21.9,21.9,20.4,20.4,2758320,VRE
2020-03-23,19.2,19.45,19.0,19.0,401880,VRE
2020-03-24,17.7,18.0,17.7,17.7,6890560,VRE
2020-03-25,18.3,18.9,16.9,18.9,4747820,VRE
2020-03-26,18.5,20.2,18.0,20.0,4553180,VRE
2020-03-27,19.4,20.4,18.6,20.4,5480540,VRE
2020-03-30,19.0,19.25,19.0,19.0,2275750,VRE
2020-03-31,18.7,20.3,18.55,19.15,3565970,VRE
2020-04-01,18.1,19.7,18.1,19.25,930870,VRE
2020-04-03,19.4,19.7,18.9,19.5,2522290,VRE
2020-04-06,19.95,20.85,19.85,20.85,4515950,VRE
2020-04-07,21.5,22.3,21.1,22.3,3715760,VRE
2020-04-08,21.9,22.5,21.3,22.5,3361700,VRE
2020-04-09,22.5,24.05,22.3,23.7,4761190,VRE
2020-04-10,23.7,24.0,23.0,23.8,2027970,VRE
2020-04-13,23.7,25.45,23.7,25.45,2382640,VRE
2020-04-14,25.45,27.2,24.8,26.2,3054710,VRE
2020-04-15,26.3,26.7,25.65,26.1,2686900,VRE
2020-04-16,25.65,26.5,25.35,26.5,2924260,VRE
2020-04-17,26.5,27.2,26.2,26.5,4348970,VRE
2020-04-20,26.5,26.5,25.8,26.2,2326300,VRE
2020-04-21,25.8,25.9,24.4,24.4,2804830,VRE
2020-04-22,22.8,25.0,22.8,23.55,5280770,VRE
2020-04-23,24.4,24.65,23.6,24.1,3095130,VRE
2020-04-24,24.4,24.4,23.5,24.0,1639110,VRE
2020-04-27,24.2,24.2,23.45,23.5,3418720,VRE
2020-04-28,23.5,23.75,22.3,22.75,3988030,VRE
2020-04-29,22.6,23.35,22.6,23.1,2661700,VRE
2020-05-04,22.8,23.75,22.8,23.45,1757720,VRE
2020-05-05,23.5,23.85,23.5,23.55,2480820,VRE
2020-05-06,23.8,25.0,23.55,25.0,5201410,VRE
2020-05-07,25.1,25.2,24.65,24.8,2518450,VRE
2020-05-08,25.0,25.9,25.0,25.3,4038610,VRE
2020-05-11,25.6,25.65,24.8,25.45,3515430,VRE
2020-05-12,25.0,25.4,24.95,25.25,3654270,VRE
2020-05-13,25.0,25.1,24.5,24.5,4037060,VRE
2020-05-14,24.2,24.35,23.9,24.05,3952220,VRE
2020-05-15,24.4,24.75,24.1,24.1,2262600,VRE
2020-05-18,24.2,24.7,24.05,24.55,2597120,VRE
2020-05-19,25.0,25.8,24.6,24.9,8313560,VRE
2020-05-20,24.8,26.55,24.8,26.55,6793800,VRE
2020-05-21,26.6,27.25,26.0,26.3,5046470,VRE
2020-05-22,26.0,26.1,25.5,25.8,5938130,VRE
2020-05-25,25.7,26.65,25.3,26.2,3774990,VRE
2020-05-26,26.6,26.8,26.25,26.5,3969390,VRE
2020-05-27,26.6,26.65,25.5,25.5,7074630,VRE
2020-05-28,25.55,27.0,25.5,26.9,6481940,VRE
2020-05-29,26.9,28.2,26.55,27.5,7822570,VRE
2020-06-01,28.0,28.05,27.65,27.8,3992550,VRE
2020-06-02,27.55,28.0,27.3,27.6,2909480,VRE
2020-06-03,27.4,28.1,27.1,28.1,3342330,VRE
2020-06-04,28.3,28.85,28.3,28.4,2839030,VRE
2020-06-05,28.4,28.8,28.0,28.45,2162490,VRE
2020-06-08,28.8,28.9,28.25,28.6,2826530,VRE
2020-06-09,28.35,28.6,27.8,27.9,2864250,VRE
2020-06-10,27.6,28.0,27.2,27.95,2119900,VRE
2020-06-11,27.9,27.95,26.1,26.1,4725660,VRE
2020-06-12,25.3,25.9,25.0,25.9,2529890,VRE
2020-06-15,26.0,26.4,25.0,25.0,2056490,VRE
2020-06-16,25.5,26.75,25.3,26.75,3097330,VRE
2020-06-17,27.35,27.85,27.1,27.5,3148000,VRE
2020-06-18,27.4,27.65,26.35,27.55,1681240,VRE
2020-06-19,27.5,27.8,26.7,27.8,3677760,VRE
2020-06-22,27.6,28.0,27.4,27.6,1559410,VRE
2020-06-23,27.6,27.6,27.1,27.2,1019600,VRE
2020-06-24,27.3,27.7,26.85,26.85,1391660,VRE
2020-06-25,26.5,26.8,26.3,26.5,2133290,VRE
2020-06-26,26.6,26.75,26.0,26.2,1867820,VRE
2020-06-29,26.2,26.2,25.0,25.4,2156880,VRE
2020-06-30,25.65,26.15,24.8,24.8,1700630,VRE
2020-07-01,24.8,26.5,24.8,26.45,1469010,VRE
2020-07-02,26.4,26.4,25.85,26.2,951820,VRE
2020-07-03,26.2,26.65,26.2,26.5,2328550,VRE
2020-07-06,26.55,27.2,26.45,27.1,3101080,VRE
2020-07-07,27.2,27.8,27.05,27.45,4346450,VRE
2020-07-08,27.3,27.5,27.05,27.45,939580,VRE
2020-07-09,27.55,27.75,27.25,27.55,1903220,VRE
2020-07-10,27.35,27.55,26.95,27.05,947980,VRE
2020-07-13,27.05,27.35,26.5,26.5,2291640,VRE
2020-07-14,26.4,26.7,26.05,26.4,1938730,VRE
2020-07-15,26.5,27.0,26.5,26.7,1502410,VRE
2020-07-16,26.95,27.3,26.75,27.3,1270920,VRE
2020-07-17,27.0,27.2,26.85,26.85,720820,VRE
2020-07-20,26.7,26.85,26.2,26.2,1258900,VRE
2020-07-21,26.25,26.55,26.15,26.3,1725630,VRE
2020-07-22,26.6,27.25,26.6,26.95,2251420,VRE
2020-07-23,27.0,28.3,27.0,28.3,7249850,VRE
2020-07-24,27.9,28.15,27.0,27.95,4730110,VRE
2020-07-27,26.1,27.5,26.1,26.8,3211440,VRE
2020-07-28,27.0,27.3,25.9,27.2,4480940,VRE
2020-07-29,26.4,26.4,25.3,25.55,2635930,VRE
2020-07-30,25.85,26.15,25.7,25.95,1069550,VRE
2020-07-31,25.7,26.05,25.1,25.1,2333650,VRE
2020-08-03,25.15,25.9,25.15,25.65,1872110,VRE
2020-08-04,26.2,26.35,25.9,26.3,1602220,VRE
2020-08-05,26.05,26.7,25.9,26.35,2154970,VRE
2020-08-06,26.2,26.75,26.1,26.35,2096050,VRE
2020-08-07,26.4,26.55,26.1,26.4,1257020,VRE
2020-08-10,26.5,26.95,26.5,26.65,1680830,VRE
2020-08-11,26.7,26.8,26.3,26.3,1512750,VRE
2020-08-12,26.5,26.55,26.15,26.4,1764760,VRE
2020-08-13,26.85,27.0,26.3,26.85,2594130,VRE
