,E1VFVN30,GOLD,DCDS,MBBOND
2023-10-31,0.49127646567797056,4.544728018200949e-23,0.5087235343220294,3.242594687845132e-23
2023-11-01,0.49127646567797056,4.544728018200949e-23,0.5087235343220294,3.242594687845132e-23
2023-11-02,0.49127646567797056,4.544728018200949e-23,0.5087235343220294,3.242594687845132e-23
2023-11-03,0.49127646567797056,4.544728018200949e-23,0.5087235343220294,3.242594687845132e-23
2023-11-06,0.49127646567797056,4.544728018200949e-23,0.5087235343220294,3.242594687845132e-23
2023-11-07,0.46075821383702936,1.4211002446578443e-24,0.5392417861629706,1.1211561446898256e-24
2023-11-08,0.46075821383702936,1.4211002446578443e-24,0.5392417861629706,1.1211561446898256e-24
2023-11-09,0.46075821383702936,1.4211002446578443e-24,0.5392417861629706,1.1211561446898256e-24
2023-11-10,0.46075821383702936,1.4211002446578443e-24,0.5392417861629706,1.1211561446898256e-24
2023-11-13,0.46075821383702936,1.4211002446578443e-24,0.5392417861629706,1.1211561446898256e-24
2023-11-14,0.5299811849340731,0.3641992168406262,0.10581959822530075,0.0
2023-11-15,0.5299811849340731,0.3641992168406262,0.10581959822530075,0.0
2023-11-16,0.5299811849340731,0.3641992168406262,0.10581959822530075,0.0
2023-11-17,0.5299811849340731,0.3641992168406262,0.10581959822530075,0.0
2023-11-20,0.5299811849340731,0.3641992168406262,0.10581959822530075,0.0
2023-11-21,1.0,0.0,0.0,0.0
2023-11-22,1.0,0.0,0.0,0.0
2023-11-23,1.0,0.0,0.0,0.0
2023-11-24,1.0,0.0,0.0,0.0
2023-11-27,1.0,0.0,0.0,0.0
2023-11-28,1.0,9.325773799008839e-27,5.561357550201463e-23,1.2517726503476657e-26
2023-11-29,1.0,9.325773799008839e-27,5.561357550201463e-23,1.2517726503476657e-26
2023-11-30,1.0,9.325773799008839e-27,5.561357550201463e-23,1.2517726503476657e-26
2023-12-01,1.0,9.325773799008839e-27,5.561357550201463e-23,1.2517726503476657e-26
2023-12-04,1.0,9.325773799008839e-27,5.561357550201463e-23,1.2517726503476657e-26
2023-12-05,1.0,0.0,0.0,0.0
2023-12-06,1.0,0.0,0.0,0.0
2023-12-07,1.0,0.0,0.0,0.0
2023-12-08,1.0,0.0,0.0,0.0
2023-12-11,1.0,0.0,0.0,0.0
2023-12-12,0.258487900769013,0.7415120992309869,4.58043931418232e-23,1.103929608796953e-23
2023-12-13,0.258487900769013,0.7415120992309869,4.58043931418232e-23,1.103929608796953e-23
2023-12-14,0.258487900769013,0.7415120992309869,4.58043931418232e-23,1.103929608796953e-23
2023-12-15,0.258487900769013,0.7415120992309869,4.58043931418232e-23,1.103929608796953e-23
2023-12-18,0.258487900769013,0.7415120992309869,4.58043931418232e-23,1.103929608796953e-23
2023-12-19,0.0,1.0,0.0,0.0
2023-12-20,0.0,1.0,0.0,0.0
2023-12-21,0.0,1.0,0.0,0.0
2023-12-22,0.0,1.0,0.0,0.0
2023-12-25,0.0,1.0,0.0,0.0
2023-12-26,0.0,1.0,1.4973947275799522e-25,6.877660845084454e-26
2023-12-27,0.0,1.0,1.4973947275799522e-25,6.877660845084454e-26
2023-12-28,0.0,1.0,1.4973947275799522e-25,6.877660845084454e-26
2023-12-29,0.0,1.0,1.4973947275799522e-25,6.877660845084454e-26
2024-01-01,0.0,1.0,1.4973947275799522e-25,6.877660845084454e-26
2024-01-02,0.0,0.0,1.0,0.0
2024-01-03,0.0,0.0,1.0,0.0
2024-01-04,0.0,0.0,1.0,0.0
2024-01-05,0.0,0.0,1.0,0.0
2024-01-08,0.0,0.0,1.0,0.0
2024-01-09,1.1420823462534743e-22,1.0,1.4193826008822693e-22,1.141264015488542e-22
2024-01-10,1.1420823462534743e-22,1.0,1.4193826008822693e-22,1.141264015488542e-22
2024-01-11,1.1420823462534743e-22,1.0,1.4193826008822693e-22,1.141264015488542e-22
2024-01-12,1.1420823462534743e-22,1.0,1.4193826008822693e-22,1.141264015488542e-22
2024-01-15,1.1420823462534743e-22,1.0,1.4193826008822693e-22,1.141264015488542e-22
2024-01-16,0.6091242453964042,9.591200043443348e-23,0.39087575460359575,9.750522965069104e-23
2024-01-17,0.6091242453964042,9.591200043443348e-23,0.39087575460359575,9.750522965069104e-23
2024-01-18,0.6091242453964042,9.591200043443348e-23,0.39087575460359575,9.750522965069104e-23
2024-01-19,0.6091242453964042,9.591200043443348e-23,0.39087575460359575,9.750522965069104e-23
2024-01-22,0.6091242453964042,9.591200043443348e-23,0.39087575460359575,9.750522965069104e-23
2024-01-23,0.6256531336656294,1.462579759330812e-22,0.3743468663343706,9.032286748476445e-23
2024-01-24,0.6256531336656294,1.462579759330812e-22,0.3743468663343706,9.032286748476445e-23
2024-01-25,0.6256531336656294,1.462579759330812e-22,0.3743468663343706,9.032286748476445e-23
2024-01-26,0.6256531336656294,1.462579759330812e-22,0.3743468663343706,9.032286748476445e-23
