,E1VFVN30,GOLD,DCDS,MBBOND
2023-10-31,0.7825863258728977,0.06713909644449545,3.1880692870351544e-21,0.15027457768260685
2023-11-01,0.7825863258728977,0.06713909644449545,3.1880692870351544e-21,0.15027457768260685
2023-11-02,0.7825863258728977,0.06713909644449545,3.1880692870351544e-21,0.15027457768260685
2023-11-03,0.7825863258728977,0.06713909644449545,3.1880692870351544e-21,0.15027457768260685
2023-11-06,0.7825863258728977,0.06713909644449545,3.1880692870351544e-21,0.15027457768260685
2023-11-07,0.6359708237399816,0.0,0.36402917626001835,0.0
2023-11-08,0.6359708237399816,0.0,0.36402917626001835,0.0
2023-11-09,0.6359708237399816,0.0,0.36402917626001835,0.0
2023-11-10,0.6359708237399816,0.0,0.36402917626001835,0.0
2023-11-13,0.6359708237399816,0.0,0.36402917626001835,0.0
2023-11-14,0.4912083833762515,4.172678553978844e-23,0.5087916166237485,0.0
2023-11-15,0.4912083833762515,4.172678553978844e-23,0.5087916166237485,0.0
2023-11-16,0.4912083833762515,4.172678553978844e-23,0.5087916166237485,0.0
2023-11-17,0.4912083833762515,4.172678553978844e-23,0.5087916166237485,0.0
2023-11-20,0.4912083833762515,4.172678553978844e-23,0.5087916166237485,0.0
2023-11-21,1.0,0.0,5.455518779408401e-23,0.0
2023-11-22,1.0,0.0,5.455518779408401e-23,0.0
2023-11-23,1.0,0.0,5.455518779408401e-23,0.0
2023-11-24,1.0,0.0,5.455518779408401e-23,0.0
2023-11-27,1.0,0.0,5.455518779408401e-23,0.0
2023-11-28,1.0,9.325773799008839e-27,5.561357550201463e-23,1.2517726503476657e-26
2023-11-29,1.0,9.325773799008839e-27,5.561357550201463e-23,1.2517726503476657e-26
2023-11-30,1.0,9.325773799008839e-27,5.561357550201463e-23,1.2517726503476657e-26
2023-12-01,1.0,9.325773799008839e-27,5.561357550201463e-23,1.2517726503476657e-26
2023-12-04,1.0,9.325773799008839e-27,5.561357550201463e-23,1.2517726503476657e-26
2023-12-05,0.40625861329789875,8.88369461011348e-23,0.5937413867021012,2.926583981253327e-23
2023-12-06,0.40625861329789875,8.88369461011348e-23,0.5937413867021012,2.926583981253327e-23
2023-12-07,0.40625861329789875,8.88369461011348e-23,0.5937413867021012,2.926583981253327e-23
2023-12-08,0.40625861329789875,8.88369461011348e-23,0.5937413867021012,2.926583981253327e-23
2023-12-11,0.40625861329789875,8.88369461011348e-23,0.5937413867021012,2.926583981253327e-23
2023-12-12,0.560183343921557,0.439816656078443,4.7180371615371656e-23,0.0
2023-12-13,0.560183343921557,0.439816656078443,4.7180371615371656e-23,0.0
2023-12-14,0.560183343921557,0.439816656078443,4.7180371615371656e-23,0.0
2023-12-15,0.560183343921557,0.439816656078443,4.7180371615371656e-23,0.0
2023-12-18,0.560183343921557,0.439816656078443,4.7180371615371656e-23,0.0
2023-12-19,0.2991631130946442,0.6535596166859624,0.04727727021939338,6.895642834913585e-23
2023-12-20,0.2991631130946442,0.6535596166859624,0.04727727021939338,6.895642834913585e-23
2023-12-21,0.2991631130946442,0.6535596166859624,0.04727727021939338,6.895642834913585e-23
2023-12-22,0.2991631130946442,0.6535596166859624,0.04727727021939338,6.895642834913585e-23
2023-12-25,0.2991631130946442,0.6535596166859624,0.04727727021939338,6.895642834913585e-23
2023-12-26,0.6876703589805347,0.3123296410194652,0.0,1.2803970919598003e-22
2023-12-27,0.6876703589805347,0.3123296410194652,0.0,1.2803970919598003e-22
2023-12-28,0.6876703589805347,0.3123296410194652,0.0,1.2803970919598003e-22
2023-12-29,0.6876703589805347,0.3123296410194652,0.0,1.2803970919598003e-22
2024-01-01,0.6876703589805347,0.3123296410194652,0.0,1.2803970919598003e-22
2024-01-02,0.7341316149398004,3.3903399053665495e-25,0.2658683850601996,1.9765393619840085e-25
2024-01-03,0.7341316149398004,3.3903399053665495e-25,0.2658683850601996,1.9765393619840085e-25
2024-01-04,0.7341316149398004,3.3903399053665495e-25,0.2658683850601996,1.9765393619840085e-25
2024-01-05,0.7341316149398004,3.3903399053665495e-25,0.2658683850601996,1.9765393619840085e-25
2024-01-08,0.7341316149398004,3.3903399053665495e-25,0.2658683850601996,1.9765393619840085e-25
